date,은행예금금리
2020-03-20,9.147
2020-03-21,5.58983
2020-03-22,5.00907
2020-03-23,10.56261
2020-03-24,8.09437
2020-03-25,9.20145
2020-03-26,8.34845
2020-03-27,7.53176
2020-03-28,3.88384
2020-03-29,4.5009
2020-03-30,8.89292
2020-03-31,10.38112
2020-04-01,10.34482
2020-04-02,8.80217
2020-04-03,7.42286
2020-04-04,4.5735
2020-04-05,5.00907
2020-04-06,10.0
2020-04-07,8.78402
2020-04-08,9.45553
2020-04-09,8.56624
2020-04-10,8.20326
2020-04-11,4.73684
2020-04-12,5.77132
2020-04-13,9.87295
2020-04-14,7.56805
2020-04-15,5.17241
2020-04-16,8.63883
2020-04-17,8.31215
2020-04-18,4.66424
2020-04-19,5.15426
2020-04-20,9.05626
2020-04-21,8.38475
2020-04-22,6.73321
2020-04-23,6.96914
2020-04-24,9.70961
2020-04-25,5.04537
2020-04-26,4.01088
2020-04-27,8.69328
2020-04-28,6.42468
2020-04-29,6.86025
2020-04-30,3.35753
2020-05-01,3.35753
2020-05-02,2.86751
2020-05-03,3.52087
2020-05-04,7.00544
2020-05-05,3.13974
2020-05-06,5.13611
2020-05-07,4.88203
2020-05-08,3.93829
2020-05-09,3.30308
2020-05-10,2.83121
2020-05-11,5.06352
2020-05-12,4.48275
2020-05-13,4.5009
2020-05-14,4.79128
2020-05-15,4.06533
2020-05-16,2.35934
2020-05-17,2.70417
2020-05-18,4.66424
2020-05-19,4.5735
2020-05-20,5.39019
2020-05-21,4.73684
2020-05-22,3.46642
2020-05-23,1.90562
2020-05-24,2.77676
2020-05-25,5.73502
2020-05-26,5.48094
2020-05-27,5.33575
2020-05-28,6.56987
2020-05-29,6.8058
2020-05-30,3.17604
2020-05-31,3.93829
2020-06-01,8.05807
2020-06-02,7.13248
2020-06-03,7.5499
2020-06-04,6.56987
2020-06-05,6.15245
2020-06-06,4.01088
2020-06-07,3.08529
2020-06-08,6.95099
2020-06-09,4.91833
2020-06-10,6.20689
2020-06-11,6.31578
2020-06-12,6.0254
2020-06-13,2.75862
2020-06-14,3.50272
2020-06-15,5.42649
2020-06-16,5.64428
2020-06-17,5.51724
2020-06-18,5.66243
2020-06-19,6.0617
2020-06-20,3.39382
2020-06-21,2.9401
2020-06-22,6.22504
2020-06-23,6.0617
2020-06-24,5.93466
2020-06-25,7.09618
2020-06-26,5.69872
2020-06-27,3.21234
2020-06-28,3.28493
2020-06-29,6.18874
2020-06-30,6.51542
2020-07-01,6.0254
2020-07-02,6.26134
2020-07-03,5.93466
2020-07-04,3.57531
2020-07-05,4.26497
2020-07-06,7.5862
2020-07-07,6.07985
2020-07-08,6.7695
2020-07-09,5.68058
2020-07-10,5.3176
2020-07-11,3.53901
2020-07-12,3.66606
2020-07-13,5.78947
2020-07-14,5.53539
2020-07-15,6.26134
2020-07-16,5.40834
2020-07-17,5.06352
2020-07-18,2.66787
2020-07-19,2.9401
2020-07-20,5.51724
2020-07-21,4.93647
2020-07-22,5.80762
2020-07-23,5.46279
2020-07-24,5.22686
2020-07-25,2.77676
2020-07-26,2.99455
2020-07-27,5.19056
2020-07-28,4.88203
2020-07-29,5.75317
2020-07-30,5.78947
2020-07-31,12.3049
2020-08-01,5.71687
2020-08-02,4.95462
2020-08-03,8.38475
2020-08-04,7.94918
2020-08-05,6.26134
2020-08-06,5.78947
2020-08-07,5.58983
2020-08-08,2.72232
2020-08-09,2.63157
2020-08-10,6.86025
2020-08-11,6.60617
2020-08-12,7.09618
2020-08-13,5.245
2020-08-14,5.3176
2020-08-15,2.39564
2020-08-16,2.12341
2020-08-17,3.77495
2020-08-18,6.46098
2020-08-19,6.49727
2020-08-20,6.098
2020-08-21,6.60617
2020-08-22,3.57531
2020-08-23,3.44827
2020-08-24,6.44283
2020-08-25,7.04174
2020-08-26,5.98911
2020-08-27,6.96914
2020-08-28,8.13067
2020-08-29,4.95462
2020-08-30,4.99092
2020-08-31,8.31215
2020-09-01,7.18693
2020-09-02,6.62431
2020-09-03,6.95099
2020-09-04,6.9147
2020-09-05,2.52268
2020-09-06,4.37386
2020-09-07,7.40471
2020-09-08,6.37023
2020-09-09,6.20689
2020-09-10,6.93284
2020-09-11,7.6588
2020-09-12,3.7205
2020-09-13,3.92014
2020-09-14,6.56987
2020-09-15,6.73321
2020-09-16,7.80399
2020-09-17,5.48094
2020-09-18,4.68239
2020-09-19,3.17604
2020-09-20,3.13974
2020-09-21,4.6098
2020-09-22,3.97459
2020-09-23,4.15607
2020-09-24,3.99274
2020-09-25,4.86388
2020-09-26,2.28675
2020-09-27,2.52268
2020-09-28,4.88203
2020-09-29,3.50272
2020-09-30,2.21415
2020-10-01,1.66969
2020-10-02,1.5245
2020-10-03,2.2323
2020-10-04,3.41197
2020-10-05,6.98729
2020-10-06,5.57168
2020-10-07,4.28312
2020-10-08,3.73865
2020-10-09,2.41379
2020-10-10,2.08711
2020-10-11,2.2323
2020-10-12,4.55535
2020-10-13,4.90018
2020-10-14,4.68239
2020-10-15,4.31941
2020-10-16,4.15607
2020-10-17,2.01451
2020-10-18,2.72232
2020-10-19,4.5372
2020-10-20,4.91833
2020-10-21,5.19056
2020-10-22,3.84754
2020-10-23,3.62976
2020-10-24,2.32304
2020-10-25,2.54083
2020-10-26,4.31941
2020-10-27,4.37386
2020-10-28,4.22867
2020-10-29,3.73865
2020-10-30,3.33938
2020-10-31,2.17785
2020-11-01,2.1597
2020-11-02,3.70235
2020-11-03,3.66606
2020-11-04,2.95825
2020-11-05,3.46642
2020-11-06,3.23049
2020-11-07,1.76043
2020-11-08,1.96007
2020-11-09,3.55716
2020-11-10,3.59346
2020-11-11,4.24682
2020-11-12,3.77495
2020-11-13,3.7568
2020-11-14,2.45009
2020-11-15,2.46823
2020-11-16,4.10163
2020-11-17,4.08348
2020-11-18,3.92014
2020-11-19,3.70235
2020-11-20,3.7931
2020-11-21,2.64972
2020-11-22,2.86751
2020-11-23,3.95644
2020-11-24,4.42831
2020-11-25,3.90199
2020-11-26,4.31941
2020-11-27,3.70235
2020-11-28,2.3049
2020-11-29,3.12159
2020-11-30,4.13793
2020-12-01,4.5735
2020-12-02,4.19237
2020-12-03,4.5372
2020-12-04,3.19419
2020-12-05,2.2686
2020-12-06,2.50453
2020-12-07,4.31941
2020-12-08,3.77495
2020-12-09,3.64791
2020-12-10,4.44646
2020-12-11,3.88384
2020-12-12,2.61343
2020-12-13,2.74047
2020-12-14,4.26497
2020-12-15,4.01088
2020-12-16,4.26497
2020-12-17,4.10163
2020-12-18,4.26497
2020-12-19,2.39564
2020-12-20,2.90381
2020-12-21,4.28312
2020-12-22,4.62794
2020-12-23,4.79128
2020-12-24,3.7205
2020-12-25,2.77676
2020-12-26,2.77676
2020-12-27,3.77495
2020-12-28,6.42468
2020-12-29,5.26315
2020-12-30,6.46098
2020-12-31,5.15426
2021-01-01,3.66606
2021-01-02,3.41197
2021-01-03,4.39201
2021-01-04,7.04174
2021-01-05,5.78947
2021-01-06,6.56987
2021-01-07,5.60798
2021-01-08,5.91651
2021-01-09,3.84754
2021-01-10,4.37386
2021-01-11,6.31578
2021-01-12,5.11796
2021-01-13,5.75317
