date,대출
2020-03-20,44.78285
2020-03-21,23.13332
2020-03-22,20.20911
2020-03-23,41.90203
2020-03-24,37.18165
2020-03-25,40.85209
2020-03-26,39.21211
2020-03-27,39.37264
2020-03-28,18.17866
2020-03-29,17.24586
2020-03-30,37.1426
2020-03-31,34.3312
2020-04-01,36.8606
2020-04-02,31.66297
2020-04-03,27.19423
2020-04-04,14.79022
2020-04-05,15.83148
2020-04-06,31.50245
2020-04-07,29.75834
2020-04-08,29.22903
2020-04-09,28.2702
2020-04-10,25.82758
2020-04-11,15.21974
2020-04-12,14.92906
2020-04-13,33.15111
2020-04-14,28.70406
2020-04-15,17.86194
2020-04-16,31.03822
2020-04-17,25.83626
2020-04-18,13.8097
2020-04-19,15.05488
2020-04-20,32.37016
2020-04-21,29.88849
2020-04-22,28.26586
2020-04-23,25.86229
2020-04-24,23.78845
2020-04-25,13.2587
2020-04-26,13.8878
2020-04-27,31.0252
2020-04-28,27.51529
2020-04-29,22.99448
2020-04-30,14.09605
2020-05-01,13.85309
2020-05-02,10.60349
2020-05-03,12.15237
2020-05-04,26.68662
2020-05-05,15.08091
2020-05-06,27.7756
2020-05-07,24.94251
2020-05-08,21.09419
2020-05-09,11.61004
2020-05-10,12.7858
2020-05-11,29.34183
2020-05-12,27.31571
2020-05-13,25.51086
2020-05-14,22.81226
2020-05-15,21.69725
2020-05-16,11.38444
2020-05-17,12.78146
2020-05-18,29.19866
2020-05-19,25.93171
2020-05-20,24.82103
2020-05-21,23.47173
2020-05-22,20.82519
2020-05-23,11.20222
2020-05-24,12.4257
2020-05-25,29.50236
2020-05-26,25.61499
2020-05-27,22.873
2020-05-28,22.82528
2020-05-29,19.76224
2020-05-30,11.03735
2020-05-31,12.07427
2020-06-01,25.78419
2020-06-02,22.8166
2020-06-03,22.06169
2020-06-04,20.60393
2020-06-05,17.84025
2020-06-06,10.99396
2020-06-07,11.63174
2020-06-08,23.45004
2020-06-09,22.27862
2020-06-10,22.99882
2020-06-11,22.31333
2020-06-12,20.57789
2020-06-13,11.42782
2020-06-14,11.73152
2020-06-15,28.96004
2020-06-16,25.83626
2020-06-17,27.50661
2020-06-18,26.17033
2020-06-19,22.7602
2020-06-20,11.63174
2020-06-21,13.22833
2020-06-22,27.63677
2020-06-23,26.13128
2020-06-24,25.90134
2020-06-25,25.15944
2020-06-26,20.78181
2020-06-27,11.97882
2020-06-28,13.61013
2020-06-29,27.25931
2020-06-30,24.30908
2020-07-01,22.91639
2020-07-02,22.92073
2020-07-03,19.08108
2020-07-04,10.59048
2020-07-05,12.2348
2020-07-06,26.79942
2020-07-07,23.67998
2020-07-08,23.13332
2020-07-09,22.7602
2020-07-10,21.80137
2020-07-11,12.06993
2020-07-12,12.50813
2020-07-13,27.17688
2020-07-14,25.67573
2020-07-15,24.74727
2020-07-16,23.14634
2020-07-17,21.26339
2020-07-18,10.93322
2020-07-19,11.55364
2020-07-20,26.81244
2020-07-21,24.29606
2020-07-22,22.7602
2020-07-23,21.84476
2020-07-24,20.13536
2020-07-25,11.71851
2020-07-26,11.8747
2020-07-27,27.84502
2020-07-28,24.4696
2020-07-29,22.60401
2020-07-30,22.35237
2020-07-31,19.48891
2020-08-01,11.14581
2020-08-02,11.28899
2020-08-03,25.00325
2020-08-04,23.39363
2020-08-05,22.18751
2020-08-06,20.96837
2020-08-07,19.46722
2020-08-08,11.4365
2020-08-09,12.25649
2020-08-10,27.87539
2020-08-11,25.79721
2020-08-12,23.61056
2020-08-13,22.5346
2020-08-14,20.6343
2020-08-15,11.19788
2020-08-16,10.49937
2020-08-17,17.93136
2020-08-18,28.28322
2020-08-19,25.48917
2020-08-20,23.94463
