date,미국국채ETF
2020-11-07,1.08459
2020-11-08,1.30151
2020-11-09,3.14533
2020-11-10,2.49457
2020-11-11,1.73535
2020-11-12,2.92841
2020-11-13,3.25379
2020-11-14,3.14533
2020-11-15,1.95227
2020-11-16,3.14533
2020-11-17,3.57917
2020-11-18,5.20607
2020-11-19,3.47071
2020-11-20,2.92841
2020-11-21,1.51843
2020-11-22,2.38611
2020-11-23,4.01301
2020-11-24,9.76138
2020-11-25,11.27982
2020-11-26,11.0629
2020-11-27,5.74837
2020-11-28,5.96529
2020-11-29,4.44685
2020-11-30,5.63991
2020-12-01,5.85683
2020-12-02,8.13449
2020-12-03,6.61605
2020-12-04,4.22993
2020-12-05,7.26681
2020-12-06,6.18221
2020-12-07,8.02603
2020-12-08,6.83297
2020-12-09,6.50759
2020-12-10,4.98915
2020-12-11,4.12147
2020-12-12,4.22993
2020-12-13,5.09761
2020-12-14,5.63991
2020-12-15,5.96529
2020-12-16,6.50759
2020-12-17,6.39913
2020-12-18,5.53145
2020-12-19,5.42299
2020-12-20,6.83297
2020-12-21,6.94143
2020-12-22,6.61605
2020-12-23,4.77223
2020-12-24,4.33839
2020-12-25,5.96529
2020-12-26,6.72451
2020-12-27,4.88069
2020-12-28,5.42299
2020-12-29,7.15835
2020-12-30,7.91757
2020-12-31,6.83297
2021-01-01,6.39913
2021-01-02,5.20607
2021-01-03,9.436
2021-01-04,10.62906
2021-01-05,9.21908
2021-01-06,8.45986
2021-01-07,9.86984
2021-01-08,12.25596
2021-01-09,8.45986
2021-01-10,9.11062
2021-01-11,17.67895
2021-01-12,26.57266
2021-01-13,19.08893
2021-01-14,8.8937
2021-01-15,8.3514
2021-01-16,8.8937
2021-01-17,7.37527
2021-01-18,5.63991
2021-01-19,6.39913
2021-01-20,5.85683
2021-01-21,5.74837
2021-01-22,5.96529
2021-01-23,4.66377
2021-01-24,5.74837
2021-01-25,5.85683
2021-01-26,7.04989
2021-01-27,5.20607
2021-01-28,8.02603
2021-01-29,6.83297
2021-01-30,5.96529
2021-01-31,4.55531
2021-02-01,4.33839
2021-02-02,4.01301
2021-02-03,4.22993
2021-02-04,3.68763
2021-02-05,6.29067
2021-02-06,5.42299
2021-02-07,5.20607
2021-02-08,7.26681
2021-02-09,5.31453
2021-02-10,4.55531
2021-02-11,3.25379
2021-02-12,3.47071
2021-02-13,5.09761
2021-02-14,5.42299
2021-02-15,5.74837
2021-02-16,5.53145
2021-02-17,16.81127
2021-02-18,13.66594
2021-02-19,9.86984
2021-02-20,11.27982
2021-02-21,7.15835
2021-02-22,11.27982
2021-02-23,21.58351
2021-02-24,13.99132
2021-02-25,14.859
2021-02-26,59.65292
2021-02-27,17.46203
2021-02-28,10.19522
2021-03-01,10.5206
2021-03-02,8.02603
2021-03-03,10.08676
2021-03-04,16.16052
2021-03-05,14.859
2021-03-06,6.83297
2021-03-07,4.44685
2021-03-08,7.26681
2021-03-09,7.59219
2021-03-10,6.50759
2021-03-11,4.55531
2021-03-12,3.47071
2021-03-13,5.53145
2021-03-14,4.22993
2021-03-15,4.66377
2021-03-16,4.44685
2021-03-17,5.09761
2021-03-18,4.98915
2021-03-19,9.00216
2021-03-20,2.92841
2021-03-21,3.14533
2021-03-22,4.12147
2021-03-23,3.79609
2021-03-24,2.60303
2021-03-25,3.14533
2021-03-26,3.25379
2021-03-27,3.03687
2021-03-28,3.36225
2021-03-29,1.95227
2021-03-30,2.71149
2021-03-31,2.49457
2021-04-01,3.03687
2021-04-02,2.71149
2021-04-03,2.60303
2021-04-04,2.60303
2021-04-05,3.90455
2021-04-06,4.55531
2021-04-07,1.95227
2021-04-08,4.88069
2021-04-09,1.30151
2021-04-10,2.16919
2021-04-11,3.57917
2021-04-12,3.57917
2021-04-13,3.03687
2021-04-14,3.57917
2021-04-15,7.48373
2021-04-16,5.20607
2021-04-17,6.39913
2021-04-18,6.07375
2021-04-19,4.01301
2021-04-20,5.74837
2021-04-21,5.74837
2021-04-22,4.01301
2021-04-23,3.57917
2021-04-24,5.20607
2021-04-25,10.19522
2021-04-26,11.27982
2021-04-27,9.436
2021-04-28,6.07375
2021-04-29,4.44685
2021-04-30,4.12147
2021-05-01,4.66377
2021-05-02,15.18438
2021-05-03,10.41214
2021-05-04,6.50759
2021-05-05,7.37527
2021-05-06,6.72451
2021-05-07,5.31453
2021-05-08,5.85683
2021-05-09,4.33839
2021-05-10,6.07375
2021-05-11,6.72451
2021-05-12,6.50759
2021-05-13,8.78524
2021-05-14,6.94143
2021-05-15,3.36225
2021-05-16,3.36225
2021-05-17,5.09761
2021-05-18,3.68763
2021-05-19,4.98915
2021-05-20,5.20607
2021-05-21,3.57917
2021-05-22,3.47071
2021-05-23,3.14533
2021-05-24,4.88069
2021-05-25,4.98915
2021-05-26,4.77223
2021-05-27,4.66377
2021-05-28,4.33839
2021-05-29,4.12147
2021-05-30,2.27765
2021-05-31,3.68763
2021-06-01,3.47071
2021-06-02,4.12147
2021-06-03,2.92841
2021-06-04,2.38611
2021-06-05,2.06073
2021-06-06,3.68763
2021-06-07,3.68763
2021-06-08,3.25379
2021-06-09,3.25379
2021-06-10,4.01301
2021-06-11,4.77223
2021-06-12,2.38611
2021-06-13,2.06073
2021-06-14,2.71149
2021-06-15,3.79609
2021-06-16,3.47071
2021-06-17,3.36225
2021-06-18,2.81995
2021-06-19,57.59219
2021-06-20,11.6052
2021-06-21,7.26681
2021-06-22,7.26681
2021-06-23,4.22993
2021-06-24,3.57917
2021-06-25,15.83514
2021-06-26,10.95444
2021-06-27,9.86984
2021-06-28,10.30368
2021-06-29,8.45986
2021-06-30,5.42299
2021-07-01,6.72451
2021-07-02,5.31453
2021-07-03,4.55531
2021-07-04,8.13449
2021-07-05,7.37527
2021-07-06,7.26681
2021-07-07,8.24295
2021-07-08,7.37527
2021-07-09,4.55531
2021-07-10,5.20607
2021-07-11,3.68763
2021-07-12,4.22993
2021-07-13,5.74837
2021-07-14,5.09761
2021-07-15,6.18221
2021-07-16,5.20607
2021-07-17,7.26681
2021-07-18,7.37527
2021-07-19,7.26681
2021-07-20,14.75054
2021-07-21,8.13449
2021-07-22,5.63991
2021-07-23,3.36225
2021-07-24,7.15835
2021-07-25,6.18221
2021-07-26,5.63991
2021-07-27,6.18221
2021-07-28,4.77223
2021-07-29,6.83297
2021-07-30,3.57917
2021-07-31,3.68763
2021-08-01,4.12147
2021-08-02,5.09761
2021-08-03,5.74837
2021-08-04,3.47071
2021-08-05,4.77223
2021-08-06,5.53145
2021-08-07,5.63991
2021-08-08,7.80911
2021-08-09,6.94143
2021-08-10,7.26681
2021-08-11,7.15835
2021-08-12,6.83297
2021-08-13,5.74837
2021-08-14,4.44685
2021-08-15,5.85683
2021-08-16,8.67678
2021-08-17,8.45986
2021-08-18,6.50759
2021-08-19,5.96529
2021-08-20,5.20607
2021-08-21,4.66377
2021-08-22,5.63991
2021-08-23,6.39913
2021-08-24,6.83297
2021-08-25,7.91757
2021-08-26,6.29067
2021-08-27,5.42299
2021-08-28,4.55531
2021-08-29,4.66377
2021-08-30,4.44685
2021-08-31,5.85683
2021-09-01,4.22993
2021-09-02,7.48373
2021-09-03,5.20607
2021-09-04,4.66377
2021-09-05,3.90455
2021-09-06,4.33839
2021-09-07,3.90455
2021-09-08,5.74837
2021-09-09,3.68763
2021-09-10,4.44685
2021-09-11,4.12147
2021-09-12,4.77223
2021-09-13,4.88069
2021-09-14,2.92841
2021-09-15,4.98915
2021-09-16,3.36225
2021-09-17,4.22993
2021-09-18,3.25379
2021-09-19,2.92841
2021-09-20,2.27765
2021-09-21,4.44685
2021-09-22,4.77223
2021-09-23,6.94143
2021-09-24,7.91757
2021-09-25,9.11062
2021-09-26,10.62906
2021-09-27,10.5206
2021-09-28,15.72668
2021-09-29,22.12581
2021-09-30,9.11062
2021-10-01,7.70065
2021-10-02,3.36225
2021-10-03,6.29067
2021-10-04,4.66377
2021-10-05,6.61605
2021-10-06,5.42299
2021-10-07,4.55531
2021-10-08,4.44685
2021-10-09,4.01301
2021-10-10,5.85683
2021-10-11,4.01301
2021-10-12,6.83297
2021-10-13,4.12147
2021-10-14,4.77223
2021-10-15,4.98915
2021-10-16,5.42299
2021-10-17,6.61605
2021-10-18,5.85683
2021-10-19,5.96529
2021-10-20,5.31453
2021-10-21,6.18221
2021-10-22,4.33839
2021-10-23,3.90455
2021-10-24,5.85683
2021-10-25,6.29067
2021-10-26,7.80911
2021-10-27,6.61605
2021-10-28,6.94143
2021-10-29,6.83297
2021-10-30,4.22993
2021-10-31,7.04989
2021-11-01,5.63991
2021-11-02,5.85683
2021-11-03,6.29067
2021-11-04,5.31453
2021-11-05,3.90455
2021-11-06,3.36225
2021-11-07,3.90455
2021-11-08,5.42299
2021-11-09,4.55531
2021-11-10,4.22993
2021-11-11,5.74837
2021-11-12,4.33839
2021-11-13,2.81995
2021-11-14,3.03687
2021-11-15,5.31453
2021-11-16,7.59219
2021-11-17,5.09761
2021-11-18,5.09761
2021-11-19,4.66377
2021-11-20,4.12147
2021-11-21,4.33839
2021-11-22,3.79609
2021-11-23,5.96529
2021-11-24,7.70065
2021-11-25,6.07375
2021-11-26,6.50759
2021-11-27,5.20607
2021-11-28,3.79609
2021-11-29,4.88069
2021-11-30,4.01301
2021-12-01,4.22993
2021-12-02,2.92841
2021-12-03,4.12147
2021-12-04,3.79609
2021-12-05,2.49457
2021-12-06,2.92841
2021-12-07,2.81995
2021-12-08,4.66377
2021-12-09,4.88069
2021-12-10,4.66377
2021-12-11,4.88069
2021-12-12,4.55531
2021-12-13,6.07375
2021-12-14,5.31453
2021-12-15,2.60303
2021-12-16,4.44685
2021-12-17,4.44685
2021-12-18,4.12147
2021-12-19,2.92841
2021-12-20,3.79609
2021-12-21,6.83297
2021-12-22,7.04989
2021-12-23,9.00216
2021-12-24,4.12147
2021-12-25,4.22993
2021-12-26,4.33839
2021-12-27,5.53145
2021-12-28,4.66377
2021-12-29,4.12147
2021-12-30,4.44685
2021-12-31,3.25379
2022-01-01,2.06073
2022-01-02,5.96529
2022-01-03,6.61605
2022-01-04,8.02603
2022-01-05,9.65292
2022-01-06,13.66594
2022-01-07,11.38828
2022-01-08,10.19522
2022-01-09,36.65943
2022-01-10,39.58785
2022-01-11,22.88503
2022-01-12,14.96746
2022-01-13,12.25596
2022-01-14,13.7744
2022-01-15,8.02603
2022-01-16,6.61605
2022-01-17,8.45986
2022-01-18,9.86984
2022-01-19,20.39045
2022-01-20,12.1475
2022-01-21,8.78524
2022-01-22,10.08676
2022-01-23,9.00216
2022-01-24,9.00216
2022-01-25,9.11062
2022-01-26,8.02603
2022-01-27,10.5206
2022-01-28,7.26681
2022-01-29,4.98915
2022-01-30,3.57917
2022-01-31,3.36225
2022-02-01,10.73752
2022-02-02,7.04989
