date,조각투자
2021-11-13,1.46147
2021-11-14,1.19574
2021-11-15,1.86005
2021-11-16,2.83436
2021-11-17,2.87865
2021-11-18,2.79007
2021-11-19,14.12754
2021-11-20,1.99291
2021-11-21,1.6829
2021-11-22,5.093
2021-11-23,3.58724
2021-11-24,5.093
2021-11-25,3.23294
2021-11-26,2.21434
2021-11-27,0.97431
2021-11-28,1.3286
2021-11-29,2.56864
2021-11-30,1.6829
2021-12-01,1.90434
2021-12-02,2.17006
2021-12-03,1.6829
2021-12-04,0.53144
2021-12-05,0.88573
2021-12-06,2.61293
2021-12-07,2.43578
2021-12-08,2.7015
2021-12-09,2.56864
2021-12-10,1.81576
2021-12-11,1.10717
2021-12-12,2.43578
2021-12-13,5.00442
2021-12-14,4.96014
2021-12-15,3.80868
2021-12-16,2.48007
2021-12-17,2.61293
2021-12-18,0.79716
2021-12-19,0.6643
2021-12-20,2.39149
2021-12-21,2.12577
2021-12-22,1.59433
2021-12-23,1.24003
2021-12-24,0.97431
2021-12-25,0.39858
2021-12-26,0.48715
2021-12-27,1.06288
2021-12-28,1.28432
2021-12-29,1.72719
2021-12-30,1.28432
2021-12-31,0.79716
2022-01-01,0.97431
2022-01-02,1.15146
2022-01-03,1.81576
2022-01-04,2.61293
2022-01-05,2.48007
2022-01-06,2.3472
2022-01-07,2.0372
2022-01-08,1.19574
2022-01-09,45.5713
2022-01-10,41.58547
2022-01-11,7.04162
2022-01-12,52.08148
2022-01-13,5.66873
2022-01-14,4.34012
2022-01-15,3.98582
2022-01-16,2.83436
2022-01-17,4.16297
2022-01-18,2.92294
2022-01-19,3.80868
2022-01-20,2.39149
2022-01-21,3.01151
2022-01-22,1.90434
2022-01-23,1.41718
2022-01-24,2.25863
2022-01-25,1.94862
2022-01-26,2.39149
2022-01-27,2.17006
2022-01-28,1.24003
2022-01-29,0.6643
2022-01-30,1.28432
2022-01-31,1.15146
2022-02-01,0.70859
2022-02-02,1.15146
2022-02-03,2.21434
2022-02-04,1.94862
2022-02-05,1.72719
2022-02-06,1.24003
2022-02-07,2.56864
2022-02-08,2.17006
2022-02-09,3.36581
2022-02-10,3.45438
2022-02-11,3.0558
2022-02-12,3.0558
2022-02-13,4.82728
2022-02-14,4.60584
2022-02-15,3.7201
2022-02-16,3.54295
2022-02-17,2.48007
2022-02-18,2.25863
2022-02-19,1.3286
2022-02-20,1.46147
2022-02-21,3.27723
2022-02-22,53.32152
2022-02-23,7.70593
2022-02-24,4.82728
2022-02-25,2.30292
2022-02-26,1.99291
2022-02-27,2.0372
2022-02-28,2.08148
2022-03-01,1.3286
2022-03-02,1.37289
2022-03-03,1.77147
2022-03-04,1.63861
2022-03-05,0.88573
2022-03-06,1.28432
2022-03-07,2.3472
2022-03-08,1.0186
2022-03-09,1.19574
2022-03-10,1.10717
2022-03-11,2.25863
2022-03-12,2.08148
2022-03-13,2.3472
2022-03-14,16.60761
2022-03-15,61.51461
2022-03-16,13.72896
2022-03-17,20.37201
2022-03-18,4.56155
2022-03-19,2.56864
2022-03-20,6.06731
2022-03-21,4.78299
2022-03-22,5.7573
2022-03-23,3.58724
2022-03-24,4.60584
2022-03-25,3.01151
2022-03-26,1.81576
2022-03-27,2.08148
2022-03-28,2.83436
2022-03-29,3.27723
2022-03-30,2.74579
2022-03-31,3.0558
2022-04-01,3.10008
2022-04-02,0.93002
2022-04-03,1.37289
2022-04-04,3.54295
2022-04-05,2.17006
2022-04-06,3.0558
2022-04-07,2.87865
2022-04-08,2.79007
2022-04-09,1.37289
2022-04-10,1.46147
2022-04-11,3.01151
2022-04-12,2.30292
2022-04-13,2.12577
2022-04-14,2.39149
2022-04-15,3.14437
2022-04-16,1.10717
2022-04-17,2.08148
2022-04-18,1.50575
2022-04-19,2.74579
2022-04-20,17.53764
2022-04-21,26.1736
2022-04-22,9.1674
2022-04-23,2.56864
2022-04-24,4.11868
2022-04-25,7.1302
2022-04-26,9.65456
2022-04-27,8.72453
2022-04-28,18.73339
2022-04-29,15.45615
2022-04-30,3.76439
2022-05-01,6.28875
2022-05-02,11.69176
2022-05-03,8.72453
2022-05-04,4.56155
2022-05-05,2.43578
2022-05-06,6.06731
2022-05-07,3.41009
2022-05-08,4.42869
2022-05-09,7.1302
2022-05-10,6.59875
2022-05-11,4.87156
2022-05-12,4.38441
2022-05-13,4.29583
2022-05-14,2.65721
2022-05-15,2.12577
2022-05-16,4.51727
2022-05-17,5.89016
2022-05-18,4.20726
2022-05-19,4.96014
2022-05-20,4.87156
2022-05-21,3.80868
2022-05-22,3.27723
2022-05-23,4.56155
2022-05-24,4.60584
2022-05-25,4.38441
2022-05-26,6.86448
2022-05-27,4.03011
2022-05-28,1.59433
2022-05-29,1.72719
2022-05-30,3.23294
2022-05-31,4.16297
2022-06-01,2.52435
2022-06-02,4.0744
2022-06-03,3.58724
2022-06-04,1.59433
2022-06-05,1.77147
2022-06-06,1.77147
2022-06-07,4.42869
2022-06-08,6.24446
2022-06-09,5.66873
2022-06-10,4.20726
2022-06-11,2.43578
2022-06-12,3.0558
2022-06-13,4.87156
2022-06-14,32.77236
2022-06-15,7.17449
2022-06-16,5.00442
2022-06-17,3.67581
2022-06-18,2.17006
2022-06-19,2.79007
2022-06-20,3.94154
2022-06-21,3.32152
2022-06-22,3.27723
2022-06-23,2.96722
2022-06-24,2.87865
2022-06-25,2.92294
2022-06-26,9.92028
2022-06-27,6.24446
2022-06-28,3.67581
2022-06-29,5.97874
2022-06-30,8.32595
2022-07-01,3.01151
2022-07-02,7.17449
2022-07-03,5.31443
2022-07-04,4.29583
2022-07-05,3.7201
2022-07-06,4.42869
2022-07-07,3.67581
2022-07-08,2.39149
2022-07-09,1.90434
2022-07-10,1.81576
2022-07-11,3.76439
2022-07-12,3.98582
2022-07-13,4.7387
2022-07-14,4.69441
2022-07-15,4.78299
2022-07-16,1.24003
2022-07-17,1.6829
2022-07-18,3.36581
2022-07-19,4.56155
2022-07-20,5.62444
2022-07-21,3.98582
2022-07-22,5.04871
2022-07-23,1.81576
2022-07-24,1.90434
2022-07-25,4.11868
2022-07-26,3.49867
2022-07-27,2.87865
2022-07-28,3.18866
2022-07-29,2.83436
2022-07-30,1.06288
2022-07-31,3.0558
