date,리비안주가
2020-03-21,0.0245
2020-03-22,0.02143
2020-03-23,0.01531
2020-03-28,0.01531
2020-04-06,0.0245
2020-04-08,0.02143
2020-04-09,0.01531
2020-04-10,0.03981
2020-04-11,0.07962
2020-04-12,0.07656
2020-04-13,0.03981
2020-04-14,0.07043
2020-04-15,0.06431
2020-04-16,0.05818
2020-04-17,0.03675
2020-04-18,0.049
2020-04-19,0.03368
2020-04-20,0.02143
2020-04-22,0.04287
2020-05-20,0.01531
2020-05-24,0.01531
2020-05-26,0.0245
2020-05-29,0.0245
2020-06-01,0.02143
2020-06-09,0.02143
2020-06-10,0.02143
2020-06-11,0.0245
2020-06-12,0.04593
2020-06-14,0.01837
2020-06-16,0.01837
2020-06-17,0.04287
2020-06-18,0.02143
2020-06-22,0.02143
2020-07-09,0.01837
2020-07-10,0.0245
2020-07-11,0.0245
2020-07-12,0.06431
2020-07-13,0.1225
2020-07-14,0.04593
2020-07-18,0.01837
2020-07-20,0.01837
2020-07-21,0.0245
2020-07-23,0.01531
2020-07-24,0.02143
2020-07-25,0.01837
2020-07-27,0.0245
2020-07-28,0.05512
2020-08-01,0.01531
2020-08-07,0.01531
2020-08-09,0.01531
2020-08-11,0.02143
2020-08-20,0.01531
2020-08-21,0.02143
2020-08-23,0.05818
2020-08-24,0.07043
2020-08-25,0.02143
2020-08-29,0.02143
2020-08-31,0.03368
2020-09-02,0.03062
2020-09-03,0.04287
2020-09-05,0.04593
2020-09-06,0.03675
2020-09-07,0.03981
2020-09-08,0.03062
2020-09-09,0.07962
2020-09-11,0.01531
2020-09-12,0.01531
2020-09-13,0.01531
2020-10-09,0.02143
2020-10-11,0.01837
2020-11-19,0.049
2020-11-20,0.01531
2020-11-24,0.01531
2020-11-29,0.0245
2020-12-20,0.01531
2020-12-23,0.01531
2020-12-25,0.01837
2021-01-06,0.04593
2021-01-09,0.02756
2021-01-10,0.02143
2021-01-11,0.02756
2021-01-14,0.04287
2021-01-15,0.03062
2021-01-16,0.03062
2021-01-17,0.04287
2021-01-18,0.02143
2021-01-19,0.03981
2021-01-20,0.32156
2021-01-21,0.12556
2021-01-22,0.06431
2021-01-23,0.01531
2021-01-25,0.02756
2021-01-26,0.03062
2021-01-27,0.03062
2021-01-29,0.10106
2021-01-30,0.09187
2021-01-31,0.11025
2021-02-01,0.12862
2021-02-02,0.12862
2021-02-03,0.08881
2021-02-04,0.0735
2021-02-05,0.049
2021-02-06,0.07043
2021-02-07,0.07962
2021-02-08,0.05206
2021-02-09,0.0245
2021-02-10,0.03062
2021-02-11,0.2205
2021-02-12,0.11331
2021-02-13,0.03675
2021-02-14,0.02143
2021-02-15,0.09493
2021-02-16,0.08575
2021-02-17,0.01531
2021-02-18,0.08268
2021-02-19,0.07962
2021-02-20,0.03981
2021-02-21,0.03062
2021-02-22,0.03368
2021-02-23,0.07656
2021-02-24,0.02143
2021-02-25,0.01531
2021-02-26,0.03062
2021-02-27,0.03981
2021-02-28,0.03675
2021-03-01,0.06737
2021-03-02,0.02143
2021-03-03,0.05512
2021-03-04,0.06737
2021-03-05,0.47775
2021-03-06,0.84525
2021-03-07,0.65537
2021-03-08,0.43181
2021-03-09,0.24806
2021-03-10,0.13781
2021-03-11,0.15312
2021-03-12,0.20212
2021-03-13,0.18068
2021-03-14,0.1225
2021-03-15,0.10412
2021-03-16,0.10412
2021-03-17,0.10106
2021-03-18,0.08881
2021-03-19,0.08268
2021-03-20,0.04287
2021-03-21,0.03675
2021-03-22,0.0245
2021-03-23,0.03675
2021-03-24,0.05818
2021-03-25,0.04287
2021-03-27,0.0245
2021-03-28,0.01837
2021-03-29,0.03675
2021-03-30,0.01837
2021-04-01,0.03675
2021-04-04,0.03368
2021-04-05,0.07656
2021-04-06,0.13781
2021-04-07,0.2695
2021-04-08,0.14393
2021-04-09,0.08575
2021-04-10,0.16843
2021-04-11,0.18375
2021-04-12,0.05818
2021-04-13,0.94325
2021-04-14,1.10862
2021-04-15,0.33381
2021-04-16,0.21743
2021-04-17,0.15312
2021-04-18,0.08268
2021-04-19,0.09187
2021-04-20,0.0735
2021-04-21,0.049
2021-04-22,0.04593
2021-04-23,0.02756
2021-04-24,0.03675
2021-04-25,0.0245
2021-04-26,0.01531
2021-04-27,0.03368
2021-05-04,0.02756
2021-05-10,0.02143
2021-05-11,0.02143
2021-05-12,0.049
2021-05-15,0.01531
2021-05-20,0.01531
2021-05-21,0.03368
2021-05-22,0.02143
2021-05-31,0.10106
2021-06-01,0.12556
2021-06-02,0.17456
2021-06-03,0.09187
2021-06-04,0.03981
2021-06-05,0.03368
2021-06-06,0.04287
2021-06-07,0.02143
2021-06-08,0.04593
2021-06-09,0.01837
2021-06-10,0.04287
2021-06-11,0.03981
2021-06-12,0.01837
2021-06-13,0.02756
2021-06-15,0.0245
2021-06-16,0.01837
2021-06-17,0.01531
2021-06-18,0.0245
2021-06-20,0.01531
2021-06-26,0.01531
2021-06-29,0.01531
2021-07-01,0.01531
2021-07-02,0.01531
2021-07-03,0.02143
2021-07-06,0.01531
2021-07-07,0.01837
2021-07-08,0.0245
2021-07-12,0.03062
2021-07-15,0.03062
2021-07-16,0.049
2021-07-17,0.08881
2021-07-18,0.02143
2021-07-19,0.0245
2021-07-20,0.01531
2021-07-21,0.02143
2021-07-22,0.03675
2021-07-23,0.04593
2021-07-24,0.05818
2021-07-25,0.02143
2021-07-26,0.07656
2021-07-27,0.04287
2021-07-28,0.05206
2021-07-29,0.02756
2021-07-30,0.02143
2021-07-31,0.03368
2021-08-01,0.01531
2021-08-02,0.01837
2021-08-03,0.01837
2021-08-04,0.03981
2021-08-05,0.05206
2021-08-06,0.03368
2021-08-07,0.049
2021-08-08,0.0245
2021-08-09,0.01837
2021-08-10,0.049
2021-08-11,0.04287
2021-08-12,0.07043
