date,STOCK
2020-03-20,76.88772
2020-03-21,51.73998
2020-03-22,46.42153
2020-03-23,82.46881
2020-03-24,86.80236
2020-03-25,80.43335
2020-03-26,85.48916
2020-03-27,79.44845
2020-03-28,52.13394
2020-03-29,50.49244
2020-03-30,74.19566
2020-03-31,84.04464
2020-04-01,79.77675
2020-04-02,78.26657
2020-04-03,71.04399
2020-04-04,45.96191
2020-04-05,42.61326
2020-04-06,72.16021
2020-04-07,80.36769
2020-04-08,76.55942
2020-04-09,78.13525
2020-04-10,70.25607
2020-04-11,45.50229
2020-04-12,47.53775
2020-04-13,80.56467
2020-04-14,72.55416
2020-04-15,56.99277
2020-04-16,69.13985
2020-04-17,68.02363
2020-04-18,44.25476
2020-04-19,45.50229
2020-04-20,70.12475
2020-04-21,73.1451
2020-04-22,75.31188
2020-04-23,74.98358
2020-04-24,63.69008
2020-04-25,42.5476
2020-04-26,43.79514
2020-04-27,68.68023
2020-04-28,69.73079
2020-04-29,66.71043
2020-04-30,44.45173
2020-05-01,49.11359
2020-05-02,36.11293
2020-05-03,40.11818
2020-05-04,62.24556
2020-05-05,50.62376
2020-05-06,69.86211
2020-05-07,69.46815
2020-05-08,62.44254
2020-05-09,41.5627
2020-05-10,41.36572
2020-05-11,69.00853
2020-05-12,82.92843
2020-05-13,68.81155
2020-05-14,65.92252
2020-05-15,65.00328
2020-05-16,38.41103
2020-05-17,42.15364
2020-05-18,64.28102
2020-05-19,71.89757
2020-05-20,66.84175
2020-05-21,62.04858
2020-05-22,61.45764
2020-05-23,39.2646
2020-05-24,37.95141
2020-05-25,61.58896
2020-05-26,64.54366
2020-05-27,64.478
2020-05-28,62.1799
2020-05-29,56.73013
2020-05-30,41.891
2020-05-31,36.90085
2020-06-01,57.78069
2020-06-02,61.8516
2020-06-03,63.23046
2020-06-04,62.11424
2020-06-05,61.195
2020-06-06,42.8759
2020-06-07,43.26986
2020-06-08,73.01378
2020-06-09,71.96323
2020-06-10,69.46815
2020-06-11,63.75574
2020-06-12,60.80105
2020-06-13,37.49179
2020-06-14,40.84044
2020-06-15,58.69993
2020-06-16,64.08404
2020-06-17,62.37688
2020-06-18,63.75574
2020-06-19,53.77544
2020-06-20,39.85554
2020-06-21,38.80499
2020-06-22,63.88706
2020-06-23,65.20026
2020-06-24,64.08404
2020-06-25,62.37688
2020-06-26,51.47734
2020-06-27,34.86539
2020-06-28,36.70387
2020-06-29,57.84635
2020-06-30,53.25016
2020-07-01,59.09389
2020-07-02,60.93237
2020-07-03,48.71963
2020-07-04,34.27445
2020-07-05,34.86539
2020-07-06,58.89691
2020-07-07,67.69533
2020-07-08,68.87721
2020-07-09,62.37688
2020-07-10,56.59881
2020-07-11,36.63821
2020-07-12,40.9061
2020-07-13,63.69008
2020-07-14,68.61457
2020-07-15,66.4478
2020-07-16,61.65462
2020-07-17,59.42219
2020-07-18,36.57255
2020-07-19,40.77478
2020-07-20,61.195
2020-07-21,69.46815
2020-07-22,61.12934
2020-07-23,67.17005
2020-07-24,58.50295
2020-07-25,38.41103
2020-07-26,36.57255
