date,염승환
2020-05-03,0.14843
2020-05-11,0.10602
2020-06-25,0.19083
2020-07-14,0.10602
2020-07-28,0.10602
2020-07-30,0.19083
2020-07-31,0.12722
2020-08-03,0.46649
2020-08-04,0.46649
2020-08-05,0.31806
2020-08-06,0.65733
2020-08-07,0.31806
2020-08-08,0.14843
2020-08-09,0.25445
2020-08-10,0.72094
2020-08-11,0.91178
2020-08-12,0.95419
2020-08-13,1.75996
2020-08-14,1.27226
2020-08-15,0.67854
2020-08-16,0.44529
2020-08-17,0.33927
2020-08-18,0.9754
2020-08-19,1.90839
2020-08-20,0.78456
2020-08-21,1.22985
2020-08-22,0.91178
2020-08-23,0.42408
2020-08-24,1.71755
2020-08-25,3.51993
2020-08-26,4.72858
2020-08-27,2.75657
2020-08-28,2.20525
2020-08-29,2.24766
2020-08-30,1.97201
2020-08-31,3.20186
2020-09-01,5.13146
2020-09-02,4.70737
2020-09-03,4.09245
2020-09-04,6.42493
2020-09-05,4.47413
2020-09-06,2.94741
2020-09-07,4.13486
2020-09-08,4.53774
2020-09-09,4.26208
2020-09-10,3.20186
2020-09-11,2.86259
2020-09-12,2.07803
2020-09-13,1.18744
2020-09-14,2.48091
2020-09-15,3.68956
2020-09-16,4.66497
2020-09-17,3.49872
2020-09-18,2.67175
2020-09-19,2.54452
2020-09-20,1.35708
2020-09-21,2.58693
2020-09-22,1.88719
2020-09-23,2.98982
2020-09-24,2.94741
2020-09-25,2.54452
2020-09-26,1.82357
2020-09-27,0.72094
2020-09-28,1.06022
2020-09-29,2.33248
2020-09-30,1.35708
2020-10-01,1.08142
2020-10-02,3.30788
2020-10-03,2.86259
2020-10-04,4.79219
2020-10-05,2.33248
2020-10-06,1.99321
2020-10-07,2.14164
2020-10-08,2.09923
2020-10-09,1.18744
2020-10-10,1.31467
2020-10-11,0.78456
2020-10-12,6.31891
2020-10-13,3.68956
2020-10-14,3.75318
2020-10-15,2.84139
2020-10-16,2.71416
2020-10-17,2.05682
2020-10-18,1.86598
2020-10-19,1.9508
2020-10-20,2.88379
2020-10-21,3.54113
2020-10-22,2.54452
2020-10-23,2.905
2020-10-24,2.54452
2020-10-25,1.06022
