date,연금
2020-03-20,20.60869
2020-03-21,17.95652
2020-03-22,14.30434
2020-03-23,18.21739
2020-03-24,20.21739
2020-03-25,37.19565
2020-03-26,29.8913
2020-03-27,19.36956
2020-03-28,16.06521
2020-03-29,14.52173
2020-03-30,24.08695
2020-03-31,21.58695
2020-04-01,34.56521
2020-04-02,28.54347
2020-04-03,20.95652
2020-04-04,22.97826
2020-04-05,18.71739
2020-04-06,20.93478
2020-04-07,22.17391
2020-04-08,36.56521
2020-04-09,26.91304
2020-04-10,19.67391
2020-04-11,15.2826
2020-04-12,14.45652
2020-04-13,19.41304
2020-04-14,20.23913
2020-04-15,39.7826
2020-04-16,35.60869
2020-04-17,27.30434
2020-04-18,22.19565
2020-04-19,21.13043
2020-04-20,30.5
2020-04-21,27.73913
2020-04-22,46.02173
2020-04-23,37.21739
2020-04-24,26.30434
2020-04-25,21.95652
2020-04-26,18.54347
2020-04-27,23.2826
2020-04-28,21.52173
2020-04-29,39.86956
2020-04-30,32.52173
2020-05-01,22.7826
2020-05-02,19.91304
2020-05-03,19.60869
2020-05-04,21.56521
2020-05-05,19.13043
2020-05-06,34.80434
2020-05-07,60.45652
2020-05-08,35.69565
2020-05-09,24.95652
2020-05-10,21.15217
2020-05-11,26.32608
2020-05-12,24.54347
2020-05-13,29.45652
2020-05-14,59.67391
2020-05-15,34.8913
2020-05-16,23.65217
2020-05-17,19.82608
2020-05-18,22.58695
2020-05-19,23.04347
2020-05-20,26.84782
2020-05-21,58.93478
2020-05-22,33.69565
2020-05-23,22.02173
2020-05-24,22.3913
2020-05-25,25.13043
2020-05-26,22.82608
2020-05-27,25.3913
2020-05-28,57.34782
2020-05-29,33.97826
2020-05-30,22.71739
2020-05-31,20.0
2020-06-01,21.8913
2020-06-02,22.32608
2020-06-03,27.10869
2020-06-04,64.97826
2020-06-05,36.71739
2020-06-06,24.8913
2020-06-07,20.60869
2020-06-08,22.54347
2020-06-09,20.63043
2020-06-10,25.71739
2020-06-11,54.54347
2020-06-12,35.21739
2020-06-13,23.30434
2020-06-14,20.3913
2020-06-15,23.0
2020-06-16,20.52173
2020-06-17,25.30434
2020-06-18,55.21739
2020-06-19,32.10869
2020-06-20,22.45652
2020-06-21,20.86956
2020-06-22,24.65217
2020-06-23,21.10869
2020-06-24,26.10869
2020-06-25,55.10869
2020-06-26,31.95652
2020-06-27,20.91304
2020-06-28,18.41304
2020-06-29,22.45652
2020-06-30,19.63043
2020-07-01,22.93478
2020-07-02,48.19565
2020-07-03,31.23913
2020-07-04,21.97826
2020-07-05,19.67391
2020-07-06,20.30434
2020-07-07,19.06521
2020-07-08,22.19565
2020-07-09,46.36956
2020-07-10,29.58695
2020-07-11,22.19565
2020-07-12,19.80434
2020-07-13,19.8913
2020-07-14,20.08695
2020-07-15,22.0
2020-07-16,46.60869
2020-07-17,29.08695
2020-07-18,21.86956
2020-07-19,19.3913
2020-07-20,22.30434
2020-07-21,20.95652
