date,비트코인차트
2020-03-20,8.21008
2020-03-21,7.0329
2020-03-22,6.58013
2020-03-23,6.73105
2020-03-24,5.76516
2020-03-25,5.52369
2020-03-26,4.07485
2020-03-27,4.67853
2020-03-28,5.07093
2020-03-29,4.31632
2020-03-30,4.37669
2020-03-31,4.04467
2020-04-01,3.71264
2020-04-02,4.04467
2020-04-03,3.19951
2020-04-04,4.07485
2020-04-05,3.04859
2020-04-06,3.89375
2020-04-07,5.82553
2020-04-08,4.52761
2020-04-09,3.83338
2020-04-10,3.65227
2020-04-11,3.71264
2020-04-12,3.9843
2020-04-13,4.5578
2020-04-14,3.4108
2020-04-15,3.16933
2020-04-16,3.10896
2020-04-17,3.4108
2020-04-18,3.32025
2020-04-19,3.86356
2020-04-20,3.59191
2020-04-21,3.74283
2020-04-22,3.53154
2020-04-23,2.62601
2020-04-24,3.2297
2020-04-25,3.65227
2020-04-26,3.80319
2020-04-27,2.89767
2020-04-28,3.68246
2020-04-29,3.80319
2020-04-30,7.75731
2020-05-01,3.83338
2020-05-02,5.34258
2020-05-03,4.5578
2020-05-04,4.07485
2020-05-05,3.9843
2020-05-06,3.47117
2020-05-07,3.56172
2020-05-08,4.10504
2020-05-09,3.65227
2020-05-10,4.7389
2020-05-11,3.74283
2020-05-12,3.71264
2020-05-13,2.11288
2020-05-14,2.98822
2020-05-15,2.17325
2020-05-16,2.20344
2020-05-17,2.56565
2020-05-18,2.77693
2020-05-19,2.89767
2020-05-20,3.44099
2020-05-21,3.19951
2020-05-22,1.90159
2020-05-23,2.32417
2020-05-24,2.47509
2020-05-25,2.80712
2020-05-26,3.04859
2020-05-27,2.44491
2020-05-28,2.32417
2020-05-29,1.78086
2020-05-30,2.02233
2020-05-31,2.23362
2020-06-01,2.68638
2020-06-02,3.44099
2020-06-03,3.4108
2020-06-04,2.89767
2020-06-05,2.20344
2020-06-06,2.89767
2020-06-07,2.59583
2020-06-08,2.29399
2020-06-09,2.6562
2020-06-10,2.71657
2020-06-11,2.95804
2020-06-12,2.8373
2020-06-13,1.87141
2020-06-14,1.99215
2020-06-15,2.50528
2020-06-16,2.59583
2020-06-17,2.56565
2020-06-18,3.04859
2020-06-19,2.62601
2020-06-20,2.50528
2020-06-21,2.20344
2020-06-22,1.93178
2020-06-23,2.0827
2020-06-24,2.29399
2020-06-25,1.59975
2020-06-26,3.01841
2020-06-27,2.41472
2020-06-28,2.53546
2020-06-29,2.95804
2020-06-30,1.90159
2020-07-01,1.99215
2020-07-02,1.5092
2020-07-03,1.69031
2020-07-04,2.74675
