date,TDF
2020-03-20,21.85886
2020-03-21,13.94148
2020-03-22,20.13769
2020-03-23,38.38209
2020-03-24,33.04647
2020-03-25,30.12048
2020-03-26,34.25129
2020-03-27,31.84165
2020-03-28,14.28571
2020-03-29,19.62134
2020-03-30,26.67814
2020-03-31,58.17555
2020-04-01,40.96385
2020-04-02,28.74354
2020-04-03,26.50602
2020-04-04,27.71084
2020-04-05,21.51462
2020-04-06,29.43201
2020-04-07,34.25129
2020-04-08,26.50602
2020-04-09,27.19449
2020-04-10,27.3666
2020-04-11,17.2117
2020-04-12,16.52323
2020-04-13,31.66953
2020-04-14,31.84165
2020-04-15,19.44922
2020-04-16,29.60413
2020-04-17,26.67814
2020-04-18,14.45783
2020-04-19,16.86746
2020-04-20,27.71084
2020-04-21,27.71084
2020-04-22,24.95697
2020-04-23,24.09638
2020-04-24,22.54733
2020-04-25,13.25301
2020-04-26,16.69535
2020-04-27,23.58003
2020-04-28,24.95697
2020-04-29,18.07228
2020-04-30,14.80206
2020-05-01,10.49913
2020-05-02,16.86746
2020-05-03,13.76936
2020-05-04,20.30981
2020-05-05,16.35111
2020-05-06,25.12908
2020-05-07,20.48192
2020-05-08,20.82616
2020-05-09,14.28571
2020-05-10,12.56454
2020-05-11,22.20309
2020-05-12,18.76075
2020-05-13,19.79345
2020-05-14,23.75215
2020-05-15,15.14629
2020-05-16,9.29432
2020-05-17,13.25301
2020-05-18,19.2771
2020-05-19,21.85886
2020-05-20,16.52323
2020-05-21,24.44061
2020-05-22,16.69535
2020-05-23,11.01549
2020-05-24,11.87607
2020-05-25,21.85886
2020-05-26,16.86746
2020-05-27,19.2771
2020-05-28,20.30981
2020-05-29,15.83476
2020-05-30,9.98278
2020-05-31,9.63855
2020-06-01,17.38382
2020-06-02,17.72805
2020-06-03,21.17039
2020-06-04,21.68674
2020-06-05,17.55593
2020-06-06,13.59724
2020-06-07,14.45783
2020-06-08,17.72805
2020-06-09,20.65404
2020-06-10,20.48192
2020-06-11,23.06368
2020-06-12,19.62134
2020-06-13,18.76075
2020-06-14,11.35972
2020-06-15,17.2117
2020-06-16,20.30981
2020-06-17,22.03098
2020-06-18,20.65404
2020-06-19,16.52323
2020-06-20,12.39242
2020-06-21,9.29432
2020-06-22,19.62134
2020-06-23,22.89156
2020-06-24,21.34251
2020-06-25,21.34251
2020-06-26,17.90017
2020-06-27,5.85197
2020-06-28,9.63855
2020-06-29,16.179
2020-06-30,18.76075
2020-07-01,16.86746
2020-07-02,14.97418
2020-07-03,14.62994
2020-07-04,6.02409
2020-07-05,6.88468
2020-07-06,16.86746
2020-07-07,21.34251
2020-07-08,24.2685
2020-07-09,26.67814
2020-07-10,15.83476
2020-07-11,11.53184
2020-07-12,16.179
2020-07-13,24.78485
2020-07-14,22.20309
2020-07-15,18.58864
2020-07-16,17.72805
2020-07-17,15.14629
2020-07-18,7.91738
2020-07-19,9.46643
2020-07-20,19.10499
2020-07-21,25.12908
2020-07-22,20.30981
2020-07-23,23.92426
2020-07-24,18.93287
2020-07-25,11.70395
2020-07-26,11.87607
2020-07-27,24.2685
2020-07-28,23.06368
2020-07-29,18.76075
2020-07-30,22.89156
2020-07-31,17.38382
2020-08-01,14.11359
2020-08-02,9.1222
2020-08-03,18.41652
2020-08-04,24.2685
2020-08-05,28.57142
2020-08-06,24.95697
2020-08-07,23.06368
2020-08-08,13.76936
2020-08-09,13.94148
2020-08-10,28.39931
2020-08-11,25.64543
2020-08-12,29.77624
2020-08-13,30.63683
2020-08-14,23.06368
2020-08-15,9.98278
2020-08-16,10.49913
2020-08-17,15.83476
2020-08-18,23.75215
2020-08-19,27.71084
2020-08-20,24.61273
2020-08-21,24.44061
2020-08-22,16.179
2020-08-23,13.25301
2020-08-24,19.79345
2020-08-25,23.75215
2020-08-26,22.71944
2020-08-27,29.25989
2020-08-28,26.85025
2020-08-29,22.03098
2020-08-30,19.96557
2020-08-31,30.29259
2020-09-01,28.74354
2020-09-02,32.01376
2020-09-03,27.3666
2020-09-04,24.95697
2020-09-05,15.14629
2020-09-06,18.41652
2020-09-07,32.01376
2020-09-08,29.94836
2020-09-09,32.70223
2020-09-10,30.63683
2020-09-11,23.2358
2020-09-12,12.2203
2020-09-13,13.25301
2020-09-14,24.2685
2020-09-15,22.37521
2020-09-16,26.50602
2020-09-17,24.78485
2020-09-18,20.82616
2020-09-19,12.56454
2020-09-20,15.83476
2020-09-21,21.85886
2020-09-22,20.65404
2020-09-23,25.81755
2020-09-24,20.30981
2020-09-25,21.17039
2020-09-26,9.29432
2020-09-27,19.79345
2020-09-28,35.62822
2020-09-29,22.20309
2020-09-30,8.77796
2020-10-01,9.63855
2020-10-02,9.46643
2020-10-03,8.43373
2020-10-04,11.87607
2020-10-05,21.51462
2020-10-06,20.13769
2020-10-07,21.17039
2020-10-08,21.17039
2020-10-09,14.28571
2020-10-10,18.07228
2020-10-11,15.31841
2020-10-12,33.3907
2020-10-13,32.358
2020-10-14,40.10327
2020-10-15,30.46471
2020-10-16,27.71084
2020-10-17,13.08089
2020-10-18,15.31841
2020-10-19,27.88296
2020-10-20,35.45611
2020-10-21,27.88296
2020-10-22,24.95697
2020-10-23,32.53012
2020-10-24,16.179
2020-10-25,20.13769
2020-10-26,29.60413
2020-10-27,30.46471
2020-10-28,29.43201
2020-10-29,34.4234
2020-10-30,40.96385
2020-10-31,15.83476
2020-11-01,17.38382
2020-11-02,30.63683
2020-11-03,41.82444
2020-11-04,30.46471
2020-11-05,34.4234
2020-11-06,29.25989
2020-11-07,17.72805
2020-11-08,20.65404
2020-11-09,33.90705
2020-11-10,30.46471
2020-11-11,32.01376
2020-11-12,47.33218
2020-11-13,37.17728
2020-11-14,26.16179
2020-11-15,22.20309
2020-11-16,39.07056
2020-11-17,30.80895
2020-11-18,33.90705
2020-11-19,37.69363
2020-11-20,38.20998
