date,코스피시총순위
2020-03-20,31.73349
2020-03-21,8.08143
2020-03-22,6.84762
2020-03-23,37.03886
2020-03-24,32.8871
2020-03-25,32.19
2020-03-26,32.7082
2020-03-27,27.95805
2020-03-28,7.30413
2020-03-29,6.37877
2020-03-30,25.79888
2020-03-31,28.0074
2020-04-01,28.29734
2020-04-02,26.1937
2020-04-03,22.88093
2020-04-04,5.68167
2020-04-05,5.00308
2020-04-06,23.34978
2020-04-07,24.97223
2020-04-08,22.6095
2020-04-09,23.15237
2020-04-10,27.6681
2020-04-11,7.1314
2020-04-12,7.48303
2020-04-13,24.94139
2020-04-14,21.2338
2020-04-15,5.59531
2020-04-16,18.41455
2020-04-17,24.51573
2020-04-18,5.41024
2020-04-19,5.20666
2020-04-20,21.86921
2020-04-21,24.05305
2020-04-22,24.5404
2020-04-23,23.72609
2020-04-24,20.75262
2020-04-25,4.58359
2020-04-26,4.5404
2020-04-27,21.42504
2020-04-28,20.61073
2020-04-29,19.08081
2020-04-30,5.79888
2020-05-01,4.50956
2020-05-02,3.52868
2020-05-03,3.63972
2020-05-04,17.72362
2020-05-05,4.77483
2020-05-06,18.57495
2020-05-07,18.32819
2020-05-08,16.61937
2020-05-09,5.32387
2020-05-10,4.07772
2020-05-11,16.6317
2020-05-12,17.64342
2020-05-13,20.73411
2020-05-14,23.23257
2020-05-15,19.71622
2020-05-16,5.20049
2020-05-17,4.18877
2020-05-18,19.46329
2020-05-19,22.69586
2020-05-20,22.10363
2020-05-21,21.58544
2020-05-22,24.49722
2020-05-23,7.55706
2020-05-24,6.55151
2020-05-25,35.50277
2020-05-26,33.33744
2020-05-27,27.87168
2020-05-28,26.90931
2020-05-29,21.98025
2020-05-30,5.78655
2020-05-31,6.33559
2020-06-01,25.52745
2020-06-02,24.60826
2020-06-03,35.73719
2020-06-04,30.46884
2020-06-05,28.35903
2020-06-06,7.71745
2020-06-07,7.95188
2020-06-08,27.4892
2020-06-09,25.4164
2020-06-10,27.07587
2020-06-11,32.20851
2020-06-12,35.08945
2020-06-13,7.65576
2020-06-14,6.31091
2020-06-15,36.4528
2020-06-16,32.04194
2020-06-17,29.93214
2020-06-18,26.13818
2020-06-19,25.08328
2020-06-20,6.40345
2020-06-21,4.99074
2020-06-22,26.69956
2020-06-23,29.99383
2020-06-24,29.04996
2020-06-25,26.84145
2020-06-26,23.99136
2020-06-27,5.48426
2020-06-28,6.68723
2020-06-29,24.15175
2020-06-30,22.65268
2020-07-01,21.23997
2020-07-02,26.59469
2020-07-03,25.57063
2020-07-04,5.71252
2020-07-05,5.02159
2020-07-06,32.64651
2020-07-07,31.64713
2020-07-08,26.26156
2020-07-09,31.98642
2020-07-10,31.06724
2020-07-11,8.22331
2020-07-12,5.98396
2020-07-13,27.06971
2020-07-14,24.9784
2020-07-15,27.03886
2020-07-16,24.5219
2020-07-17,24.85502
2020-07-18,6.11351
2020-07-19,5.28685
2020-07-20,27.27945
2020-07-21,27.6681
2020-07-22,27.02035
2020-07-23,27.3288
2020-07-24,25.69401
2020-07-25,6.03948
2020-07-26,6.45897
2020-07-27,25.72486
2020-07-28,29.87045
2020-07-29,29.37075
2020-07-30,27.26095
2020-07-31,26.82294
2020-08-01,7.65576
2020-08-02,6.95866
2020-08-03,35.3979
2020-08-04,31.46822
2020-08-05,35.64466
2020-08-06,35.99012
2020-08-07,48.22948
2020-08-08,13.36212
2020-08-09,10.65391
2020-08-10,43.67057
