date,1돈가격
2020-03-20,1.77367
2020-03-21,1.13515
2020-03-22,1.24157
2020-03-23,1.45441
2020-03-24,1.2061
2020-03-25,1.48989
2020-03-26,1.0642
2020-03-27,1.02873
2020-03-28,0.46115
2020-03-29,0.46115
2020-03-30,0.99326
2020-03-31,0.85136
2020-04-01,0.63852
2020-04-02,0.88683
2020-04-03,0.81589
2020-04-04,0.78041
2020-04-05,0.74494
2020-04-06,0.85136
2020-04-07,1.09968
2020-04-08,0.99326
2020-04-09,0.88683
2020-04-10,0.60305
2020-04-11,0.67399
2020-04-12,1.63178
2020-04-13,1.02873
2020-04-14,1.45441
2020-04-15,1.09968
2020-04-16,1.27704
2020-04-17,1.02873
2020-04-18,1.56083
2020-04-19,0.63852
2020-04-20,0.95778
2020-04-21,0.85136
2020-04-22,1.17062
2020-04-23,0.99326
2020-04-24,1.41894
2020-04-25,0.95778
2020-04-26,0.85136
2020-04-27,1.34799
2020-04-28,1.56083
2020-04-29,1.45441
2020-04-30,0.92231
2020-05-01,1.09968
2020-05-02,0.99326
2020-05-03,0.81589
2020-05-04,1.09968
2020-05-05,1.02873
2020-05-06,1.41894
2020-05-07,0.99326
2020-05-08,1.31252
2020-05-09,0.95778
2020-05-10,0.5321
2020-05-11,0.88683
2020-05-12,0.85136
2020-05-13,1.02873
2020-05-14,0.95778
2020-05-15,1.02873
2020-05-16,1.09968
2020-05-17,0.5321
2020-05-18,1.24157
2020-05-19,1.27704
2020-05-20,1.34799
2020-05-21,0.92231
2020-05-22,1.59631
2020-05-23,0.95778
2020-05-24,0.67399
2020-05-25,0.5321
2020-05-26,1.41894
2020-05-27,0.63852
2020-05-28,1.0642
2020-05-29,1.27704
2020-05-30,1.13515
2020-05-31,1.0642
2020-06-01,0.88683
2020-06-02,1.0642
2020-06-03,1.31252
2020-06-04,1.17062
2020-06-05,0.99326
2020-06-06,0.78041
2020-06-07,1.13515
2020-06-08,1.02873
2020-06-09,1.0642
2020-06-10,1.80915
2020-06-11,0.95778
2020-06-12,1.24157
2020-06-13,1.48989
2020-06-14,1.70273
2020-06-15,2.09294
2020-06-16,0.99326
2020-06-17,1.59631
2020-06-18,1.24157
2020-06-19,1.13515
2020-06-20,0.99326
2020-06-21,1.31252
2020-06-22,1.88009
2020-06-23,1.45441
2020-06-24,1.13515
2020-06-25,1.98652
2020-06-26,1.95104
2020-06-27,1.56083
2020-06-28,1.02873
2020-06-29,1.41894
2020-06-30,1.0642
2020-07-01,1.70273
2020-07-02,1.31252
2020-07-03,2.12841
2020-07-04,0.92231
2020-07-05,1.13515
2020-07-06,1.7382
2020-07-07,1.48989
2020-07-08,1.24157
2020-07-09,1.56083
2020-07-10,2.30578
2020-07-11,1.17062
2020-07-12,1.34799
2020-07-13,1.24157
2020-07-14,3.15714
2020-07-15,1.98652
2020-07-16,1.66725
2020-07-17,1.34799
2020-07-18,1.45441
2020-07-19,1.34799
2020-07-20,1.95104
2020-07-21,1.0642
2020-07-22,2.19936
2020-07-23,2.2703
2020-07-24,3.19262
2020-07-25,4.57609
2020-07-26,2.09294
2020-07-27,3.54735
2020-07-28,4.18588
2020-07-29,5.07272
2020-07-30,2.66051
2020-07-31,2.80241
2020-08-01,1.91557
2020-08-02,1.84462
2020-08-03,2.23483
2020-08-04,1.7382
2020-08-05,4.8244
2020-08-06,3.01525
2020-08-07,2.55409
2020-08-08,1.70273
2020-08-09,1.13515
2020-08-10,1.70273
2020-08-11,2.12841
2020-08-12,3.97304
2020-08-13,2.37672
2020-08-14,1.77367
2020-08-15,1.27704
2020-08-16,1.27704
2020-08-17,1.17062
2020-08-18,1.66725
2020-08-19,1.38346
2020-08-20,1.56083
2020-08-21,2.02199
2020-08-22,1.17062
2020-08-23,1.7382
2020-08-24,1.41894
2020-08-25,1.98652
2020-08-26,1.52536
2020-08-27,1.41894
2020-08-28,1.24157
2020-08-29,0.70947
