date,채권금리
2020-03-20,36.97234
2020-03-21,13.12954
2020-03-22,11.90684
2020-03-23,35.05094
2020-03-24,32.72197
2020-03-25,26.49199
2020-03-26,26.25909
2020-03-27,19.15574
2020-03-28,7.33624
2020-03-29,6.60844
2020-03-30,16.01164
2020-03-31,15.1965
2020-04-01,11.79039
2020-04-02,12.0524
2020-04-03,8.50072
2020-04-04,3.46433
2020-04-05,3.55167
2020-04-06,6.98689
2020-04-07,6.17176
2020-04-08,6.22998
2020-04-09,6.95778
2020-04-10,5.26928
2020-04-11,2.50363
2020-04-12,2.70742
2020-04-13,6.05531
2020-04-14,4.80349
2020-04-15,2.29985
2020-04-16,5.44395
2020-04-17,4.65793
2020-04-18,1.9505
2020-04-19,2.35807
2020-04-20,4.04657
2020-04-21,4.71615
2020-04-22,4.94905
2020-04-23,4.30858
2020-04-24,3.60989
2020-04-25,2.70742
2020-04-26,2.94032
2020-04-27,4.27947
2020-04-28,4.74526
2020-04-29,3.93013
2020-04-30,2.24163
2020-05-01,2.06695
2020-05-02,1.39737
2020-05-03,1.31004
2020-05-04,3.11499
2020-05-05,2.73653
2020-05-06,4.57059
2020-05-07,4.22125
2020-05-08,4.04657
2020-05-09,2.06695
2020-05-10,1.77583
2020-05-11,3.17321
2020-05-12,3.8719
2020-05-13,3.63901
2020-05-14,4.54148
2020-05-15,4.27947
2020-05-16,2.4163
2020-05-17,2.32896
2020-05-18,3.84279
2020-05-19,3.55167
2020-05-20,3.72634
2020-05-21,3.93013
2020-05-22,3.17321
2020-05-23,1.77583
2020-05-24,1.83406
2020-05-25,3.46433
2020-05-26,3.8719
2020-05-27,4.27947
2020-05-28,9.05385
2020-05-29,5.15283
2020-05-30,1.83406
2020-05-31,1.77583
2020-06-01,4.27947
2020-06-02,3.95924
2020-06-03,3.43522
2020-06-04,5.00727
2020-06-05,3.52256
2020-06-06,2.24163
2020-06-07,2.09606
2020-06-08,4.86171
2020-06-09,4.62882
2020-06-10,4.3377
2020-06-11,4.19213
2020-06-12,4.36681
2020-06-13,3.60989
2020-06-14,2.29985
2020-06-15,4.3377
2020-06-16,4.07569
2020-06-17,2.96943
2020-06-18,3.8719
2020-06-19,3.40611
2020-06-20,1.48471
2020-06-21,1.4556
2020-06-22,3.69723
2020-06-23,2.79475
2020-06-24,3.26055
2020-06-25,3.49344
2020-06-26,2.64919
2020-06-27,1.63027
2020-06-28,1.13537
2020-06-29,3.31877
2020-06-30,2.99854
2020-07-01,2.1834
2020-07-02,2.21251
2020-07-03,2.27074
2020-07-04,0.84425
2020-07-05,1.10625
2020-07-06,2.24163
2020-07-07,2.35807
2020-07-08,2.62008
2020-07-09,2.00873
2020-07-10,1.6885
2020-07-11,1.07714
2020-07-12,0.90247
2020-07-13,1.97962
2020-07-14,2.15429
2020-07-15,2.09606
2020-07-16,2.09606
2020-07-17,2.03784
2020-07-18,0.90247
2020-07-19,0.69868
2020-07-20,2.35807
2020-07-21,2.27074
2020-07-22,2.32896
2020-07-23,2.73653
2020-07-24,2.67831
2020-07-25,1.28093
2020-07-26,1.51382
2020-07-27,3.17321
2020-07-28,2.67831
2020-07-29,2.59097
2020-07-30,2.50363
2020-07-31,2.44541
2020-08-01,1.51382
2020-08-02,1.65938
2020-08-03,2.09606
2020-08-04,2.21251
2020-08-05,2.76564
2020-08-06,3.1441
2020-08-07,2.76564
2020-08-08,1.54294
2020-08-09,1.60116
2020-08-10,2.76564
2020-08-11,4.19213
2020-08-12,4.94905
2020-08-13,3.98835
2020-08-14,3.66812
2020-08-15,2.15429
2020-08-16,1.39737
2020-08-17,2.12518
2020-08-18,3.08588
2020-08-19,3.08588
2020-08-20,3.46433
2020-08-21,3.28966
2020-08-22,1.60116
2020-08-23,1.92139
2020-08-24,2.85298
2020-08-25,3.98835
2020-08-26,3.55167
2020-08-27,3.90101
2020-08-28,7.01601
2020-08-29,2.35807
2020-08-30,2.79475
2020-08-31,5.88064
2020-09-01,7.39446
2020-09-02,7.04512
2020-09-03,5.09461
2020-09-04,4.57059
2020-09-05,2.62008
2020-09-06,2.44541
2020-09-07,5.58951
2020-09-08,5.5604
2020-09-09,5.70596
2020-09-10,4.42503
2020-09-11,3.84279
2020-09-12,2.64919
2020-09-13,1.92139
2020-09-14,3.26055
2020-09-15,2.99854
2020-09-16,2.94032
2020-09-17,3.46433
2020-09-18,3.20232
2020-09-19,1.42649
2020-09-20,1.71761
2020-09-21,3.1441
2020-09-22,3.46433
2020-09-23,2.88209
2020-09-24,2.85298
2020-09-25,3.02765
2020-09-26,1.80494
2020-09-27,2.38719
2020-09-28,2.85298
2020-09-29,2.27074
2020-09-30,1.57205
2020-10-01,1.25181
2020-10-02,1.16448
2020-10-03,1.01892
2020-10-04,1.39737
2020-10-05,3.05676
2020-10-06,3.75545
2020-10-07,3.84279
2020-10-08,2.67831
2020-10-09,1.13537
2020-10-10,1.07714
2020-10-11,1.54294
2020-10-12,2.88209
2020-10-13,2.4163
2020-10-14,2.21251
2020-10-15,3.11499
2020-10-16,3.26055
2020-10-17,2.09606
2020-10-18,2.12518
2020-10-19,4.27947
2020-10-20,3.377
2020-10-21,2.59097
2020-10-22,2.62008
2020-10-23,2.73653
2020-10-24,1.83406
2020-10-25,1.92139
2020-10-26,2.29985
2020-10-27,2.99854
2020-10-28,2.56186
2020-10-29,2.09606
2020-10-30,2.29985
2020-10-31,1.51382
2020-11-01,1.39737
2020-11-02,3.08588
2020-11-03,3.20232
2020-11-04,3.40611
2020-11-05,4.1048
2020-11-06,3.40611
2020-11-07,1.31004
2020-11-08,2.50363
2020-11-09,3.95924
2020-11-10,5.70596
2020-11-11,5.0655
2020-11-12,5.35662
2020-11-13,4.36681
2020-11-14,1.86317
2020-11-15,2.29985
2020-11-16,4.65793
2020-11-17,3.55167
2020-11-18,2.94032
2020-11-19,2.96943
2020-11-20,3.75545
2020-11-21,1.80494
2020-11-22,1.6885
2020-11-23,3.84279
2020-11-24,2.9112
2020-11-25,2.88209
2020-11-26,2.88209
2020-11-27,3.8719
2020-11-28,2.03784
2020-11-29,2.59097
2020-11-30,3.43522
2020-12-01,4.22125
2020-12-02,4.74526
2020-12-03,5.12372
2020-12-04,3.52256
2020-12-05,2.4163
2020-12-06,2.47452
2020-12-07,3.43522
2020-12-08,3.60989
2020-12-09,3.90101
2020-12-10,4.1048
2020-12-11,2.96943
2020-12-12,1.63027
2020-12-13,1.92139
2020-12-14,2.82387
2020-12-15,2.96943
2020-12-16,3.75545
2020-12-17,4.3377
2020-12-18,2.50363
2020-12-19,1.77583
2020-12-20,2.50363
2020-12-21,3.17321
2020-12-22,3.40611
2020-12-23,3.23144
2020-12-24,2.56186
2020-12-25,2.44541
2020-12-26,2.9112
2020-12-27,2.38719
2020-12-28,3.55167
2020-12-29,3.84279
2020-12-30,3.40611
2020-12-31,3.60989
2021-01-01,2.56186
2021-01-02,2.62008
2021-01-03,3.05676
2021-01-04,4.04657
2021-01-05,3.98835
2021-01-06,12.95487
2021-01-07,12.28529
2021-01-08,11.73216
2021-01-09,9.57787
2021-01-10,7.27802
2021-01-11,11.93595
2021-01-12,18.22416
2021-01-13,16.47743
2021-01-14,11.47016
2021-01-15,11.38282
2021-01-16,7.01601
2021-01-17,6.49199
2021-01-18,7.77292
2021-01-19,6.89956
2021-01-20,5.76419
2021-01-21,5.90975
2021-01-22,5.99708
2021-01-23,5.09461
2021-01-24,4.04657
2021-01-25,7.33624
2021-01-26,11.64483
2021-01-27,8.06404
2021-01-28,7.7147
2021-01-29,5.76419
2021-01-30,3.81368
2021-01-31,3.49344
2021-02-01,5.21106
2021-02-02,7.51091
2021-02-03,7.07423
2021-02-04,6.84133
2021-02-05,5.73508
2021-02-06,3.84279
2021-02-07,3.90101
2021-02-08,8.06404
2021-02-09,10.65502
2021-02-10,9.31586
2021-02-11,6.25909
2021-02-12,5.24017
2021-02-13,6.17176
2021-02-14,6.66666
2021-02-15,8.61717
2021-02-16,16.50655
2021-02-17,31.12081
2021-02-18,24.62882
2021-02-19,23.72634
2021-02-20,16.47743
2021-02-21,12.11062
2021-02-22,30.82969
2021-02-23,46.37554
2021-02-24,47.33624
2021-02-25,34.06113
2021-02-26,100.0
2021-02-27,40.23289
2021-02-28,27.39446
2021-03-01,28.32605
2021-03-02,30.74235
2021-03-03,26.20087
2021-03-04,38.89374
2021-03-05,42.85298
2021-03-06,21.10625
2021-03-07,15.80786
2021-03-08,29.25764
2021-03-09,34.7016
2021-03-10,30.42212
2021-03-11,24.1048
2021-03-12,30.68413
2021-03-13,17.64192
2021-03-14,13.91557
2021-03-15,22.00873
2021-03-16,20.52401
2021-03-17,20.66957
2021-03-18,32.83842
2021-03-19,35.05094
2021-03-20,14.11935
2021-03-21,11.00436
2021-03-22,20.55312
2021-03-23,19.44687
2021-03-24,16.56477
2021-03-25,13.2751
2021-03-26,10.6259
2021-03-27,5.73508
2021-03-28,5.73508
2021-03-29,10.131
2021-03-30,13.47889
2021-03-31,11.55749
2021-04-01,10.80058
