date,블랙록
2020-11-07,2.40518
2020-11-08,2.22016
2020-11-09,2.93709
2020-11-10,3.51526
2020-11-11,3.67715
2020-11-12,3.05272
2020-11-13,2.59019
2020-11-14,1.82701
2020-11-15,3.07585
2020-11-16,3.14523
2020-11-17,5.04162
2020-11-18,3.09898
2020-11-19,6.03607
2020-11-20,3.44588
2020-11-21,4.78723
2020-11-22,2.65957
2020-11-23,3.81591
2020-11-24,4.23219
2020-11-25,4.39407
2020-11-26,6.45235
2020-11-27,5.0185
2020-11-28,4.71785
2020-11-29,3.67715
2020-11-30,5.31914
2020-12-01,4.50971
2020-12-02,8.23311
2020-12-03,18.17761
2020-12-04,12.7197
2020-12-05,7.56244
2020-12-06,15.17113
2020-12-07,23.77428
2020-12-08,19.81961
2020-12-09,12.88159
2020-12-10,6.82238
2020-12-11,6.61424
2020-12-12,5.59666
2020-12-13,8.41813
2020-12-14,7.03052
2020-12-15,5.7123
2020-12-16,6.68362
2020-12-17,5.68917
2020-12-18,15.44865
2020-12-19,9.06567
2020-12-20,3.95467
2020-12-21,7.40055
2020-12-22,5.78168
2020-12-23,6.12858
2020-12-24,4.0703
2020-12-25,4.46345
2020-12-26,3.67715
2020-12-27,4.34782
2020-12-28,5.94357
2020-12-29,12.51156
2020-12-30,7.7937
2020-12-31,7.0074
2021-01-01,5.50416
2021-01-02,4.30157
2021-01-03,4.60222
2021-01-04,6.89176
2021-01-05,6.79925
2021-01-06,6.19796
2021-01-07,9.55134
2021-01-08,6.77613
2021-01-09,5.89731
2021-01-10,6.86864
2021-01-11,8.46438
2021-01-12,6.72987
2021-01-13,6.68362
2021-01-14,8.60314
2021-01-15,11.21646
2021-01-16,8.0481
2021-01-17,7.49306
2021-01-18,8.90379
2021-01-19,6.86864
2021-01-20,8.99629
2021-01-21,56.0592
2021-01-22,95.32839
2021-01-23,28.79278
2021-01-24,24.16743
2021-01-25,38.29787
2021-01-26,25.80943
2021-01-27,25.94819
2021-01-28,19.95837
2021-01-29,42.94634
2021-01-30,27.93709
2021-01-31,29.71785
2021-02-01,24.02867
2021-02-02,25.41628
2021-02-03,27.84458
2021-02-04,23.7049
2021-02-05,17.71507
2021-02-06,21.32284
2021-02-07,14.75485
2021-02-08,19.17206
2021-02-09,16.23496
2021-02-10,11.54024
2021-02-11,12.23404
2021-02-12,10.45328
2021-02-13,9.41258
2021-02-14,8.44125
2021-02-15,38.69102
2021-02-16,28.70027
2021-02-17,18.91766
2021-02-18,47.94172
2021-02-19,45.37465
2021-02-20,25.02312
2021-02-21,23.51988
2021-02-22,22.4098
2021-02-23,13.52913
2021-02-24,16.85938
2021-02-25,14.89361
2021-02-26,10.61517
2021-02-27,7.23866
2021-02-28,6.96114
2021-03-01,7.05365
2021-03-02,9.06567
2021-03-03,8.34875
2021-03-04,5.98982
2021-03-05,7.14616
2021-03-06,4.50971
2021-03-07,5.73543
2021-03-08,6.33672
2021-03-09,6.89176
2021-03-10,9.32007
2021-03-11,8.30249
2021-03-12,8.16373
2021-03-13,6.10545
2021-03-14,4.62534
2021-03-15,6.29047
2021-03-16,8.0481
2021-03-17,8.07123
2021-03-18,8.7419
2021-03-19,5.78168
2021-03-20,4.55596
2021-03-21,4.6716
2021-03-22,7.23866
2021-03-23,5.98982
2021-03-24,6.91489
2021-03-25,10.75393
2021-03-26,6.42923
2021-03-27,5.13413
2021-03-28,6.19796
2021-03-29,6.54486
2021-03-30,6.72987
2021-03-31,12.60407
2021-04-01,11.58649
2021-04-02,6.79925
2021-04-03,4.37095
2021-04-04,3.49213
2021-04-05,10.56891
2021-04-06,9.48196
2021-04-07,8.46438
2021-04-08,8.27937
2021-04-09,6.70675
2021-04-10,5.57354
2021-04-11,4.94912
2021-04-12,7.26179
2021-04-13,10.82331
2021-04-14,7.16928
2021-04-15,7.26179
2021-04-16,13.94542
2021-04-17,5.04162
2021-04-18,4.83348
2021-04-19,6.15171
2021-04-20,8.02497
2021-04-21,6.17483
2021-04-22,7.19241
2021-04-23,8.27937
2021-04-24,4.81036
2021-04-25,4.32469
2021-04-26,8.90379
2021-04-27,8.16373
2021-04-28,10.82331
2021-04-29,8.67252
2021-04-30,12.39592
2021-05-01,7.03052
2021-05-02,4.85661
2021-05-03,7.16928
2021-05-04,6.91489
2021-05-05,4.60222
2021-05-06,6.33672
2021-05-07,8.69565
2021-05-08,6.86864
2021-05-09,6.70675
2021-05-10,8.58001
2021-05-11,9.7826
2021-05-12,6.86864
2021-05-13,7.07678
2021-05-14,6.753
2021-05-15,5.64292
2021-05-16,4.78723
2021-05-17,8.32562
2021-05-18,9.82886
2021-05-19,5.66604
2021-05-20,7.14616
2021-05-21,5.98982
2021-05-22,3.63089
2021-05-23,4.34782
2021-05-24,5.82793
2021-05-25,7.26179
2021-05-26,7.67807
2021-05-27,20.18963
2021-05-28,12.28029
2021-05-29,16.53561
2021-05-30,9.75948
2021-05-31,8.30249
2021-06-01,9.85198
2021-06-02,8.25624
2021-06-03,12.41905
2021-06-04,15.07863
2021-06-05,8.34875
2021-06-06,9.7826
2021-06-07,9.41258
2021-06-08,18.31637
2021-06-09,10.037
2021-06-10,8.37187
2021-06-11,10.01387
2021-06-12,16.39685
2021-06-13,14.56984
2021-06-14,11.49398
2021-06-15,15.44865
2021-06-16,9.7826
2021-06-17,10.15263
2021-06-18,12.28029
2021-06-19,7.0999
2021-06-20,7.33117
2021-06-21,8.60314
2021-06-22,12.14153
2021-06-23,10.22201
2021-06-24,8.11748
2021-06-25,8.81128
2021-06-26,6.91489
2021-06-27,5.20351
2021-06-28,5.92044
2021-06-29,6.29047
2021-06-30,7.16928
2021-07-01,5.52728
2021-07-02,6.96114
2021-07-03,5.27289
2021-07-04,4.53283
2021-07-05,4.62534
2021-07-06,8.55689
2021-07-07,5.98982
2021-07-08,14.22294
2021-07-09,10.82331
2021-07-10,7.49306
2021-07-11,4.64847
2021-07-12,8.02497
2021-07-13,10.56891
2021-07-14,9.0888
2021-07-15,10.7308
2021-07-16,9.04255
2021-07-17,11.51711
2021-07-18,6.54486
2021-07-19,7.33117
2021-07-20,7.83996
2021-07-21,8.14061
2021-07-22,6.08233
2021-07-23,7.33117
2021-07-24,5.41165
2021-07-25,3.60777
2021-07-26,5.61979
2021-07-27,6.0592
2021-07-28,6.61424
2021-07-29,6.12858
2021-07-30,6.66049
2021-07-31,5.7123
2021-08-01,4.37095
2021-08-02,5.27289
2021-08-03,5.87419
2021-08-04,5.111
2021-08-05,5.41165
2021-08-06,5.52728
2021-08-07,4.48658
2021-08-08,4.27844
