date,우량주
2020-03-20,56.73329
2020-03-21,25.56549
2020-03-22,20.62072
2020-03-23,44.55549
2020-03-24,40.6365
2020-03-25,48.81641
2020-03-26,45.92319
2020-03-27,39.11099
2020-03-28,19.85796
2020-03-29,17.93792
2020-03-30,30.16833
2020-03-31,30.66806
2020-04-01,31.61493
2020-04-02,25.03945
2020-04-03,21.54129
2020-04-04,12.49342
2020-04-05,12.62493
2020-04-06,22.17254
2020-04-07,27.32772
2020-04-08,24.64492
2020-04-09,28.485
2020-04-10,30.51025
2020-04-11,13.22987
2020-04-12,13.75591
2020-04-13,18.27985
2020-04-14,19.12151
2020-04-15,11.57285
2020-04-16,17.17517
2020-04-17,24.80273
2020-04-18,12.07259
2020-04-19,10.62598
2020-04-20,18.99
2020-04-21,21.17306
2020-04-22,23.43503
2020-04-23,20.96265
2020-04-24,16.17569
2020-04-25,8.86375
2020-04-26,8.65334
2020-04-27,15.07101
2020-04-28,16.04418
2020-04-29,16.78064
2020-04-30,8.33771
2020-05-01,6.49658
2020-05-02,6.07574
2020-05-03,6.12835
2020-05-04,10.62598
2020-05-05,9.33719
2020-05-06,13.33508
2020-05-07,12.70384
2020-05-08,11.62546
2020-05-09,6.47027
2020-05-10,7.49605
2020-05-11,11.54655
2020-05-12,11.49395
2020-05-13,12.30931
2020-05-14,12.86165
2020-05-15,10.67859
2020-05-16,6.57548
2020-05-17,5.73382
2020-05-18,11.86217
2020-05-19,15.28143
2020-05-20,14.59758
2020-05-21,15.38663
2020-05-22,12.1778
2020-05-23,5.91793
2020-05-24,5.57601
2020-05-25,12.75644
2020-05-26,15.12361
2020-05-27,14.38716
2020-05-28,12.41451
2020-05-29,10.99421
2020-05-30,6.04944
2020-05-31,6.33876
2020-06-01,12.46712
2020-06-02,15.96528
2020-06-03,20.54182
2020-06-04,20.09468
2020-06-05,21.22567
2020-06-06,9.10047
2020-06-07,8.78485
2020-06-08,24.22409
2020-06-09,22.11993
2020-06-10,25.67069
2020-06-11,29.64229
2020-06-12,24.27669
2020-06-13,7.94318
2020-06-14,7.52235
2020-06-15,20.3051
2020-06-16,23.85586
2020-06-17,31.29931
2020-06-18,30.95739
2020-06-19,26.98579
2020-06-20,10.25775
2020-06-21,8.54813
2020-06-22,16.2283
2020-06-23,15.04471
2020-06-24,15.59705
2020-06-25,13.30878
2020-06-26,12.09889
2020-06-27,5.81273
2020-06-28,6.12835
2020-06-29,9.25828
2020-06-30,11.12572
2020-07-01,9.75802
2020-07-02,11.70436
2020-07-03,10.46817
2020-07-04,5.15518
2020-07-05,24.17148
2020-07-06,21.93582
2020-07-07,15.09731
2020-07-08,16.64913
2020-07-09,18.20094
2020-07-10,12.51972
2020-07-11,7.78537
2020-07-12,10.70489
2020-07-13,15.57075
2020-07-14,13.88742
2020-07-15,14.22935
2020-07-16,12.44082
2020-07-17,13.09836
2020-07-18,6.94371
2020-07-19,7.07522
2020-07-20,12.78274
2020-07-21,16.46501
2020-07-22,17.5697
2020-07-23,17.17517
2020-07-24,15.57075
2020-07-25,7.75907
2020-07-26,16.14939
2020-07-27,18.75328
2020-07-28,20.12098
2020-07-29,20.25249
2020-07-30,19.54234
2020-07-31,16.3072
2020-08-01,8.41662
2020-08-02,9.12677
2020-08-03,15.83377
2020-08-04,19.59495
2020-08-05,19.06891
2020-08-06,20.59442
2020-08-07,24.4082
2020-08-08,12.65123
2020-08-09,16.04418
2020-08-10,30.82588
2020-08-11,29.72119
2020-08-12,24.22409
2020-08-13,24.64492
2020-08-14,18.54287
2020-08-15,10.17885
2020-08-16,8.44292
2020-08-17,9.5739
2020-08-18,17.5697
2020-08-19,18.49026
2020-08-20,20.43661
2020-08-21,17.6223
2020-08-22,9.75802
2020-08-23,10.41557
2020-08-24,17.04366
2020-08-25,20.17359
2020-08-26,21.46238
2020-08-27,22.38295
2020-08-28,18.91109
2020-08-29,11.09942
2020-08-30,13.70331
2020-08-31,22.11993
2020-09-01,23.27722
2020-09-02,22.22514
2020-09-03,24.4082
2020-09-04,24.61862
2020-09-05,11.41504
2020-09-06,12.2041
2020-09-07,21.98842
2020-09-08,24.01367
2020-09-09,23.0931
2020-09-10,23.32982
2020-09-11,20.51551
2020-09-12,10.62598
2020-09-13,12.15149
2020-09-14,23.11941
2020-09-15,24.69752
2020-09-16,22.88269
2020-09-17,18.9637
2020-09-18,17.43819
2020-09-19,9.36349
2020-09-20,9.65281
2020-09-21,16.2809
2020-09-22,15.99158
2020-09-23,16.14939
2020-09-24,18.01683
2020-09-25,15.33403
2020-09-26,7.65386
2020-09-27,7.99579
2020-09-28,13.5718
2020-09-29,12.83534
2020-09-30,8.67964
2020-10-01,8.99526
2020-10-02,7.46975
2020-10-03,7.39084
2020-10-04,8.1536
2020-10-05,15.64965
2020-10-06,17.35928
2020-10-07,15.09731
2020-10-08,16.64913
2020-10-09,8.75854
2020-10-10,7.28563
2020-10-11,8.1536
2020-10-12,14.22935
2020-10-13,16.54392
2020-10-14,16.64913
2020-10-15,15.59705
2020-10-16,13.83482
2020-10-17,8.07469
2020-10-18,7.96948
2020-10-19,13.6244
2020-10-20,14.83429
2020-10-21,14.65018
2020-10-22,12.80904
2020-10-23,11.41504
2020-10-24,6.68069
2020-10-25,7.91688
2020-10-26,14.36086
2020-10-27,12.65123
2020-10-28,11.36244
2020-10-29,11.38874
2020-10-30,10.49447
2020-10-31,6.54918
2020-11-01,6.7596
2020-11-02,9.23198
2020-11-03,11.75697
