date,한화에어로스페이스주가
2020-03-20,4.94293
2020-03-21,0.71579
2020-03-22,0.35789
2020-03-23,3.95673
2020-03-24,5.35252
2020-03-25,5.77007
2020-03-26,6.91533
2020-03-27,6.3427
2020-03-28,0.96234
2020-03-29,0.6283
2020-03-30,5.46387
2020-03-31,6.02457
2020-04-01,5.61498
2020-04-02,5.09802
2020-04-03,4.52141
2020-04-04,0.65614
2020-04-05,0.40959
2020-04-06,5.21334
2020-04-07,7.55557
2020-04-08,7.79814
2020-04-09,6.95908
2020-04-10,6.23931
2020-04-11,0.67204
2020-04-12,0.48912
2020-04-13,5.51159
2020-04-14,6.10013
2020-04-15,0.66807
2020-04-16,5.4917
2020-04-17,5.7303
2020-04-18,0.89076
2020-04-19,0.61239
2020-04-20,6.50176
2020-04-21,12.13265
2020-04-22,7.12212
2020-04-23,6.94715
2020-04-24,8.58949
2020-04-25,1.37193
2020-04-26,1.22082
2020-04-27,8.70481
2020-04-28,9.27744
2020-04-29,7.88563
2020-04-30,0.95836
2020-05-01,1.57076
2020-05-02,0.91064
2020-05-03,0.59649
2020-05-04,5.66667
2020-05-05,0.75953
2020-05-06,4.77591
2020-05-07,4.87135
2020-05-08,4.51346
2020-05-09,0.45731
2020-05-10,0.40959
2020-05-11,4.35837
2020-05-12,4.6765
2020-05-13,5.17357
2020-05-14,3.88117
2020-05-15,4.29474
2020-05-16,0.50105
2020-05-17,0.29426
2020-05-18,3.88515
2020-05-19,4.95088
2020-05-20,3.93287
2020-05-21,3.86924
2020-05-22,3.1972
2020-05-23,0.42152
2020-05-24,0.27438
2020-05-25,4.1317
2020-05-26,4.56118
2020-05-27,5.36843
2020-05-28,4.51743
2020-05-29,4.59696
2020-05-30,0.37777
2020-05-31,0.48912
2020-06-01,4.46176
2020-06-02,5.04235
2020-06-03,5.45989
2020-06-04,5.57919
2020-06-05,4.91509
2020-06-06,0.59251
2020-06-07,0.509
2020-06-08,4.97077
2020-06-09,6.28305
2020-06-10,5.33264
2020-06-11,4.4379
2020-06-12,4.36632
2020-06-13,0.46128
2020-06-14,0.51696
2020-06-15,7.42434
2020-06-16,8.35487
2020-06-17,14.48284
2020-06-18,12.0571
2020-06-19,9.55183
2020-06-20,0.80725
2020-06-21,0.90269
2020-06-22,6.9034
2020-06-23,6.72446
2020-06-24,6.78013
2020-06-25,6.34668
2020-06-26,7.05054
2020-06-27,0.75158
2020-06-28,1.04187
2020-06-29,5.60305
2020-06-30,5.84562
2020-07-01,5.51556
2020-07-02,5.10597
2020-07-03,5.22527
2020-07-04,0.61239
2020-07-05,0.56865
2020-07-06,5.51159
2020-07-07,4.84352
2020-07-08,5.07416
2020-07-09,4.41006
