date,금1돈시세
2020-03-20,48.39
2020-03-21,26.78
2020-03-22,23.19
2020-03-23,31.59
2020-03-24,31.01
2020-03-25,33.1
2020-03-26,30.91
2020-03-27,25.85
2020-03-28,20.44
2020-03-29,17.04
2020-03-30,23.06
2020-03-31,24.05
2020-04-01,22.19
2020-04-02,21.35
2020-04-03,22.16
2020-04-04,17.51
2020-04-05,16.84
2020-04-06,25.75
2020-04-07,26.42
2020-04-08,26.83
2020-04-09,22.41
2020-04-10,30.91999
2020-04-11,21.1
2020-04-12,56.89999
2020-04-13,65.41
2020-04-14,60.95
2020-04-15,31.87999
2020-04-16,37.45
2020-04-17,38.09
2020-04-18,28.23
2020-04-19,24.51
2020-04-20,30.22
2020-04-21,34.54999
2020-04-22,39.43
2020-04-23,36.33
2020-04-24,43.37
2020-04-25,26.44
2020-04-26,28.42
2020-04-27,100.0
2020-04-28,32.6
2020-04-29,27.36
2020-04-30,24.41
2020-05-01,23.68
2020-05-02,21.79
2020-05-03,22.86
2020-05-04,29.85999
2020-05-05,25.42
2020-05-06,35.4
2020-05-07,25.72999
2020-05-08,25.45
2020-05-09,23.13
2020-05-10,18.1
2020-05-11,22.73
2020-05-12,21.65
2020-05-13,20.92
2020-05-14,22.06
2020-05-15,23.62
2020-05-16,19.27
2020-05-17,17.92999
2020-05-18,36.02
2020-05-19,33.86
2020-05-20,26.07
2020-05-21,21.46
2020-05-22,21.97
2020-05-23,18.16
2020-05-24,17.08
2020-05-25,20.44
2020-05-26,9.22999
2020-05-27,7.6
2020-05-28,7.84
2020-05-29,7.14
2020-05-30,4.54
2020-05-31,4.06
2020-06-01,6.95
2020-06-02,6.59
2020-06-03,6.91
2020-06-04,6.33
2020-06-05,6.18
2020-06-06,4.58
2020-06-07,4.03
2020-06-08,6.26
2020-06-09,6.62
2020-06-10,6.61
2020-06-11,6.99
2020-06-12,6.27
2020-06-13,4.74
2020-06-14,4.44
2020-06-15,7.3
2020-06-16,5.92
2020-06-17,6.31
2020-06-18,6.68
2020-06-19,6.32
2020-06-20,4.29999
2020-06-21,4.31
2020-06-22,8.19
2020-06-23,8.21
2020-06-24,6.66
2020-06-25,7.57
2020-06-26,6.37
2020-06-27,5.89
2020-06-28,4.29999
2020-06-29,6.8
2020-06-30,6.68
2020-07-01,8.32
2020-07-02,8.05
2020-07-03,7.55
2020-07-04,5.27
2020-07-05,6.63
2020-07-06,9.54
2020-07-07,7.62
2020-07-08,7.63
2020-07-09,9.07
2020-07-10,8.01999
2020-07-11,5.69
2020-07-12,5.33
2020-07-13,10.36
2020-07-14,18.04
2020-07-15,13.35
2020-07-16,11.55
2020-07-17,10.41
2020-07-18,8.48
2020-07-19,7.3
2020-07-20,9.5
2020-07-21,8.69999
2020-07-22,14.59
2020-07-23,16.9
2020-07-24,22.53
2020-07-25,27.65
2020-07-26,12.61
2020-07-27,24.97
2020-07-28,27.15
2020-07-29,26.88
2020-07-30,16.26
2020-07-31,14.23
2020-08-01,10.84
2020-08-02,9.58
2020-08-03,11.98
2020-08-04,10.75
2020-08-05,30.48
2020-08-06,19.18999
2020-08-07,16.44
2020-08-08,10.18
2020-08-09,9.01
2020-08-10,13.61
2020-08-11,13.16
2020-08-12,23.05
2020-08-13,14.74
2020-08-14,11.08
2020-08-15,8.42
2020-08-16,7.2
2020-08-17,8.44
2020-08-18,13.42
2020-08-19,10.59
2020-08-20,10.48
2020-08-21,9.44
2020-08-22,6.61
2020-08-23,6.08
2020-08-24,9.88
2020-08-25,9.72
2020-08-26,8.33
2020-08-27,8.81
2020-08-28,8.62
2020-08-29,6.26
2020-08-30,5.67
2020-08-31,9.6
2020-09-01,9.27
2020-09-02,8.4
2020-09-03,8.53
2020-09-04,9.98
2020-09-05,7.42
2020-09-06,6.69
2020-09-07,8.8
2020-09-08,8.5
2020-09-09,8.51
2020-09-10,8.42
2020-09-11,8.06
2020-09-12,6.03
2020-09-13,5.92
2020-09-14,8.56
2020-09-15,8.18
2020-09-16,6.93
2020-09-17,7.32
2020-09-18,7.52
2020-09-19,6.0
2020-09-20,5.34
2020-09-21,7.96
2020-09-22,7.27
2020-09-23,7.76
2020-09-24,9.59
2020-09-25,11.01
2020-09-26,5.84
2020-09-27,5.89
2020-09-28,8.4
2020-09-29,8.44
2020-09-30,5.85
2020-10-01,7.08
2020-10-02,6.09
2020-10-03,6.13
2020-10-04,5.36
2020-10-05,8.05
2020-10-06,9.36
2020-10-07,7.11
2020-10-08,7.38
2020-10-09,5.6
2020-10-10,5.63
2020-10-11,4.97
2020-10-12,7.53
2020-10-13,7.08
2020-10-14,7.23
2020-10-15,7.27
2020-10-16,6.58
2020-10-17,4.71
2020-10-18,4.88
2020-10-19,6.73
2020-10-20,6.73
2020-10-21,7.04
2020-10-22,6.79
2020-10-23,7.84
2020-10-24,5.46
2020-10-25,5.39
2020-10-26,7.86
2020-10-27,7.74
2020-10-28,8.04
2020-10-29,8.06
2020-10-30,7.91
2020-10-31,5.39
2020-11-01,5.12
2020-11-02,7.54
2020-11-03,6.97
2020-11-04,6.7
2020-11-05,7.28
2020-11-06,7.85
2020-11-07,6.14
2020-11-08,5.11
2020-11-09,7.58
2020-11-10,9.02
2020-11-11,8.04
2020-11-12,8.16
2020-11-13,7.42
2020-11-14,5.94
2020-11-15,5.22
2020-11-16,7.28
2020-11-17,6.43
2020-11-18,7.12
2020-11-19,6.69
2020-11-20,7.14999
2020-11-21,5.59
2020-11-22,5.16
2020-11-23,6.67
2020-11-24,7.25
2020-11-25,7.51
2020-11-26,7.94
2020-11-27,8.84
2020-11-28,7.31
2020-11-29,5.62
2020-11-30,8.33
2020-12-01,9.18
2020-12-02,11.7
2020-12-03,8.64999
2020-12-04,9.2
2020-12-05,7.81
2020-12-06,7.71
2020-12-07,11.45
2020-12-08,9.81
2020-12-09,9.22
2020-12-10,10.65
2020-12-11,10.09
2020-12-12,8.26
2020-12-13,7.29
2020-12-14,9.54
2020-12-15,9.89
2020-12-16,10.21
2020-12-17,9.42
2020-12-18,10.62
2020-12-19,8.42
2020-12-20,7.86
2020-12-21,10.16
2020-12-22,9.97
2020-12-23,10.06
2020-12-24,10.24999
2020-12-25,7.92
2020-12-26,8.49
2020-12-27,8.05
2020-12-28,11.14
2020-12-29,11.65
2020-12-30,11.92
2020-12-31,11.4
2021-01-01,13.38
2021-01-02,11.73
2021-01-03,12.12
2021-01-04,13.84
2021-01-05,13.09
2021-01-06,13.59
2021-01-07,10.84
2021-01-08,12.66
2021-01-09,11.94
2021-01-10,11.11
2021-01-11,12.85
2021-01-12,13.51999
2021-01-13,12.04
2021-01-14,11.85
2021-01-15,12.02
2021-01-16,11.76
2021-01-17,27.28999
2021-01-18,15.9
2021-01-19,14.33
2021-01-20,13.36
2021-01-21,13.05
2021-01-22,12.72
2021-01-23,12.96
2021-01-24,13.3
2021-01-25,14.26
2021-01-26,13.74
2021-01-27,11.87
2021-01-28,11.5
2021-01-29,12.67
2021-01-30,10.39
2021-01-31,10.31
2021-02-01,12.83
2021-02-02,12.41
2021-02-03,11.09
2021-02-04,10.45
2021-02-05,11.59
2021-02-06,10.39
2021-02-07,10.36
2021-02-08,11.4
2021-02-09,11.9
2021-02-10,13.44
2021-02-11,10.65
2021-02-12,12.08
2021-02-13,11.12
2021-02-14,11.05
2021-02-15,12.28
2021-02-16,12.1
2021-02-17,12.64
2021-02-18,13.09
2021-02-19,25.92999
2021-02-20,16.23
2021-02-21,13.66
2021-02-22,16.43
2021-02-23,16.32
2021-02-24,11.66
2021-02-25,11.64
2021-02-26,11.84
2021-02-27,11.02
2021-02-28,11.83
2021-03-01,10.12
2021-03-02,12.31
2021-03-03,14.38
2021-03-04,16.54
2021-03-05,15.44
2021-03-06,12.47
2021-03-07,12.0
2021-03-08,13.03999
2021-03-09,12.04
2021-03-10,12.07
2021-03-11,14.13
2021-03-12,12.88
2021-03-13,12.54
2021-03-14,12.02
2021-03-15,11.62
2021-03-16,11.5
2021-03-17,11.87
2021-03-18,11.8
2021-03-19,10.99
