date,자동차보험종류
2020-03-20,40.14084
2020-03-21,25.35211
2020-03-22,24.64788
2020-03-23,42.25352
2020-03-24,36.38497
2020-03-25,50.23474
2020-03-26,43.89671
2020-03-27,36.61971
2020-03-28,23.47417
2020-03-29,26.52582
2020-03-30,42.95774
2020-03-31,42.01877
2020-04-01,40.37558
2020-04-02,47.18309
2020-04-03,44.36619
2020-04-04,27.69953
2020-04-05,27.93427
2020-04-06,39.20187
2020-04-07,44.60093
2020-04-08,32.6291
2020-04-09,40.14084
2020-04-10,37.32394
2020-04-11,27.69953
2020-04-12,26.76056
2020-04-13,51.64319
2020-04-14,52.11267
2020-04-15,34.03755
2020-04-16,40.37558
2020-04-17,41.78403
2020-04-18,30.28169
2020-04-19,31.69014
2020-04-20,51.1737
2020-04-21,43.66197
2020-04-22,49.53051
2020-04-23,50.93896
2020-04-24,37.55868
2020-04-25,27.93427
2020-04-26,34.2723
2020-04-27,51.64319
2020-04-28,38.02816
2020-04-29,43.66197
2020-04-30,30.04694
2020-05-01,27.93427
2020-05-02,28.40375
2020-05-03,30.04694
2020-05-04,47.41784
2020-05-05,34.74178
2020-05-06,53.52112
2020-05-07,51.64319
2020-05-08,42.723
2020-05-09,30.28169
2020-05-10,30.75117
2020-05-11,46.71361
2020-05-12,44.13145
2020-05-13,52.8169
2020-05-14,50.23474
2020-05-15,44.83568
2020-05-16,24.64788
2020-05-17,26.29107
2020-05-18,56.10328
2020-05-19,52.58215
2020-05-20,48.3568
2020-05-21,52.11267
2020-05-22,39.9061
2020-05-23,28.16901
2020-05-24,28.87323
2020-05-25,50.70422
2020-05-26,49.76525
2020-05-27,56.33802
2020-05-28,44.36619
2020-05-29,38.49765
2020-05-30,23.70892
2020-05-31,27.23004
2020-06-01,51.40845
2020-06-02,60.09389
2020-06-03,51.64319
2020-06-04,50.93896
2020-06-05,44.13145
2020-06-06,27.46478
2020-06-07,29.8122
2020-06-08,53.05164
2020-06-09,58.68544
2020-06-10,48.82629
2020-06-11,44.13145
2020-06-12,38.96713
2020-06-13,25.58685
2020-06-14,34.50704
2020-06-15,48.12206
2020-06-16,45.5399
2020-06-17,37.0892
2020-06-18,46.71361
2020-06-19,40.14084
2020-06-20,23.47417
2020-06-21,23.47417
2020-06-22,47.88732
2020-06-23,50.23474
2020-06-24,46.24413
2020-06-25,51.40845
2020-06-26,38.73239
2020-06-27,24.1784
2020-06-28,26.9953
2020-06-29,46.94835
2020-06-30,49.29577
2020-07-01,46.00938
2020-07-02,40.14084
2020-07-03,34.50704
2020-07-04,26.9953
2020-07-05,22.06572
2020-07-06,52.58215
2020-07-07,42.95774
2020-07-08,46.94835
2020-07-09,34.97652
2020-07-10,34.74178
2020-07-11,30.28169
2020-07-12,29.34272
2020-07-13,44.83568
2020-07-14,49.76525
2020-07-15,50.46948
2020-07-16,49.06103
2020-07-17,43.66197
2020-07-18,23.94366
2020-07-19,27.93427
2020-07-20,51.1737
2020-07-21,45.07042
2020-07-22,51.64319
2020-07-23,37.55868
2020-07-24,40.84507
2020-07-25,22.06572
2020-07-26,32.15962
2020-07-27,49.06103
2020-07-28,43.89671
2020-07-29,45.77464
2020-07-30,50.70422
2020-07-31,38.02816
2020-08-01,25.58685
2020-08-02,23.47417
2020-08-03,41.31455
2020-08-04,48.59154
2020-08-05,47.88732
2020-08-06,42.01877
2020-08-07,46.47887
2020-08-08,31.22065
2020-08-09,36.85446
2020-08-10,55.16431
2020-08-11,50.70422
2020-08-12,39.67136
2020-08-13,47.18309
2020-08-14,45.77464
2020-08-15,33.09859
2020-08-16,23.70892
2020-08-17,34.50704
2020-08-18,51.40845
2020-08-19,45.07042
2020-08-20,41.07981
2020-08-21,41.54929
2020-08-22,30.75117
2020-08-23,29.34272
2020-08-24,37.32394
2020-08-25,56.57276
2020-08-26,50.23474
2020-08-27,42.95774
2020-08-28,36.38497
2020-08-29,34.97652
2020-08-30,27.93427
2020-08-31,44.36619
2020-09-01,44.60093
2020-09-02,41.07981
2020-09-03,49.06103
2020-09-04,47.41784
2020-09-05,28.63849
2020-09-06,33.80281
2020-09-07,48.82629
2020-09-08,53.75586
2020-09-09,49.53051
2020-09-10,44.83568
2020-09-11,43.89671
2020-09-12,30.28169
2020-09-13,31.92488
2020-09-14,43.42723
2020-09-15,48.3568
2020-09-16,40.37558
2020-09-17,45.77464
2020-09-18,38.02816
2020-09-19,19.01408
2020-09-20,32.15962
2020-09-21,36.38497
2020-09-22,54.46009
2020-09-23,48.12206
2020-09-24,33.80281
2020-09-25,33.56807
2020-09-26,21.12676
2020-09-27,22.53521
2020-09-28,40.37558
2020-09-29,31.92488
2020-09-30,22.06572
2020-10-01,28.16901
2020-10-02,23.47417
2020-10-03,25.58685
2020-10-04,29.8122
2020-10-05,45.30516
2020-10-06,49.53051
2020-10-07,46.47887
2020-10-08,38.96713
2020-10-09,27.23004
2020-10-10,23.94366
2020-10-11,29.57746
2020-10-12,48.3568
2020-10-13,58.68544
2020-10-14,51.1737
2020-10-15,42.723
2020-10-16,37.0892
2020-10-17,19.7183
2020-10-18,32.15962
2020-10-19,42.48826
2020-10-20,37.0892
2020-10-21,40.37558
2020-10-22,38.96713
2020-10-23,35.446
2020-10-24,27.46478
2020-10-25,25.58685
2020-10-26,46.47887
2020-10-27,57.04225
2020-10-28,43.19248
2020-10-29,40.14084
