date,미국증시휴장일
2020-03-20,0.00862
2020-03-21,0.01194
2020-03-22,0.0053
2020-03-23,0.00398
2020-03-25,0.00398
2020-03-26,0.00331
2020-03-27,0.0053
2020-03-28,0.00729
2020-03-30,0.00995
2020-03-31,0.00928
2020-04-01,0.0053
2020-04-02,0.00597
2020-04-03,0.01194
2020-04-04,0.00464
2020-04-06,0.01393
2020-04-07,0.00729
2020-04-08,0.02189
2020-04-09,0.11743
2020-04-10,0.38214
2020-04-11,0.17515
2020-04-12,0.03582
2020-04-13,0.18709
2020-04-14,0.02056
2020-04-15,0.0126
2020-04-16,0.00729
2020-04-17,0.00928
2020-04-18,0.02056
2020-04-19,0.0126
2020-04-20,0.02056
2020-04-21,0.01326
2020-04-22,0.00796
2020-04-23,0.01525
2020-04-24,0.01326
2020-04-25,0.01127
2020-04-26,0.01326
2020-04-27,0.04312
2020-04-28,0.05373
2020-04-29,0.15126
2020-04-30,0.29324
2020-05-01,0.33769
2020-05-02,0.07762
2020-05-03,0.04909
2020-05-04,0.12406
2020-05-05,0.15126
2020-05-06,0.03648
2020-05-07,0.02123
2020-05-08,0.01857
2020-05-09,0.0199
2020-05-10,0.01393
2020-05-11,0.03118
2020-05-12,0.01857
2020-05-13,0.01459
2020-05-14,0.02852
2020-05-15,0.04113
2020-05-16,0.01127
2020-05-17,0.00729
2020-05-18,0.01658
2020-05-19,0.01459
2020-05-21,0.03383
2020-05-22,0.14728
2020-05-23,0.16387
2020-05-24,0.27732
2020-05-25,8.73831
2020-05-26,9.52914
2020-05-27,0.14131
2020-05-28,0.10084
2020-05-29,0.25078
2020-05-30,0.05705
2020-05-31,0.04511
2020-06-01,0.15989
2020-06-02,0.09421
2020-06-03,0.06966
2020-06-04,0.07828
2020-06-05,0.05373
2020-06-06,0.04312
2020-06-07,0.02322
2020-06-08,0.09752
2020-06-09,0.0544
2020-06-10,0.05042
2020-06-11,0.05174
2020-06-12,0.07629
2020-06-13,0.03051
2020-06-14,0.02454
2020-06-15,0.07828
2020-06-16,0.03715
2020-06-17,0.03582
2020-06-18,0.03317
2020-06-19,0.04378
2020-06-20,0.01658
2020-06-21,0.01658
2020-06-22,0.06634
2020-06-23,0.03914
2020-06-24,0.04909
2020-06-25,0.0816
2020-06-26,0.07364
2020-06-27,0.05108
2020-06-28,0.06236
2020-06-29,0.15989
2020-06-30,0.14993
2020-07-01,0.24945
2020-07-02,0.59378
2020-07-03,8.44175
2020-07-04,3.26019
2020-07-05,0.20367
2020-07-06,0.38944
2020-07-07,0.09752
2020-07-08,0.04909
2020-07-09,0.05639
2020-07-10,0.06501
2020-07-11,0.07032
2020-07-12,0.04644
2020-07-13,0.07895
2020-07-14,0.05506
2020-07-15,0.0471
2020-07-16,0.04246
2020-07-17,0.07165
2020-07-18,0.0272
2020-07-19,0.01194
2020-07-20,0.05241
2020-07-21,0.03648
2020-07-22,0.04047
2020-07-23,0.04378
2020-07-24,0.06833
2020-07-25,0.02985
2020-07-26,0.0199
2020-07-27,0.05506
2020-07-28,0.04047
2020-07-29,0.02653
2020-07-30,0.02786
2020-07-31,0.0272
2020-08-01,0.03051
2020-08-02,0.01791
2020-08-03,0.10084
2020-08-04,0.04776
2020-08-05,0.03449
2020-08-06,0.08558
