date,코스닥
2020-11-08,1.75147
2020-11-09,13.04408
2020-11-10,17.49943
2020-11-11,15.57048
2020-11-12,13.66523
2020-11-13,13.46267
2020-11-14,1.5898
2020-11-15,1.30408
2020-11-16,11.36647
2020-11-17,13.33398
2020-11-18,10.54927
2020-11-19,11.40921
2020-11-20,9.53741
2020-11-21,1.44531
2020-11-22,1.24833
2020-11-23,11.27681
2020-11-24,11.29028
2020-11-25,19.78053
2020-11-26,11.52815
2020-11-27,9.60338
2020-11-28,1.55913
2020-11-29,1.33381
2020-11-30,11.4422
2020-12-01,9.54066
2020-12-02,9.39432
2020-12-03,10.98598
2020-12-04,10.50095
2020-12-05,1.77935
2020-12-06,1.50338
2020-12-07,12.34395
2020-12-08,15.89755
2020-12-09,11.46822
2020-12-10,11.85289
2020-12-11,9.39943
2020-12-12,1.63254
2020-12-13,1.42162
2020-12-14,11.90957
2020-12-15,12.41178
2020-12-16,9.39571
2020-12-17,10.60177
2020-12-18,8.95389
2020-12-19,1.52336
2020-12-20,1.37005
2020-12-21,11.14068
2020-12-22,34.05668
2020-12-23,18.94103
2020-12-24,11.31908
2020-12-25,1.71105
2020-12-26,1.34636
2020-12-27,1.51639
2020-12-28,11.80132
2020-12-29,13.83898
2020-12-30,12.08007
2020-12-31,3.27902
2021-01-01,1.60141
2021-01-02,1.43695
2021-01-03,1.5661
2021-01-04,13.75024
2021-01-05,16.60557
2021-01-06,18.2632
2021-01-07,14.38068
2021-01-08,19.05253
2021-01-09,3.60841
2021-01-10,2.93198
2021-01-11,35.59259
2021-01-12,24.98989
2021-01-13,16.46712
2021-01-14,14.12238
2021-01-15,18.28503
2021-01-16,2.56635
2021-01-17,2.18493
2021-01-18,21.05581
2021-01-19,15.55561
2021-01-20,14.21529
2021-01-21,12.98833
2021-01-22,13.19553
2021-01-23,2.20583
2021-01-24,1.8639
2021-01-25,14.85967
2021-01-26,27.12511
2021-01-27,17.92731
2021-01-28,22.56988
2021-01-29,35.71942
2021-01-30,3.81886
2021-01-31,2.64254
2021-02-01,18.89271
2021-02-02,15.92728
2021-02-03,15.21925
2021-02-04,17.09106
2021-02-05,13.19925
2021-02-06,1.84764
2021-02-07,1.56517
2021-02-08,13.55326
2021-02-09,11.40968
2021-02-10,11.15044
2021-02-11,1.66831
2021-02-12,1.31291
2021-02-13,1.36494
2021-02-14,1.40814
2021-02-15,9.82917
2021-02-16,12.6083
2021-02-17,12.78205
2021-02-18,14.91309
2021-02-19,18.32685
2021-02-20,1.8495
2021-02-21,1.54613
2021-02-22,15.09242
2021-02-23,19.86973
2021-02-24,29.8248
2021-02-25,14.89079
2021-02-26,21.38055
2021-02-27,2.2732
2021-02-28,1.88806
2021-03-01,2.08365
2021-03-02,14.04618
2021-03-03,11.63732
2021-03-04,13.97743
2021-03-05,15.12587
2021-03-06,1.82906
2021-03-07,1.4769
2021-03-08,16.72543
2021-03-09,23.57059
2021-03-10,18.42906
2021-03-11,12.3486
2021-03-12,10.20687
2021-03-13,1.6632
2021-03-14,1.41093
2021-03-15,11.14765
2021-03-16,9.27074
2021-03-17,10.85357
2021-03-18,9.06493
2021-03-19,11.64661
2021-03-20,1.57028
2021-03-21,1.34217
2021-03-22,10.43638
2021-03-23,11.91189
2021-03-24,11.02918
2021-03-25,10.81826
2021-03-26,8.48048
2021-03-27,1.19026
2021-03-28,1.05135
2021-03-29,9.30884
2021-03-30,7.3915
2021-03-31,8.08931
2021-04-01,7.10486
2021-04-02,7.00311
2021-04-03,1.25994
2021-04-04,1.06714
2021-04-05,7.8152
2021-04-06,8.20034
2021-04-07,6.76757
2021-04-08,7.10486
2021-04-09,6.92878
2021-04-10,1.22371
2021-04-11,0.99792
2021-04-12,14.63899
2021-04-13,11.56345
2021-04-14,9.08816
2021-04-15,8.92137
2021-04-16,7.79569
2021-04-17,1.58654
2021-04-18,1.46529
2021-04-19,8.17479
2021-04-20,8.37781
2021-04-21,11.26891
2021-04-22,7.93274
2021-04-23,8.5971
2021-04-24,1.39096
2021-04-25,1.20001
2021-04-26,6.68209
2021-04-27,8.28722
2021-04-28,17.36516
2021-04-29,14.24131
2021-04-30,14.30728
2021-05-01,1.71384
2021-05-02,1.43741
2021-05-03,20.03605
2021-05-04,21.24071
2021-05-05,2.3545
2021-05-06,11.54487
2021-05-07,8.46887
2021-05-08,1.27713
2021-05-09,1.06482
2021-05-10,8.69837
2021-05-11,13.0478
2021-05-12,15.55608
2021-05-13,16.73333
2021-05-14,9.35529
2021-05-15,1.33521
2021-05-16,1.0467
2021-05-17,11.80597
2021-05-18,8.03681
2021-05-19,1.72871
2021-05-20,9.87656
2021-05-21,9.53973
2021-05-22,1.15309
2021-05-23,0.96911
2021-05-24,13.2773
2021-05-25,8.31602
2021-05-26,8.02519
2021-05-27,9.14159
2021-05-28,7.00404
2021-05-29,1.08387
2021-05-30,0.91801
2021-05-31,7.36735
2021-06-01,6.90323
2021-06-02,7.76874
2021-06-03,6.79777
2021-06-04,7.64842
2021-06-05,1.00163
2021-06-06,0.87062
2021-06-07,8.23611
2021-06-08,7.33761
2021-06-09,7.49092
2021-06-10,7.15828
2021-06-11,5.92528
2021-06-12,0.82184
2021-06-13,0.75355
2021-06-14,6.41402
2021-06-15,6.46466
2021-06-16,6.42285
2021-06-17,7.84633
2021-06-18,6.92692
2021-06-19,1.28038
2021-06-20,0.97469
2021-06-21,9.41894
2021-06-22,6.88093
2021-06-23,6.64864
2021-06-24,6.85816
2021-06-25,6.21843
2021-06-26,0.94124
2021-06-27,0.72196
2021-06-28,6.20496
2021-06-29,6.56129
2021-06-30,5.70925
2021-07-01,6.71089
2021-07-02,5.9722
2021-07-03,0.93752
2021-07-04,0.78839
2021-07-05,5.88579
2021-07-06,5.85188
2021-07-07,6.54875
2021-07-08,12.86289
2021-07-09,12.60644
2021-07-10,1.187
2021-07-11,0.82138
2021-07-12,5.87557
2021-07-13,5.53457
2021-07-14,6.46884
2021-07-15,6.00565
2021-07-16,6.64538
2021-07-17,0.92962
2021-07-18,0.83717
2021-07-19,8.19291
2021-07-20,10.01175
2021-07-21,8.29697
2021-07-22,5.93271
2021-07-23,5.44583
2021-07-24,0.79397
2021-07-25,0.64623
2021-07-26,7.46491
2021-07-27,5.84119
2021-07-28,9.00686
2021-07-29,5.90716
2021-07-30,8.92416
2021-07-31,0.9733
2021-08-01,0.76423
2021-08-02,6.29834
2021-08-03,7.25631
2021-08-04,5.2154
2021-08-05,5.65118
2021-08-06,5.76732
2021-08-07,0.8158
2021-08-08,0.68433
2021-08-09,6.31321
2021-08-10,7.38918
2021-08-11,6.7462
2021-08-12,5.98057
2021-08-13,13.18764
2021-08-14,1.17353
2021-08-15,0.76981
2021-08-16,1.37423
2021-08-17,23.38708
2021-08-18,11.53512
2021-08-19,23.59939
2021-08-20,25.21707
2021-08-21,2.33777
2021-08-22,1.5884
2021-08-23,12.37694
