date,근린생활시설
2020-03-20,35.59322
2020-03-21,27.70127
2020-03-22,29.07838
2020-03-23,46.0805
2020-03-24,41.63135
2020-03-25,39.72457
2020-03-26,45.49788
2020-03-27,37.1822
2020-03-28,27.22457
2020-03-29,27.8072
2020-03-30,41.41949
2020-03-31,39.40677
2020-04-01,40.09533
2020-04-02,39.35381
2020-04-03,35.01059
2020-04-04,25.52966
2020-04-05,22.56355
2020-04-06,39.72457
2020-04-07,42.42584
2020-04-08,42.9555
2020-04-09,39.8305
2020-04-10,36.22881
2020-04-11,25.84745
2020-04-12,24.6822
2020-04-13,46.3983
2020-04-14,40.67796
2020-04-15,29.39618
2020-04-16,43.90889
2020-04-17,35.91101
2020-04-18,28.33686
2020-04-19,29.55508
2020-04-20,44.12076
2020-04-21,43.06144
2020-04-22,41.36652
2020-04-23,44.80932
2020-04-24,38.08262
2020-04-25,27.91313
2020-04-26,26.21822
2020-04-27,42.90254
2020-04-28,45.55084
2020-04-29,43.32627
2020-04-30,28.76059
2020-05-01,32.25635
2020-05-02,26.43008
2020-05-03,29.29025
2020-05-04,38.71822
2020-05-05,32.52118
2020-05-06,41.79025
2020-05-07,41.52542
2020-05-08,39.30084
2020-05-09,28.54872
2020-05-10,28.91949
2020-05-11,47.66949
2020-05-12,43.48516
2020-05-13,44.75635
2020-05-14,45.44491
2020-05-15,38.50635
2020-05-16,28.07203
2020-05-17,28.44279
2020-05-18,46.18644
2020-05-19,43.4322
2020-05-20,41.41949
2020-05-21,45.49788
2020-05-22,39.61864
2020-05-23,31.19703
2020-05-24,29.29025
2020-05-25,47.93432
2020-05-26,49.57627
2020-05-27,49.5233
2020-05-28,44.54449
2020-05-29,38.66525
2020-05-30,28.60169
2020-05-31,29.39618
2020-06-01,44.01483
2020-06-02,44.86228
2020-06-03,44.12076
2020-06-04,41.36652
2020-06-05,41.10169
2020-06-06,33.95127
2020-06-07,29.55508
2020-06-08,45.60381
2020-06-09,46.02754
2020-06-10,44.49152
2020-06-11,42.42584
2020-06-12,40.88983
2020-06-13,29.29025
2020-06-14,27.22457
2020-06-15,45.81567
2020-06-16,48.09322
2020-06-17,45.49788
2020-06-18,45.60381
2020-06-19,43.22033
2020-06-20,29.71398
2020-06-21,30.7733
2020-06-22,48.94067
2020-06-23,43.85593
2020-06-24,44.49152
2020-06-25,44.54449
2020-06-26,42.16101
2020-06-27,31.51483
2020-06-28,31.0911
2020-06-29,46.0805
2020-06-30,41.84322
2020-07-01,47.03389
2020-07-02,42.42584
2020-07-03,39.19491
2020-07-04,29.44915
2020-07-05,31.0911
2020-07-06,45.28601
2020-07-07,48.78177
2020-07-08,46.02754
2020-07-09,45.23305
2020-07-10,47.51059
2020-07-11,32.20338
2020-07-12,29.39618
2020-07-13,50.58262
2020-07-14,46.61016
2020-07-15,50.47669
2020-07-16,43.48516
2020-07-17,44.91525
2020-07-18,33.95127
2020-07-19,30.13771
2020-07-20,51.21822
2020-07-21,47.88135
2020-07-22,47.82838
2020-07-23,44.22669
2020-07-24,42.16101
2020-07-25,29.71398
2020-07-26,54.50211
2020-07-27,65.625
2020-07-28,55.13771
2020-07-29,50.42372
2020-07-30,44.91525
2020-07-31,40.57203
2020-08-01,35.11652
2020-08-02,27.38347
2020-08-03,45.02118
2020-08-04,45.81567
2020-08-05,44.01483
2020-08-06,40.1483
2020-08-07,42.79661
2020-08-08,28.17796
2020-08-09,27.8072
2020-08-10,46.3983
2020-08-11,46.76906
2020-08-12,45.23305
2020-08-13,40.78389
2020-08-14,36.59957
2020-08-15,28.60169
2020-08-16,27.27754
2020-08-17,33.84533
2020-08-18,53.60169
2020-08-19,46.13347
2020-08-20,47.82838
2020-08-21,37.3411
2020-08-22,30.29661
2020-08-23,32.83898
2020-08-24,45.49788
2020-08-25,43.90889
2020-08-26,46.0805
2020-08-27,44.49152
2020-08-28,40.73093
2020-08-29,32.94491
2020-08-30,29.02542
2020-08-31,43.53813
2020-09-01,47.56355
2020-09-02,48.41101
2020-09-03,51.43008
2020-09-04,49.31144
2020-09-05,36.75847
2020-09-06,34.79872
2020-09-07,47.82838
2020-09-08,55.56144
2020-09-09,48.04025
2020-09-10,49.8411
2020-09-11,46.875
2020-09-12,35.01059
2020-09-13,33.36864
2020-09-14,50.84745
2020-09-15,48.56991
2020-09-16,50.21186
2020-09-17,52.01271
2020-09-18,45.28601
2020-09-19,36.75847
2020-09-20,35.27542
2020-09-21,51.11228
