date,개인사업자폐업신고
2020-03-20,49.44629
2020-03-21,16.94352
2020-03-22,21.81616
2020-03-23,66.11295
2020-03-24,63.28903
2020-03-25,60.35437
2020-03-26,64.17497
2020-03-27,53.32225
2020-03-28,20.598
2020-03-29,23.25581
2020-03-30,88.75968
2020-03-31,88.70431
2020-04-01,70.2104
2020-04-02,58.52713
2020-04-03,55.70321
2020-04-04,22.09302
2020-04-05,21.04097
2020-04-06,61.68327
2020-04-07,52.43632
2020-04-08,52.21483
2020-04-09,51.05204
2020-04-10,45.7918
2020-04-11,16.72203
2020-04-12,19.2691
2020-04-13,64.95016
2020-04-14,47.56367
2020-04-15,22.53599
2020-04-16,49.33554
2020-04-17,47.17607
2020-04-18,17.49723
2020-04-19,18.77076
2020-04-20,62.18161
2020-04-21,56.20155
2020-04-22,53.0454
2020-04-23,54.81727
2020-04-24,45.73643
2020-04-25,18.8815
2020-04-26,23.36655
2020-04-27,60.79734
2020-04-28,54.92801
2020-04-29,54.15282
2020-04-30,23.0897
2020-05-01,32.50276
2020-05-02,15.28239
2020-05-03,18.10631
2020-05-04,58.5825
2020-05-05,23.36655
2020-05-06,58.1949
2020-05-07,50.16611
2020-05-08,41.36212
2020-05-09,16.16832
2020-05-10,17.5526
2020-05-11,57.19822
2020-05-12,52.87929
2020-05-13,43.96456
2020-05-14,47.56367
2020-05-15,39.14728
2020-05-16,15.11627
2020-05-17,14.89479
2020-05-18,52.60243
2020-05-19,49.50166
2020-05-20,46.89922
2020-05-21,42.3588
2020-05-22,39.20265
2020-05-23,15.00553
2020-05-24,21.42857
2020-05-25,60.40974
2020-05-26,55.09413
2020-05-27,46.51162
2020-05-28,47.34219
2020-05-29,52.04872
2020-05-30,17.38648
2020-05-31,20.2104
2020-06-01,64.28571
2020-06-02,54.65116
2020-06-03,49.72314
2020-06-04,50.88593
2020-06-05,39.75636
2020-06-06,13.23366
2020-06-07,16.27906
2020-06-08,49.88925
2020-06-09,40.97452
2020-06-10,44.0753
2020-06-11,41.30675
2020-06-12,38.70431
2020-06-13,14.06423
2020-06-14,14.72868
2020-06-15,51.99335
2020-06-16,41.69435
2020-06-17,41.58361
2020-06-18,44.68438
2020-06-19,36.98781
2020-06-20,12.73532
2020-06-21,16.11295
2020-06-22,50.16611
2020-06-23,43.96456
2020-06-24,42.08194
2020-06-25,47.06533
2020-06-26,45.18272
2020-06-27,15.89147
2020-06-28,21.31782
2020-06-29,67.38648
2020-06-30,73.03433
2020-07-01,57.75193
2020-07-02,50.66445
2020-07-03,45.73643
2020-07-04,16.22369
2020-07-05,19.04761
2020-07-06,57.91805
2020-07-07,55.98006
2020-07-08,48.78183
2020-07-09,48.00664
2020-07-10,46.01328
2020-07-11,16.55592
2020-07-12,17.05426
2020-07-13,55.81395
2020-07-14,51.38427
2020-07-15,50.16611
2020-07-16,48.17275
2020-07-17,39.75636
2020-07-18,15.00553
2020-07-19,17.38648
2020-07-20,61.24031
2020-07-21,52.82392
2020-07-22,49.88925
2020-07-23,47.39756
2020-07-24,47.1207
2020-07-25,16.55592
2020-07-26,17.94019
2020-07-27,62.23698
2020-07-28,47.56367
2020-07-29,49.94462
2020-07-30,56.03543
2020-07-31,52.21483
2020-08-01,15.4485
2020-08-02,16.38981
2020-08-03,56.92137
2020-08-04,50.38759
2020-08-05,48.17275
2020-08-06,42.3588
2020-08-07,39.59025
2020-08-08,15.39313
2020-08-09,16.05758
2020-08-10,58.52713
2020-08-11,49.94462
2020-08-12,51.16279
2020-08-13,45.90254
2020-08-14,40.58693
