date,KB다이렉트
2020-03-20,32.71939
2020-03-21,15.81798
2020-03-22,16.79306
2020-03-23,44.20368
2020-03-24,41.06175
2020-03-25,34.66955
2020-03-26,38.02816
2020-03-27,38.56988
2020-03-28,18.52654
2020-03-29,16.9014
2020-03-30,46.58721
2020-03-31,41.17009
2020-04-01,39.32827
2020-04-02,37.26977
2020-04-03,37.91982
2020-04-04,20.36836
2020-04-05,15.70964
2020-04-06,37.81148
2020-04-07,32.61105
2020-04-08,31.41928
2020-04-09,34.0195
2020-04-10,34.23618
2020-04-11,17.6598
2020-04-12,18.30985
2020-04-13,40.4117
2020-04-14,34.56121
2020-04-15,19.06825
2020-04-16,41.7118
2020-04-17,38.56988
2020-04-18,18.63488
2020-04-19,18.20151
2020-04-20,46.8039
2020-04-21,40.08667
2020-04-22,39.32827
2020-04-23,34.88624
2020-04-24,38.67822
2020-04-25,16.35969
2020-04-26,17.44312
2020-04-27,45.82881
2020-04-28,41.7118
2020-04-29,39.76164
2020-04-30,24.16034
2020-05-01,23.72697
2020-05-02,15.92632
2020-05-03,16.68472
2020-05-04,47.99566
2020-05-05,20.15167
2020-05-06,43.77031
2020-05-07,43.01191
2020-05-08,39.6533
2020-05-09,20.15167
2020-05-10,20.69339
2020-05-11,56.12134
2020-05-12,49.07908
2020-05-13,43.2286
2020-05-14,42.36186
2020-05-15,42.57854
2020-05-16,21.2351
2020-05-17,20.91007
2020-05-18,53.30444
2020-05-19,46.91224
2020-05-20,46.69555
2020-05-21,52.00433
2020-05-22,42.36186
2020-05-23,31.2026
2020-05-24,37.59479
2020-05-25,62.4052
2020-05-26,50.27085
2020-05-27,51.35427
2020-05-28,49.40411
2020-05-29,41.38678
2020-05-30,20.26002
2020-05-31,27.41061
2020-06-01,53.41278
2020-06-02,50.16251
2020-06-03,47.67063
2020-06-04,49.07908
2020-06-05,46.47887
2020-06-06,25.89382
2020-06-07,22.86023
2020-06-08,48.32069
2020-06-09,47.02058
2020-06-10,43.2286
2020-06-11,44.31202
2020-06-12,46.0455
2020-06-13,23.94366
2020-06-14,26.1105
2020-06-15,60.34669
2020-06-16,49.18743
2020-06-17,42.90357
2020-06-18,45.39544
2020-06-19,45.82881
2020-06-20,20.80173
2020-06-21,23.18526
2020-06-22,58.8299
2020-06-23,50.48754
2020-06-24,51.02925
2020-06-25,44.52871
2020-06-26,42.90357
2020-06-27,24.59371
2020-06-28,21.45178
2020-06-29,52.97941
2020-06-30,51.78764
2020-07-01,49.83748
2020-07-02,49.40411
2020-07-03,44.20368
2020-07-04,25.46045
2020-07-05,24.26868
2020-07-06,53.84615
2020-07-07,50.27085
2020-07-08,43.01191
2020-07-09,44.31202
2020-07-10,42.57854
2020-07-11,25.67713
2020-07-12,24.48537
2020-07-13,55.2546
2020-07-14,56.22968
2020-07-15,45.82881
2020-07-16,44.85373
2020-07-17,45.50379
2020-07-18,23.18526
2020-07-19,24.48537
2020-07-20,56.33802
2020-07-21,43.33694
2020-07-22,45.17876
2020-07-23,46.8039
2020-07-24,42.25352
2020-07-25,23.18526
2020-07-26,24.70205
2020-07-27,49.94582
2020-07-28,43.2286
2020-07-29,47.56229
2020-07-30,48.104
2020-07-31,41.92849
2020-08-01,26.00216
2020-08-02,24.59371
2020-08-03,52.76273
2020-08-04,47.23726
2020-08-05,48.8624
2020-08-06,47.99566
2020-08-07,37.70314
2020-08-08,24.48537
2020-08-09,22.86023
2020-08-10,55.03791
2020-08-11,48.97074
2020-08-12,50.81256
2020-08-13,42.36186
2020-08-14,39.76164
2020-08-15,20.36836
2020-08-16,18.95991
2020-08-17,34.99458
2020-08-18,53.62946
2020-08-19,47.02058
2020-08-20,46.47887
2020-08-21,44.20368
2020-08-22,24.48537
2020-08-23,23.40195
2020-08-24,54.06283
2020-08-25,58.0715
2020-08-26,51.24593
2020-08-27,48.21235
2020-08-28,46.8039
2020-08-29,25.89382
2020-08-30,24.16034
2020-08-31,57.96316
2020-09-01,54.38786
2020-09-02,48.42903
2020-09-03,54.38786
2020-09-04,44.74539
2020-09-05,24.16034
2020-09-06,19.7183
2020-09-07,54.60455
2020-09-08,46.69555
2020-09-09,47.77898
2020-09-10,44.52871
2020-09-11,46.69555
2020-09-12,22.31852
2020-09-13,19.82665
2020-09-14,51.6793
2020-09-15,50.48754
2020-09-16,49.94582
2020-09-17,44.31202
2020-09-18,41.06175
2020-09-19,25.02708
2020-09-20,32.17768
2020-09-21,60.13001
2020-09-22,50.05417
2020-09-23,45.39544
2020-09-24,42.14517
2020-09-25,46.91224
2020-09-26,21.88515
2020-09-27,22.86023
2020-09-28,56.77139
2020-09-29,45.2871
2020-09-30,21.77681
2020-10-01,20.04333
2020-10-02,22.86023
2020-10-03,20.36836
2020-10-04,26.21885
2020-10-05,66.63055
2020-10-06,53.30444
2020-10-07,48.32069
2020-10-08,38.67822
2020-10-09,23.72697
2020-10-10,22.86023
2020-10-11,23.18526
2020-10-12,64.24702
2020-10-13,54.27952
2020-10-14,52.00433
2020-10-15,43.98699
2020-10-16,52.11267
2020-10-17,24.48537
2020-10-18,23.18526
2020-10-19,54.4962
2020-10-20,47.45395
2020-10-21,46.47887
2020-10-22,41.27843
2020-10-23,42.25352
2020-10-24,21.56013
2020-10-25,26.76056
2020-10-26,56.33802
2020-10-27,45.39544
2020-10-28,41.92849
2020-10-29,46.8039
2020-10-30,47.56229
2020-10-31,23.83531
2020-11-01,24.91874
2020-11-02,52.32936
2020-11-03,49.83748
2020-11-04,46.0455
2020-11-05,44.42036
2020-11-06,40.08667
2020-11-07,22.10184
2020-11-08,24.70205
2020-11-09,59.58829
2020-11-10,50.27085
2020-11-11,44.85373
2020-11-12,51.02925
2020-11-13,41.49512
2020-11-14,22.42686
2020-11-15,24.70205
2020-11-16,61.43011
2020-11-17,45.72047
2020-11-18,48.75406
2020-11-19,42.57854
2020-11-20,44.31202
2020-11-21,21.2351
2020-11-22,23.40195
2020-11-23,55.90465
2020-11-24,51.24593
2020-11-25,42.90357
2020-11-26,45.17876
2020-11-27,47.34561
2020-11-28,23.61863
2020-11-29,23.72697
2020-11-30,51.6793
2020-12-01,53.08775
2020-12-02,47.12892
2020-12-03,43.87865
2020-12-04,46.8039
2020-12-05,21.01841
2020-12-06,23.72697
2020-12-07,54.38786
2020-12-08,46.69555
