date,블록체인
2020-03-20,5.10486
2020-03-21,3.35048
2020-03-22,3.36367
2020-03-23,6.02383
2020-03-24,5.89631
2020-03-25,5.85235
2020-03-26,6.58664
2020-03-27,5.66767
2020-03-28,3.88691
2020-03-29,4.41894
2020-03-30,6.79329
2020-03-31,5.60612
2020-04-01,5.43463
2020-04-02,5.36868
2020-04-03,4.95976
2020-04-04,3.21857
2020-04-05,4.44532
2020-04-06,7.09229
2020-04-07,6.73174
2020-04-08,5.99744
2020-04-09,7.12746
2020-04-10,5.12245
2020-04-11,3.71103
2020-04-12,4.38816
2020-04-13,6.059
2020-04-14,6.12056
2020-04-15,4.0364
2020-04-16,7.55397
2020-04-17,12.04766
2020-04-18,5.35109
2020-04-19,7.69907
2020-04-20,12.22354
2020-04-21,12.37743
2020-04-22,8.69718
2020-04-23,8.97418
2020-04-24,8.60484
2020-04-25,5.26315
2020-04-26,5.50499
2020-04-27,7.61113
2020-04-28,6.77131
2020-04-29,6.51189
2020-04-30,5.10926
2020-05-01,4.24746
2020-05-02,4.06278
2020-05-03,4.39695
2020-05-04,5.24557
2020-05-05,4.29143
2020-05-06,7.10108
2020-05-07,8.96099
2020-05-08,7.26377
2020-05-09,4.95097
2020-05-10,4.59042
2020-05-11,6.96038
2020-05-12,6.23928
2020-05-13,6.63061
2020-05-14,7.35171
2020-05-15,6.96478
2020-05-16,3.28892
2020-05-17,4.30022
2020-05-18,16.62929
2020-05-19,14.13182
2020-05-20,19.88304
2020-05-21,11.21224
2020-05-22,7.56716
2020-05-23,5.17521
2020-05-24,4.41454
2020-05-25,8.38939
2020-05-26,8.31464
2020-05-27,7.62872
2020-05-28,8.02444
2020-05-29,6.89442
2020-05-30,4.74871
2020-05-31,5.93589
2020-06-01,7.28575
2020-06-02,7.27696
2020-06-03,8.24869
2020-06-04,7.13186
2020-06-05,6.92081
2020-06-06,4.04959
2020-06-07,4.58602
2020-06-08,7.73424
2020-06-09,7.74743
2020-06-10,7.17143
2020-06-11,7.29015
2020-06-12,6.84606
2020-06-13,3.93967
2020-06-14,4.73112
2020-06-15,7.24178
2020-06-16,8.13437
2020-06-17,6.51189
2020-06-18,7.18462
2020-06-19,5.46981
2020-06-20,3.86932
2020-06-21,4.40135
2020-06-22,7.28136
2020-06-23,7.52759
2020-06-24,10.9792
2020-06-25,8.96099
2020-06-26,6.96038
2020-06-27,4.30022
2020-06-28,4.72233
2020-06-29,9.66011
2020-06-30,9.20283
2020-07-01,6.89882
2020-07-02,5.82157
2020-07-03,5.7732
2020-07-04,3.57032
2020-07-05,3.95726
2020-07-06,6.73613
2020-07-07,6.61742
2020-07-08,6.53827
2020-07-09,6.67018
2020-07-10,5.26315
2020-07-11,3.32849
2020-07-12,4.16391
2020-07-13,6.11616
2020-07-14,6.72294
2020-07-15,6.80209
2020-07-16,6.33601
2020-07-17,5.87873
2020-07-18,3.92208
2020-07-19,3.53515
2020-07-20,5.87873
2020-07-21,5.78639
2020-07-22,6.37119
2020-07-23,5.7688
2020-07-24,4.88062
2020-07-25,2.78767
2020-07-26,7.17143
2020-07-27,6.83726
2020-07-28,5.95348
2020-07-29,5.44783
2020-07-30,5.11366
2020-07-31,4.59921
2020-08-01,2.90199
2020-08-02,3.97045
2020-08-03,5.88752
2020-08-04,5.03891
2020-08-05,5.44343
2020-08-06,5.14883
2020-08-07,4.85863
2020-08-08,3.42522
2020-08-09,3.85613
2020-08-10,5.84795
2020-08-11,5.87433
2020-08-12,5.21039
2020-08-13,5.41705
2020-08-14,4.53326
2020-08-15,3.6011
2020-08-16,3.0251
2020-08-17,4.02321
2020-08-18,5.17082
2020-08-19,4.87182
2020-08-20,5.50059
2020-08-21,5.55335
2020-08-22,3.38565
2020-08-23,4.70914
2020-08-24,6.89003
2020-08-25,7.09668
2020-08-26,6.55586
2020-08-27,6.67018
2020-08-28,5.49619
2020-08-29,4.1903
2020-08-30,6.3492
2020-08-31,7.18902
2020-09-01,7.30774
2020-09-02,7.05271
2020-09-03,7.87055
2020-09-04,6.92081
2020-09-05,5.41705
2020-09-06,5.41265
2020-09-07,7.17143
2020-09-08,7.34291
2020-09-09,7.09668
2020-09-10,6.37998
2020-09-11,6.77571
2020-09-12,4.42333
2020-09-13,5.56654
2020-09-14,7.2242
2020-09-15,7.11427
2020-09-16,7.2198
2020-09-17,7.46163
2020-09-18,6.34041
2020-09-19,4.0408
2020-09-20,5.06969
2020-09-21,6.51189
2020-09-22,6.85925
2020-09-23,6.86365
2020-09-24,6.9296
2020-09-25,5.6281
2020-09-26,3.69344
2020-09-27,4.06718
2020-09-28,6.12056
2020-09-29,5.97106
2020-09-30,2.81405
2020-10-01,2.62938
2020-10-02,2.82284
2020-10-03,3.3109
2020-10-04,6.45913
2020-10-05,7.76942
2020-10-06,7.78261
2020-10-07,8.21351
2020-10-08,7.47043
2020-10-09,4.36178
2020-10-10,4.45411
2020-10-11,4.7619
2020-10-12,6.83287
