date,채권시세
2020-03-20,69.29824
2020-03-21,11.4035
2020-03-22,23.68421
2020-03-23,71.92982
2020-03-24,78.07017
2020-03-25,59.64912
2020-03-26,45.61403
2020-03-27,35.96491
2020-03-28,17.54385
2020-03-29,7.01754
2020-03-30,32.45614
2020-03-31,32.45614
2020-04-01,24.5614
2020-04-02,24.5614
2020-04-03,30.70175
2020-04-04,7.89473
2020-04-05,18.42105
2020-04-06,28.07017
2020-04-07,22.80701
2020-04-08,14.03508
2020-04-09,25.43859
2020-04-10,27.19298
2020-04-11,5.26315
2020-04-12,5.26315
2020-04-13,21.92982
2020-04-14,11.4035
2020-04-15,5.26315
2020-04-16,17.54385
2020-04-17,13.15789
2020-04-19,4.38596
2020-04-20,16.66666
2020-04-21,15.78947
2020-04-22,14.91228
2020-04-23,21.92982
2020-04-24,21.05263
2020-04-25,5.26315
2020-04-27,12.2807
2020-04-28,15.78947
2020-04-29,5.26315
2020-05-04,14.03508
2020-05-05,9.64912
2020-05-06,14.03508
2020-05-07,13.15789
2020-05-08,9.64912
2020-05-09,8.77192
2020-05-10,7.01754
2020-05-11,13.15789
2020-05-12,12.2807
2020-05-13,9.64912
2020-05-14,19.29824
2020-05-15,16.66666
2020-05-16,4.38596
2020-05-18,13.15789
2020-05-19,26.31578
2020-05-20,16.66666
2020-05-21,14.03508
2020-05-22,21.05263
2020-05-23,5.26315
2020-05-25,16.66666
2020-05-26,17.54385
2020-05-27,15.78947
2020-05-28,22.80701
2020-05-29,10.52631
2020-05-31,4.38596
2020-06-01,10.52631
2020-06-02,12.2807
2020-06-03,11.4035
2020-06-04,20.17543
2020-06-05,14.03508
2020-06-08,13.15789
2020-06-09,4.38596
2020-06-10,17.54385
2020-06-11,13.15789
2020-06-12,8.77192
2020-06-13,4.38596
2020-06-15,19.29824
2020-06-16,13.15789
2020-06-17,15.78947
2020-06-18,13.15789
2020-06-19,14.03508
2020-06-20,4.38596
2020-06-21,4.38596
2020-06-22,13.15789
2020-06-23,7.89473
2020-06-24,17.54385
2020-06-25,8.77192
2020-06-29,4.38596
2020-06-30,11.4035
2020-07-02,6.14035
2020-07-03,4.38596
2020-07-06,13.15789
2020-07-07,11.4035
2020-07-08,4.38596
2020-07-09,5.26315
2020-07-10,7.01754
2020-07-13,16.66666
2020-07-14,12.2807
2020-07-15,10.52631
2020-07-16,7.01754
2020-07-17,10.52631
2020-07-20,18.42105
2020-07-21,10.52631
2020-07-22,5.26315
2020-07-23,11.4035
2020-07-24,12.2807
2020-07-27,21.92982
2020-07-28,7.01754
2020-07-29,15.78947
2020-07-30,4.38596
2020-07-31,5.26315
2020-08-03,11.4035
2020-08-04,13.15789
2020-08-05,6.14035
2020-08-06,14.91228
2020-08-07,5.26315
2020-08-10,14.03508
2020-08-11,9.64912
2020-08-13,10.52631
2020-08-14,6.14035
2020-08-17,5.26315
2020-08-18,12.2807
2020-08-19,6.14035
2020-08-20,5.26315
2020-08-21,14.03508
2020-08-24,11.4035
2020-08-26,9.64912
2020-08-27,8.77192
2020-08-28,4.38596
2020-08-29,4.38596
2020-08-31,7.01754
2020-09-01,17.54385
2020-09-02,6.14035
2020-09-03,7.01754
2020-09-04,9.64912
2020-09-05,4.38596
2020-09-07,11.4035
2020-09-08,5.26315
2020-09-09,17.54385
2020-09-10,14.91228
2020-09-12,6.14035
2020-09-14,11.4035
2020-09-15,15.78947
2020-09-16,5.26315
2020-09-17,12.2807
2020-09-18,8.77192
2020-09-20,4.38596
2020-09-21,10.52631
2020-09-22,9.64912
2020-09-23,19.29824
2020-09-24,14.03508
2020-09-25,13.15789
2020-09-28,9.64912
2020-09-29,12.2807
2020-10-05,12.2807
2020-10-06,7.89473
2020-10-07,4.38596
2020-10-08,7.89473
2020-10-12,7.01754
2020-10-14,9.64912
2020-10-15,14.91228
2020-10-16,5.26315
2020-10-18,4.38596
2020-10-19,4.38596
2020-10-20,9.64912
2020-10-21,12.2807
2020-10-22,7.01754
2020-10-23,7.89473
2020-10-26,5.26315
2020-10-27,8.77192
2020-10-28,8.77192
2020-10-29,5.26315
2020-10-30,6.14035
2020-11-01,4.38596
2020-11-03,4.38596
2020-11-04,15.78947
2020-11-05,10.52631
2020-11-06,4.38596
2020-11-09,5.26315
2020-11-10,11.4035
2020-11-11,11.4035
2020-11-12,11.4035
2020-11-13,5.26315
2020-11-15,7.01754
2020-11-16,14.03508
2020-11-17,9.64912
2020-11-18,9.64912
2020-11-19,13.15789
2020-11-24,5.26315
2020-11-25,10.52631
2020-11-26,8.77192
2020-11-27,7.89473
2020-11-30,12.2807
2020-12-01,14.03508
2020-12-02,11.4035
2020-12-03,12.2807
2020-12-07,11.4035
2020-12-08,9.64912
2020-12-09,5.26315
2020-12-10,12.2807
2020-12-11,13.15789
2020-12-14,10.52631
2020-12-15,15.78947
2020-12-16,10.52631
2020-12-17,9.64912
2020-12-18,4.38596
2020-12-20,4.38596
2020-12-22,12.2807
2020-12-23,5.26315
2020-12-28,17.54385
2020-12-29,6.14035
2020-12-30,14.91228
2020-12-31,5.26315
2021-01-01,4.38596
2021-01-03,4.38596
2021-01-04,6.14035
2021-01-05,21.92982
2021-01-06,14.91228
2021-01-07,13.15789
2021-01-10,6.14035
2021-01-11,19.29824
2021-01-12,21.05263
2021-01-13,12.2807
2021-01-14,22.80701
2021-01-15,15.78947
2021-01-17,4.38596
2021-01-19,8.77192
2021-01-21,10.52631
2021-01-22,10.52631
2021-01-23,5.26315
2021-01-24,5.26315
2021-01-25,13.15789
2021-01-26,7.01754
2021-01-28,10.52631
2021-01-29,19.29824
2021-01-31,6.14035
2021-02-01,6.14035
2021-02-03,6.14035
2021-02-04,5.26315
2021-02-07,6.14035
2021-02-08,4.38596
2021-02-09,4.38596
2021-02-10,7.01754
2021-02-15,9.64912
2021-02-16,13.15789
2021-02-17,10.52631
2021-02-18,9.64912
2021-02-19,14.03508
2021-02-20,4.38596
2021-02-22,17.54385
2021-02-23,5.26315
2021-02-24,16.66666
2021-02-25,13.15789
2021-02-26,14.91228
2021-02-27,4.38596
2021-02-28,5.26315
2021-03-01,6.14035
2021-03-02,9.64912
2021-03-03,17.54385
2021-03-04,14.91228
2021-03-05,10.52631
2021-03-08,4.38596
2021-03-09,21.05263
2021-03-10,14.03508
2021-03-11,14.91228
2021-03-12,16.66666
2021-03-15,10.52631
2021-03-16,12.2807
2021-03-17,9.64912
2021-03-18,14.03508
2021-03-19,15.78947
2021-03-22,7.89473
2021-03-23,7.89473
2021-03-24,11.4035
2021-03-25,6.14035
2021-03-26,14.91228
2021-03-27,7.01754
2021-03-29,11.4035
2021-03-30,9.64912
2021-03-31,7.01754
2021-04-01,14.03508
2021-04-02,10.52631
2021-04-05,14.03508
2021-04-06,17.54385
2021-04-07,6.14035
2021-04-08,9.64912
2021-04-12,9.64912
2021-04-13,7.01754
2021-04-15,7.01754
2021-04-16,10.52631
2021-04-18,4.38596
2021-04-20,6.14035
2021-04-21,12.2807
2021-04-22,9.64912
2021-04-23,5.26315
2021-04-24,5.26315
2021-04-25,6.14035
2021-04-26,4.38596
2021-04-28,7.01754
