date,ETF수수료
2020-03-20,70.2216
2020-03-21,37.67313
2020-03-22,37.25761
2020-03-23,63.01939
2020-03-24,62.74238
2020-03-25,59.14127
2020-03-26,56.23268
2020-03-27,58.17174
2020-03-28,33.518
2020-03-29,35.04155
2020-03-30,46.26038
2020-03-31,53.73961
2020-04-01,50.1385
2020-04-02,46.9529
2020-04-03,40.1662
2020-04-04,18.00554
2020-04-05,15.37396
2020-04-06,29.63988
2020-04-07,37.25761
2020-04-08,23.96121
2020-04-09,23.4072
2020-04-10,24.23822
2020-04-11,12.32686
2020-04-12,12.60387
2020-04-13,18.97506
2020-04-14,24.65373
2020-04-15,11.49584
2020-04-16,23.96121
2020-04-17,20.91412
2020-04-18,10.38781
2020-04-19,13.15789
2020-04-20,20.63711
2020-04-21,21.46814
2020-04-22,23.4072
2020-04-23,21.19113
2020-04-24,18.97506
2020-04-25,10.94182
2020-04-26,11.49584
2020-04-27,15.37396
2020-04-28,14.12742
2020-04-29,12.46537
2020-04-30,6.9252
2020-05-01,6.09418
2020-05-02,6.64819
2020-05-03,6.7867
2020-05-04,11.49584
2020-05-05,6.7867
2020-05-06,13.15789
2020-05-07,9.83379
2020-05-08,13.01939
2020-05-09,7.06371
2020-05-10,6.37119
2020-05-11,12.46537
2020-05-12,11.08033
2020-05-13,8.31024
2020-05-14,11.91135
2020-05-15,8.17174
2020-05-16,4.43213
2020-05-17,4.29362
2020-05-18,10.94182
2020-05-19,13.98891
2020-05-20,10.1108
2020-05-21,13.4349
2020-05-22,9.27977
2020-05-23,6.7867
2020-05-24,3.4626
2020-05-25,11.08033
2020-05-26,12.18836
2020-05-27,10.80332
2020-05-28,10.52631
2020-05-29,8.44875
2020-05-30,7.61772
2020-05-31,6.09418
2020-06-01,11.21883
2020-06-02,9.55678
2020-06-03,12.46537
2020-06-04,13.85041
2020-06-05,13.4349
2020-06-06,6.7867
2020-06-07,7.75623
2020-06-08,10.66481
2020-06-09,11.63434
2020-06-10,11.35734
2020-06-11,8.86426
2020-06-12,9.14127
2020-06-13,8.31024
2020-06-14,4.84764
2020-06-15,11.91135
2020-06-16,9.83379
2020-06-17,10.66481
2020-06-18,9.83379
2020-06-19,8.72576
2020-06-20,5.26315
2020-06-21,4.70914
2020-06-22,7.06371
2020-06-23,8.17174
2020-06-24,9.27977
2020-06-25,11.21883
2020-06-26,7.89473
2020-06-27,4.43213
2020-06-28,4.43213
2020-06-29,6.37119
2020-06-30,6.50969
2020-07-01,6.37119
2020-07-02,7.89473
2020-07-03,6.9252
2020-07-04,4.57063
2020-07-05,5.12465
2020-07-06,8.44875
2020-07-07,10.80332
2020-07-08,8.86426
2020-07-09,11.35734
2020-07-10,9.00277
2020-07-11,6.50969
2020-07-12,8.17174
2020-07-13,14.12742
2020-07-14,12.60387
2020-07-15,10.94182
2020-07-16,9.27977
2020-07-17,8.03324
2020-07-18,5.54016
2020-07-19,5.54016
2020-07-20,8.31024
2020-07-21,10.52631
2020-07-22,10.52631
2020-07-23,12.88088
2020-07-24,10.94182
2020-07-25,4.84764
2020-07-26,6.23268
2020-07-27,8.86426
2020-07-28,14.26592
2020-07-29,13.01939
2020-07-30,7.61772
2020-07-31,10.80332
2020-08-01,6.37119
2020-08-02,7.20221
2020-08-03,12.60387
2020-08-04,14.12742
2020-08-05,21.74515
2020-08-06,19.94459
2020-08-07,22.29916
2020-08-08,12.88088
2020-08-09,12.04986
2020-08-10,14.95844
2020-08-11,18.69806
2020-08-12,18.14404
2020-08-13,14.54293
2020-08-14,14.81994
2020-08-15,8.03324
2020-08-16,7.20221
2020-08-17,8.17174
2020-08-18,13.85041
2020-08-19,11.77285
2020-08-20,17.45152
2020-08-21,11.77285
2020-08-22,8.03324
2020-08-23,7.47922
2020-08-24,14.95844
2020-08-25,16.48199
2020-08-26,14.95844
2020-08-27,13.71191
2020-08-28,15.51246
2020-08-29,10.94182
2020-08-30,10.2493
2020-08-31,16.06648
2020-09-01,13.15789
2020-09-02,15.78947
2020-09-03,16.48199
2020-09-04,13.15789
2020-09-05,7.06371
2020-09-06,7.75623
2020-09-07,11.77285
2020-09-08,14.12742
2020-09-09,12.32686
2020-09-10,13.15789
2020-09-11,10.80332
2020-09-12,7.61772
2020-09-13,5.40166
2020-09-14,10.94182
2020-09-15,12.18836
2020-09-16,13.01939
2020-09-17,8.58725
2020-09-18,7.89473
2020-09-19,7.20221
2020-09-20,8.17174
2020-09-21,8.72576
2020-09-22,13.4349
2020-09-23,10.66481
2020-09-24,11.35734
2020-09-25,13.4349
2020-09-26,5.54016
2020-09-27,5.67867
2020-09-28,6.64819
2020-09-29,9.27977
2020-09-30,7.47922
2020-10-01,3.32409
2020-10-02,5.81717
2020-10-03,5.26315
2020-10-04,7.47922
2020-10-05,8.86426
2020-10-06,11.63434
2020-10-07,13.01939
2020-10-08,11.77285
2020-10-09,6.09418
2020-10-10,9.69529
2020-10-11,9.27977
2020-10-12,10.52631
2020-10-13,10.80332
2020-10-14,12.18836
2020-10-15,10.2493
2020-10-16,10.38781
2020-10-17,4.29362
2020-10-18,6.23268
2020-10-19,7.20221
2020-10-20,9.83379
2020-10-21,9.41828
2020-10-22,9.97229
2020-10-23,9.69529
2020-10-24,5.95567
2020-10-25,5.81717
2020-10-26,9.14127
2020-10-27,12.46537
2020-10-28,9.83379
2020-10-29,11.21883
2020-10-30,10.52631
2020-10-31,4.84764
2020-11-01,3.4626
2020-11-02,7.20221
2020-11-03,11.35734
2020-11-04,10.66481
2020-11-05,11.35734
2020-11-06,15.65096
2020-11-07,11.35734
2020-11-08,10.80332
2020-11-09,16.34349
2020-11-10,16.8975
2020-11-11,14.95844
2020-11-12,19.52908
2020-11-13,13.98891
2020-11-14,11.63434
2020-11-15,13.29639
2020-11-16,19.80609
2020-11-17,15.78947
2020-11-18,19.80609
2020-11-19,18.83656
2020-11-20,16.34349
2020-11-21,12.88088
2020-11-22,10.38781
2020-11-23,17.17451
2020-11-24,18.14404
