date,오스코텍주가
2020-03-20,12.38328
2020-03-21,1.05973
2020-03-22,0.85964
2020-03-23,11.00489
2020-03-24,11.3606
2020-03-25,12.21283
2020-03-26,13.94693
2020-03-27,13.98399
2020-03-28,1.22276
2020-03-29,1.09678
2020-03-30,13.85801
2020-03-31,13.0206
2020-04-01,11.24944
2020-04-02,11.57551
2020-04-03,12.13131
2020-04-04,1.28205
2020-04-05,0.72624
2020-04-06,11.30131
2020-04-07,11.33837
2020-04-08,12.3314
2020-04-09,10.74551
2020-04-10,11.00489
2020-04-11,0.85964
2020-04-12,0.77071
2020-04-13,9.23373
2020-04-14,9.2115
2020-04-15,1.32651
2020-04-16,11.26426
2020-04-17,12.16837
2020-04-18,1.29687
2020-04-19,0.88187
2020-04-20,10.5306
2020-04-21,9.69319
2020-04-22,9.50051
2020-04-23,9.42641
2020-04-24,8.21846
2020-04-25,0.80776
2020-04-26,0.58544
2020-04-27,10.93819
2020-04-28,10.25641
2020-04-29,8.96694
2020-04-30,0.80035
2020-05-01,0.88928
2020-05-02,0.42982
2020-05-03,0.31124
2020-05-04,8.30739
2020-05-05,0.93374
2020-05-06,9.6265
2020-05-07,11.35319
2020-05-08,10.3898
2020-05-09,0.85223
2020-05-10,0.62249
2020-05-11,15.39202
2020-05-12,12.21283
2020-05-13,11.43471
2020-05-14,12.73158
2020-05-15,11.17533
2020-05-16,1.23017
2020-05-17,0.85964
2020-05-18,10.69364
2020-05-19,11.30872
2020-05-20,11.16792
2020-05-21,9.96739
2020-05-22,8.33703
2020-05-23,0.85223
2020-05-24,0.77071
2020-05-25,9.51534
2020-05-26,9.38935
2020-05-27,8.53712
2020-05-28,8.55194
2020-05-29,8.38891
2020-05-30,0.93374
2020-05-31,0.82258
2020-06-01,11.19015
2020-06-02,13.35408
2020-06-03,24.49236
2020-06-04,17.42996
2020-06-05,15.22157
2020-06-06,2.26026
2020-06-07,2.12687
2020-06-08,15.29568
2020-06-09,14.14702
2020-06-10,20.00889
2020-06-11,23.69942
2020-06-12,21.55031
2020-06-13,2.9124
2020-06-14,1.99347
2020-06-15,20.00889
2020-06-16,18.06728
2020-06-17,14.65095
2020-06-18,14.24336
2020-06-19,15.69586
2020-06-20,1.55624
2020-06-21,1.30428
2020-06-22,14.09515
2020-06-23,14.28783
2020-06-24,13.06506
2020-06-25,10.82703
2020-06-26,10.45649
2020-06-27,1.10419
2020-06-28,0.85223
2020-06-29,10.1156
2020-06-30,9.9748
2020-07-01,10.15266
2020-07-02,11.36801
2020-07-03,9.24855
2020-07-04,0.6966
2020-07-05,0.6299
2020-07-06,10.64917
2020-07-07,8.77427
2020-07-08,8.96694
2020-07-09,9.18926
2020-07-10,9.26337
2020-07-11,1.09678
2020-07-12,0.7633
2020-07-13,14.56943
2020-07-14,11.35319
2020-07-15,11.56069
2020-07-16,10.68623
2020-07-17,9.92292
2020-07-18,1.0449
2020-07-19,0.73365
2020-07-20,10.10819
2020-07-21,13.25033
2020-07-22,14.45086
2020-07-23,14.98443
2020-07-24,14.23595
2020-07-25,1.74892
2020-07-26,1.30428
2020-07-27,12.3981
2020-07-28,12.18319
2020-07-29,11.6348
2020-07-30,11.02712
2020-07-31,10.51578
2020-08-01,1.18571
2020-08-02,0.88928
2020-08-03,14.71024
2020-08-04,15.65881
2020-08-05,17.43737
2020-08-06,17.7338
2020-08-07,15.08818
2020-08-08,2.0824
2020-08-09,1.88972
2020-08-10,14.01363
2020-08-11,21.50585
2020-08-12,19.73469
2020-08-13,14.35452
2020-08-14,13.52452
2020-08-15,1.48214
2020-08-16,1.14124
2020-08-17,2.23062
2020-08-18,12.78345
2020-08-19,12.73158
2020-08-20,12.51667
2020-08-21,11.51622
2020-08-22,1.12642
2020-08-23,1.37097
2020-08-24,13.46524
2020-08-25,13.8506
2020-08-26,14.52497
2020-08-27,13.74685
2020-08-28,17.37068
2020-08-29,2.60115
2020-08-30,2.24544
2020-08-31,15.6514
2020-09-01,16.03675
2020-09-02,14.4805
2020-09-03,20.68326
2020-09-04,22.90647
2020-09-05,3.78686
2020-09-06,3.12731
2020-09-07,25.09263
2020-09-08,24.27745
2020-09-09,23.3437
2020-09-10,21.17978
2020-09-11,27.64191
2020-09-12,4.53534
2020-09-13,3.59419
2020-09-14,25.04075
2020-09-15,27.37512
2020-09-16,26.9453
2020-09-17,20.07558
2020-09-18,22.49888
2020-09-19,4.2982
2020-09-20,3.59419
2020-09-21,33.22217
2020-09-22,36.14939
2020-09-23,31.41396
2020-09-24,24.36638
2020-09-25,24.67022
2020-09-26,3.01615
2020-09-27,2.39365
2020-09-28,21.48362
2020-09-29,20.73514
2020-09-30,2.12687
2020-10-01,1.34874
2020-10-02,1.15606
2020-10-03,1.1116
2020-10-04,1.56365
2020-10-05,18.20068
2020-10-06,17.10389
2020-10-07,22.10612
2020-10-08,22.63969
2020-10-09,3.54231
2020-10-10,2.2899
2020-10-11,2.31954
2020-10-12,19.35675
2020-10-13,17.70416
2020-10-14,15.7255
2020-10-15,15.67363
2020-10-16,15.33274
