date,김치프리미엄
2020-03-20,0.40338
2020-03-21,0.36322
2020-03-22,0.2567
2020-03-23,0.32131
2020-03-24,0.30734
2020-03-25,0.30385
2020-03-26,0.19034
2020-03-27,0.20955
2020-03-28,0.17986
2020-03-29,0.15017
2020-03-30,0.13795
2020-03-31,0.14319
2020-04-01,0.20256
2020-04-02,0.17811
2020-04-03,0.22352
2020-04-04,0.14668
2020-04-05,0.1624
2020-04-06,0.19208
2020-04-07,0.30035
2020-04-08,0.21828
2020-04-09,0.17113
2020-04-10,0.2305
2020-04-11,0.17637
2020-04-12,0.19208
2020-04-13,0.19907
2020-04-14,0.15541
2020-04-15,0.1624
2020-04-16,0.18161
2020-04-17,0.14668
2020-04-18,0.15891
2020-04-19,0.13271
2020-04-20,0.12398
2020-04-21,0.21129
2020-04-22,0.15541
2020-04-23,0.1624
2020-04-24,0.19383
2020-04-25,0.15541
2020-04-26,0.17288
2020-04-27,0.21479
2020-04-28,0.21828
2020-04-29,0.19383
2020-04-30,0.21304
2020-05-01,0.15017
2020-05-02,0.1397
2020-05-03,0.12573
2020-05-04,0.18685
2020-05-05,0.14843
2020-05-06,0.14494
2020-05-07,0.11176
2020-05-08,0.15017
2020-05-09,0.15192
2020-05-10,0.22876
2020-05-11,0.26019
2020-05-12,0.21653
2020-05-13,0.20256
2020-05-14,0.26717
2020-05-15,0.25146
2020-05-16,0.29162
2020-05-17,0.27416
2020-05-18,0.41386
2020-05-19,0.31258
2020-05-20,0.20082
2020-05-21,0.24796
2020-05-22,0.23749
2020-05-23,0.24098
2020-05-24,0.22526
2020-05-25,0.27241
2020-05-26,0.22526
2020-05-27,0.12223
2020-05-28,0.18335
2020-05-29,0.14668
2020-05-30,0.13097
2020-05-31,0.22876
2020-06-01,0.22177
2020-06-02,0.21129
2020-06-03,0.24098
2020-06-04,0.15017
2020-06-05,0.15891
2020-06-06,0.18685
2020-06-07,0.13271
2020-06-08,0.12223
2020-06-09,0.08731
2020-06-10,0.1397
2020-06-11,0.1851
2020-06-12,0.14494
2020-06-13,0.09953
2020-06-14,0.12922
2020-06-15,0.1624
2020-06-16,0.12049
2020-06-17,0.1362
2020-06-18,0.14843
2020-06-19,0.10652
2020-06-20,0.08905
2020-06-21,0.08905
2020-06-22,0.09429
2020-06-23,0.08905
2020-06-24,0.16065
2020-06-25,0.19383
2020-06-26,0.13097
2020-06-27,0.09429
2020-06-28,0.1624
2020-06-29,0.17113
2020-06-30,0.18335
2020-07-01,0.16065
2020-07-02,0.14668
2020-07-03,0.1624
2020-07-04,0.08556
2020-07-05,0.07334
2020-07-06,0.09429
2020-07-07,0.13271
2020-07-08,0.12049
2020-07-09,0.19383
2020-07-10,0.1851
2020-07-11,0.11874
2020-07-12,0.14494
2020-07-13,0.13271
2020-07-14,0.10477
2020-07-15,0.10652
2020-07-16,0.16414
2020-07-17,0.13446
2020-07-18,0.0681
2020-07-19,0.04191
2020-07-20,0.07334
2020-07-21,0.07334
2020-07-22,0.08905
2020-07-23,0.12573
2020-07-24,0.13795
2020-07-25,0.06111
2020-07-26,0.15891
2020-07-27,0.21653
2020-07-28,0.42608
2020-07-29,0.34576
2020-07-30,0.28638
2020-07-31,0.15017
2020-08-01,0.21479
2020-08-02,0.52388
2020-08-03,0.27416
2020-08-04,0.17637
2020-08-05,0.17811
2020-08-06,0.12922
2020-08-07,0.18859
2020-08-08,0.14494
2020-08-09,0.18335
2020-08-10,0.35099
2020-08-11,0.22177
2020-08-12,0.17288
2020-08-13,0.08731
2020-08-14,0.0908
2020-08-15,0.06286
2020-08-16,0.05937
2020-08-17,0.21129
2020-08-18,0.26368
2020-08-19,0.10652
2020-08-20,0.08905
2020-08-21,0.0908
2020-08-22,0.04889
2020-08-23,0.04016
2020-08-24,0.06286
2020-08-25,0.03492
2020-08-26,0.06111
2020-08-27,0.03143
2020-08-28,0.09604
2020-08-29,0.15367
2020-08-30,0.07334
2020-08-31,0.09429
2020-09-01,0.08207
2020-09-02,0.15541
2020-09-03,0.20431
2020-09-04,0.34576
2020-09-05,0.25495
2020-09-06,0.26892
2020-09-07,0.20605
2020-09-08,0.19208
2020-09-09,0.21304
2020-09-10,0.21653
2020-09-11,0.14144
2020-09-12,0.12573
2020-09-13,0.08556
2020-09-14,0.11001
2020-09-15,0.0908
2020-09-16,0.15017
2020-09-17,0.11176
2020-09-18,0.09953
2020-09-19,0.08905
2020-09-20,0.08731
2020-09-21,0.15541
2020-09-22,0.15017
2020-09-23,0.16764
2020-09-24,0.19907
2020-09-25,0.11001
2020-09-26,0.13446
2020-09-27,0.11874
2020-09-28,0.12223
2020-09-29,0.09953
2020-09-30,0.06461
2020-10-01,0.0454
2020-10-02,0.06985
2020-10-03,0.03492
2020-10-04,0.03841
2020-10-05,0.0681
2020-10-06,0.07508
2020-10-07,0.08556
2020-10-08,0.08556
2020-10-09,0.05588
2020-10-10,0.05762
2020-10-11,0.04365
2020-10-12,0.07159
2020-10-13,0.0681
2020-10-14,0.05937
2020-10-15,0.04016
2020-10-16,0.03143
2020-10-17,0.02968
2020-10-18,0.01222
2020-10-19,0.04365
2020-10-20,0.04016
2020-10-21,0.06111
2020-10-22,0.08207
2020-10-23,0.07334
2020-10-24,0.03841
2020-10-25,0.07334
2020-10-26,0.05413
2020-10-27,0.05762
2020-10-28,0.08382
2020-10-29,0.07334
2020-10-30,0.02968
2020-10-31,0.04016
2020-11-01,0.02444
2020-11-02,0.03317
2020-11-03,0.0681
2020-11-04,0.05413
2020-11-05,0.07508
2020-11-06,0.14144
2020-11-07,0.07683
2020-11-08,0.05238
2020-11-09,0.05413
2020-11-10,0.03667
2020-11-11,0.05238
2020-11-12,0.06286
2020-11-13,0.06111
2020-11-14,0.05937
2020-11-15,0.0454
2020-11-16,0.06635
2020-11-17,0.12573
2020-11-18,0.27416
2020-11-19,0.1397
2020-11-20,0.13795
2020-11-21,0.20431
2020-11-22,0.43831
2020-11-23,0.28813
2020-11-24,0.67231
2020-11-25,0.46276
2020-11-26,0.68977
2020-11-27,0.50292
2020-11-28,0.23225
2020-11-29,0.25146
2020-11-30,0.26892
2020-12-01,0.50641
2020-12-02,0.28638
2020-12-03,0.17113
2020-12-04,0.1624
2020-12-05,0.1851
2020-12-06,0.08207
2020-12-07,0.11699
2020-12-08,0.16065
2020-12-09,0.27765
2020-12-10,0.14843
2020-12-11,0.19383
2020-12-12,0.17811
2020-12-13,0.14144
2020-12-14,0.11176
2020-12-15,0.14494
2020-12-16,0.21653
2020-12-17,0.56229
2020-12-18,0.41561
2020-12-19,0.19208
2020-12-20,0.3021
2020-12-21,0.31782
2020-12-22,0.34576
2020-12-23,0.57801
2020-12-24,0.62167
2020-12-25,0.40164
2020-12-26,0.37195
2020-12-27,0.7439
2020-12-28,0.49419
2020-12-29,0.74041
2020-12-30,0.91329
2020-12-31,0.50816
2021-01-01,0.50292
2021-01-02,0.61293
2021-01-03,2.36269
2021-01-04,4.28708
2021-01-05,1.77246
2021-01-06,2.37666
2021-01-07,2.58622
2021-01-08,2.79228
2021-01-09,2.78704
2021-01-10,2.58622
2021-01-11,3.50475
2021-01-12,2.59146
2021-01-13,1.83358
2021-01-14,2.36444
2021-01-15,2.60368
2021-01-16,2.04487
2021-01-17,1.7515
2021-01-18,1.55941
2021-01-19,1.95058
2021-01-20,1.77944
2021-01-21,1.75674
2021-01-22,2.17584
2021-01-23,1.29922
2021-01-24,1.02855
2021-01-25,1.19095
2021-01-26,1.02156
2021-01-27,1.10713
2021-01-28,1.19968
2021-01-29,2.70147
2021-01-30,1.99249
2021-01-31,2.65607
2021-02-01,3.26726
2021-02-02,2.79228
2021-02-03,3.41744
2021-02-04,4.58744
2021-02-05,3.32489
2021-02-06,3.31092
2021-02-07,3.07692
2021-02-08,3.9745
2021-02-09,4.5595
2021-02-10,3.29869
2021-02-11,3.72304
2021-02-12,3.23932
2021-02-13,3.37204
2021-02-14,3.18169
2021-02-15,3.6008
2021-02-16,3.33013
2021-02-17,3.77717
2021-02-18,2.99659
2021-02-19,2.86562
2021-02-20,5.9146
2021-02-21,5.22483
2021-02-22,6.57993
2021-02-23,6.96586
2021-02-24,5.10259
2021-02-25,5.56186
2021-02-26,6.06129
2021-02-27,3.81559
2021-02-28,5.02226
2021-03-01,5.2388
2021-03-02,4.30804
2021-03-03,4.74984
2021-03-04,3.67763
2021-03-05,5.39072
2021-03-06,3.33886
2021-03-07,2.94071
2021-03-08,3.64969
2021-03-09,4.95765
2021-03-10,4.40408
2021-03-11,4.80572
2021-03-12,6.01065
2021-03-13,6.9676
2021-03-14,5.99668
2021-03-15,6.8279
2021-03-16,7.37797
2021-03-17,5.84999
2021-03-18,5.85174
2021-03-19,5.94254
2021-03-20,5.73823
2021-03-21,7.2959
2021-03-22,6.64105
2021-03-23,16.28045
2021-03-24,9.82973
2021-03-25,27.21383
2021-03-26,16.0447
2021-03-27,10.95957
2021-03-28,8.85881
2021-03-29,9.20632
2021-03-30,10.65746
2021-03-31,13.60342
2021-04-01,15.02139
2021-04-02,19.22291
2021-04-03,21.99074
2021-04-04,29.99563
