date,한일사료주가
2020-03-20,0.25294
2020-03-21,0.0285
2020-03-22,0.01603
2020-03-23,0.21375
2020-03-24,0.27432
2020-03-25,0.21732
2020-03-26,0.26541
2020-03-27,0.15853
2020-03-28,0.01959
2020-03-29,0.0089
2020-03-30,0.23335
2020-03-31,0.37051
2020-04-01,0.31529
2020-04-02,0.25294
2020-04-03,0.23869
2020-04-04,0.03206
2020-04-05,0.01781
2020-04-06,0.3527
2020-04-07,0.3331
2020-04-08,0.24226
2020-04-09,0.23513
2020-04-10,0.19416
2020-04-11,0.01603
2020-04-12,0.01425
2020-04-13,0.24226
2020-04-14,0.19594
2020-04-15,0.03562
2020-04-16,0.23157
2020-04-17,0.24047
2020-04-18,0.0285
2020-04-20,0.22444
2020-04-21,0.1906
2020-04-22,0.20307
2020-04-23,0.20307
2020-04-24,0.16388
2020-04-26,0.01246
2020-04-27,0.1425
2020-04-28,0.12113
2020-04-29,0.11934
2020-04-30,0.01068
2020-05-01,0.03562
2020-05-03,0.01425
2020-05-04,0.13716
2020-05-05,0.01068
2020-05-06,0.15675
2020-05-07,0.14072
2020-05-08,0.13894
2020-05-09,0.01603
2020-05-11,0.11756
2020-05-12,0.12469
2020-05-13,0.15141
2020-05-14,0.12825
2020-05-15,0.12291
2020-05-16,0.02315
2020-05-17,0.01781
2020-05-18,0.12291
2020-05-19,0.14784
2020-05-20,0.13538
2020-05-21,0.114
2020-05-22,0.1425
2020-05-24,0.01246
2020-05-25,0.14963
2020-05-26,0.171
2020-05-27,0.14072
2020-05-28,0.32954
2020-05-29,0.47917
2020-05-30,0.08194
2020-05-31,0.09084
2020-06-01,0.84612
2020-06-02,0.5433
2020-06-03,0.34913
2020-06-04,0.32954
2020-06-05,0.3046
2020-06-06,0.01068
2020-06-07,0.02315
2020-06-08,0.228
2020-06-09,0.26719
2020-06-10,0.23335
2020-06-11,0.2191
2020-06-12,0.12647
2020-06-13,0.01781
2020-06-14,0.01246
2020-06-15,0.17456
2020-06-16,0.2191
2020-06-17,0.19772
2020-06-18,0.27432
2020-06-19,0.26363
2020-06-20,0.0089
2020-06-21,0.0089
2020-06-22,0.17278
2020-06-23,0.22622
2020-06-24,0.18882
2020-06-25,0.14072
2020-06-26,0.11934
2020-06-28,0.0089
2020-06-29,0.13538
2020-06-30,0.51836
2020-07-01,1.2202
2020-07-02,0.54686
2020-07-03,0.42751
2020-07-04,0.04631
2020-07-05,0.01959
2020-07-06,0.37407
2020-07-07,0.3046
2020-07-08,0.26719
2020-07-09,0.18882
2020-07-10,0.17991
2020-07-11,0.01425
2020-07-12,0.01603
2020-07-13,0.18525
2020-07-14,0.17813
2020-07-15,0.22979
2020-07-16,0.14784
2020-07-17,0.13894
2020-07-18,0.0089
2020-07-19,0.01246
2020-07-20,0.1425
2020-07-21,0.18703
2020-07-22,0.15675
2020-07-23,0.16744
2020-07-24,0.18169
2020-07-25,0.04631
2020-07-26,0.04987
2020-07-27,0.31173
2020-07-28,0.23157
2020-07-29,0.23335
2020-07-30,0.19594
2020-07-31,0.13894
2020-08-01,0.01246
2020-08-02,0.01425
2020-08-03,0.15319
2020-08-04,0.16744
2020-08-05,0.12469
2020-08-06,0.16744
2020-08-07,0.19238
2020-08-08,0.01781
2020-08-09,0.01068
2020-08-10,0.26363
2020-08-11,0.20485
2020-08-12,0.17813
2020-08-13,0.16922
2020-08-14,0.18169
2020-08-15,0.01246
2020-08-17,0.02315
2020-08-18,0.17278
2020-08-19,0.14963
2020-08-20,0.14428
2020-08-21,0.10687
2020-08-22,0.01603
2020-08-24,0.10866
2020-08-25,0.11934
2020-08-26,0.1425
2020-08-27,0.11044
2020-08-28,0.11578
2020-08-30,0.0089
2020-08-31,0.13538
2020-09-01,0.13359
2020-09-02,0.11222
2020-09-03,0.10153
2020-09-04,0.15497
2020-09-05,0.01068
2020-09-06,0.0089
2020-09-07,0.19594
2020-09-08,0.10331
2020-09-09,0.11756
2020-09-10,0.12647
2020-09-11,0.13716
2020-09-12,0.0089
2020-09-13,0.0089
2020-09-14,0.13359
2020-09-15,0.13894
2020-09-16,0.09619
2020-09-17,0.11222
2020-09-18,0.11934
2020-09-19,0.01246
2020-09-21,0.09975
2020-09-22,0.07481
2020-09-23,0.07837
2020-09-24,0.10153
2020-09-25,0.07481
2020-09-26,0.01425
2020-09-28,0.07125
2020-09-29,0.08906
2020-09-30,0.01068
2020-10-02,0.0089
2020-10-05,0.114
2020-10-06,0.10866
2020-10-07,0.09262
2020-10-08,0.11044
2020-10-09,0.02493
2020-10-10,0.02315
2020-10-11,0.02315
2020-10-12,0.1621
2020-10-13,0.11934
2020-10-14,0.0855
2020-10-15,0.08372
2020-10-16,0.06234
2020-10-19,0.07659
2020-10-20,0.10331
2020-10-21,0.10331
2020-10-22,0.10509
2020-10-23,0.08906
2020-10-25,0.01068
2020-10-26,0.08015
2020-10-27,0.08372
2020-10-28,0.05878
2020-10-29,0.06412
