date,국채금리
2020-03-20,2.63172
2020-03-21,1.21902
2020-03-22,2.32982
2020-03-23,3.94189
2020-03-24,2.34121
2020-03-25,1.79436
2020-03-26,2.45514
2020-03-27,1.90259
2020-03-28,1.04813
2020-03-29,1.12218
2020-03-30,1.94246
2020-03-31,1.38422
2020-04-01,1.21332
2020-04-02,1.13358
2020-04-03,0.97408
2020-04-04,0.56963
2020-04-05,0.67217
2020-04-06,0.7747
2020-04-07,1.13927
2020-04-08,0.79179
2020-04-09,0.6266
2020-04-10,0.52976
2020-04-11,0.33608
2020-04-12,0.45571
2020-04-13,0.68356
2020-04-14,0.6209
2020-04-15,0.51267
2020-04-16,0.65508
2020-04-17,0.6152
2020-04-18,0.27912
2020-04-19,0.4614
2020-04-20,0.7747
2020-04-21,0.72344
2020-04-22,0.95129
2020-04-23,1.24181
2020-04-24,1.57789
2020-04-25,1.24181
2020-04-26,1.10509
2020-04-27,0.98547
2020-04-28,0.9399
2020-04-29,0.76901
2020-04-30,0.6152
2020-05-01,0.37026
2020-05-02,0.34747
2020-05-03,0.4614
2020-05-04,0.52406
2020-05-05,0.38735
2020-05-06,0.56963
2020-05-07,0.64938
2020-05-08,0.47279
2020-05-09,0.42722
2020-05-10,0.3019
2020-05-11,0.68356
2020-05-12,0.45001
2020-05-13,0.6266
2020-05-14,0.68356
2020-05-15,0.64938
2020-05-16,0.39874
2020-05-17,0.51267
2020-05-18,0.54115
2020-05-19,0.4671
2020-05-20,0.51267
2020-05-21,0.74622
2020-05-22,0.53545
2020-05-23,0.39305
2020-05-24,0.41583
2020-05-25,0.58103
2020-05-26,0.47849
2020-05-27,0.48419
2020-05-28,0.75192
2020-05-29,0.58672
2020-05-30,0.26203
2020-05-31,0.28481
2020-06-01,0.4614
2020-06-02,0.45001
2020-06-03,0.63799
2020-06-04,0.82027
2020-06-05,0.4671
2020-06-06,0.39874
2020-06-07,0.34747
2020-06-08,0.74052
2020-06-09,0.53545
2020-06-10,0.55824
2020-06-11,0.57533
2020-06-12,0.47279
2020-06-13,0.52406
2020-06-14,0.68926
2020-06-15,0.50128
2020-06-16,0.43292
2020-06-17,0.31899
2020-06-18,0.39874
2020-06-19,0.4671
2020-06-20,0.21646
2020-06-21,0.27912
2020-06-22,0.38735
2020-06-23,0.35317
2020-06-24,0.38735
2020-06-25,0.38165
2020-06-26,0.3133
2020-06-27,0.15949
2020-06-28,0.10823
2020-06-29,0.35317
2020-06-30,0.29051
2020-07-01,0.29051
2020-07-02,0.35887
2020-07-03,0.27342
2020-07-04,0.18228
2020-07-05,0.17089
2020-07-06,0.3019
2020-07-07,0.25064
2020-07-08,0.34178
2020-07-09,0.26203
2020-07-10,0.21646
2020-07-11,0.17089
2020-07-12,0.28481
2020-07-13,0.41013
2020-07-14,0.29051
2020-07-15,0.22215
2020-07-16,0.28481
2020-07-17,0.24494
2020-07-18,0.22215
2020-07-19,0.13671
2020-07-20,0.27912
2020-07-21,0.23355
2020-07-22,0.21646
2020-07-23,0.19937
2020-07-24,0.29621
2020-07-25,0.27342
2020-07-26,0.22215
2020-07-27,0.50128
2020-07-28,0.45001
2020-07-29,0.3019
2020-07-30,0.27342
2020-07-31,0.3019
2020-08-01,0.20506
2020-08-02,0.37026
2020-08-03,0.43862
2020-08-04,0.3133
2020-08-05,0.39874
2020-08-06,0.56394
2020-08-07,0.34747
2020-08-08,0.25633
2020-08-09,0.33608
2020-08-10,0.54685
2020-08-11,0.47849
2020-08-12,0.81458
2020-08-13,0.68926
2020-08-14,0.63799
2020-08-15,0.3076
2020-08-16,0.25633
2020-08-17,0.3076
2020-08-18,0.52406
2020-08-19,0.48988
2020-08-20,0.55824
2020-08-21,0.49558
2020-08-22,0.34178
2020-08-23,0.27912
2020-08-24,0.55254
2020-08-25,0.67217
2020-08-26,0.59812
2020-08-27,0.65508
2020-08-28,0.72344
2020-08-29,0.40444
2020-08-30,0.36456
2020-08-31,0.67786
2020-09-01,1.13927
2020-09-02,1.44688
2020-09-03,0.95699
2020-09-04,1.03674
2020-09-05,0.6152
2020-09-06,0.99117
2020-09-07,1.69182
2020-09-08,1.48675
2020-09-09,1.67473
2020-09-10,1.28738
2020-09-11,0.72344
2020-09-12,0.49558
2020-09-13,0.42722
2020-09-14,0.6152
2020-09-15,0.66647
2020-09-16,0.65508
2020-09-17,0.65508
2020-09-18,0.40444
2020-09-19,0.33608
2020-09-20,0.33039
2020-09-21,0.4614
