date,구글주가
2020-03-20,15.00026
2020-03-21,11.77515
2020-03-22,7.72626
2020-03-23,12.99197
2020-03-24,14.9895
2020-03-25,13.98266
2020-03-26,13.2881
2020-03-27,11.75362
2020-03-28,8.87847
2020-03-29,6.50406
2020-03-30,8.23238
2020-03-31,9.80993
2020-04-01,9.43304
2020-04-02,9.33074
2020-04-03,8.157
2020-04-04,6.38561
2020-04-05,4.74882
2020-04-06,7.66704
2020-04-07,9.83685
2020-04-08,9.10461
2020-04-09,8.5985
2020-04-10,7.73165
2020-04-11,5.08264
2020-04-12,4.66806
2020-04-13,6.29946
2020-04-14,8.38852
2020-04-15,7.82856
2020-04-16,7.74242
2020-04-17,9.3792
2020-04-18,6.48791
2020-04-19,4.44193
2020-04-20,6.23485
2020-04-21,7.62935
2020-04-22,8.43697
2020-04-23,7.95778
2020-04-24,6.4556
2020-04-25,5.28186
2020-04-26,9.28767
2020-04-27,8.40467
2020-04-28,7.67781
2020-04-29,10.50449
2020-04-30,10.36989
2020-05-01,7.13939
2020-05-02,5.62644
2020-05-03,3.36509
2020-05-04,4.96957
2020-05-05,6.61174
2020-05-06,8.03855
2020-05-07,7.47321
2020-05-08,7.19323
2020-05-09,5.76643
2020-05-10,3.81736
2020-05-11,5.94949
2020-05-12,8.46928
2020-05-13,7.5109
2020-05-14,6.85403
2020-05-15,6.7948
2020-05-16,4.52269
2020-05-17,3.09589
2020-05-18,5.24955
2020-05-19,8.157
2020-05-20,8.47466
2020-05-21,8.76541
2020-05-22,7.5432
2020-05-23,4.9265
2020-05-24,3.78506
2020-05-25,7.12324
2020-05-26,8.76002
2020-05-27,9.2446
2020-05-28,7.99547
2020-05-29,6.68712
2020-05-30,4.57653
2020-05-31,3.32741
2020-06-01,5.95488
2020-06-02,7.46244
2020-06-03,7.33322
2020-06-04,8.0547
2020-06-05,7.55397
2020-06-06,7.46782
2020-06-07,6.3533
2020-06-08,8.64157
2020-06-09,11.13444
2020-06-10,11.43057
2020-06-11,11.5221
2020-06-12,12.83045
2020-06-13,7.19862
2020-06-14,5.86335
2020-06-15,7.8501
2020-06-16,8.65234
2020-06-17,8.087
2020-06-18,8.10316
2020-06-19,7.79626
2020-06-20,5.05572
2020-06-21,3.39202
2020-06-22,5.62644
2020-06-23,8.02239
2020-06-24,7.71011
2020-06-25,7.5432
2020-06-26,7.05863
2020-06-27,7.5109
2020-06-28,3.81736
2020-06-29,7.36014
2020-06-30,7.72626
2020-07-01,8.01162
2020-07-02,8.36698
