date,속도위반조회
2020-03-20,6.08875
2020-03-21,5.77915
2020-03-22,3.50877
2020-03-23,6.70794
2020-03-24,7.53353
2020-03-25,4.95356
2020-03-26,5.88235
2020-03-27,5.57275
2020-03-28,4.43756
2020-03-29,3.92156
2020-03-30,7.63673
2020-03-31,6.08875
2020-04-01,5.46955
2020-04-02,6.60474
2020-04-03,5.57275
2020-04-04,3.61197
2020-04-05,2.88957
2020-04-06,6.81114
2020-04-07,5.57275
2020-04-08,5.67595
2020-04-09,5.36635
2020-04-10,6.39834
2020-04-11,3.92156
2020-04-12,3.40557
2020-04-13,5.15995
2020-04-14,6.60474
2020-04-15,4.02476
2020-04-16,7.73993
2020-04-17,6.70794
2020-04-18,3.30237
2020-04-19,2.68317
2020-04-20,5.36635
2020-04-21,6.60474
2020-04-22,4.85036
2020-04-23,5.36635
2020-04-24,4.64396
2020-04-25,2.99277
2020-04-26,3.19917
2020-04-27,5.98555
2020-04-28,7.12074
2020-04-29,5.98555
2020-04-30,4.54076
2020-05-01,4.02476
2020-05-02,4.23116
2020-05-03,3.61197
2020-05-04,6.39834
2020-05-05,5.26315
2020-05-06,9.49432
2020-05-07,9.70072
2020-05-08,5.88235
2020-05-09,3.81836
2020-05-10,2.57997
2020-05-11,5.98555
2020-05-12,6.50154
2020-05-13,4.74716
2020-05-14,4.12796
2020-05-15,5.15995
2020-05-16,4.23116
2020-05-17,6.29514
2020-05-18,9.18472
2020-05-19,6.81114
2020-05-20,3.92156
2020-05-21,6.60474
2020-05-22,4.43756
2020-05-23,3.71517
2020-05-24,2.78637
2020-05-25,5.26315
2020-05-26,6.81114
2020-05-27,5.15995
2020-05-28,5.15995
2020-05-29,4.74716
2020-05-30,3.30237
2020-05-31,4.64396
2020-06-01,19.71104
2020-06-02,23.21981
2020-06-03,29.30856
2020-06-04,29.51496
2020-06-05,30.23735
2020-06-06,22.60061
2020-06-07,28.17337
2020-06-08,48.40041
2020-06-09,38.08049
2020-06-10,37.66769
2020-06-11,37.87409
2020-06-12,33.84932
2020-06-13,31.47574
2020-06-14,26.10939
2020-06-15,47.57481
2020-06-16,45.82043
2020-06-17,42.72445
2020-06-18,34.98452
2020-06-19,38.59649
2020-06-20,32.61093
2020-06-21,35.50051
2020-06-22,56.55314
2020-06-23,59.44272
2020-06-24,48.40041
2020-06-25,48.8132
2020-06-26,43.13725
2020-06-27,33.64293
2020-06-28,44.47884
2020-06-29,53.97316
2020-06-30,42.62125
2020-07-01,43.85964
2020-07-02,46.54282
2020-07-03,39.31888
2020-07-04,29.51496
2020-07-05,32.09494
2020-07-06,54.90196
2020-07-07,49.5356
2020-07-08,49.5356
2020-07-09,43.85964
2020-07-10,45.09803
2020-07-11,41.07327
2020-07-12,42.31166
2020-07-13,56.65634
2020-07-14,51.49638
2020-07-15,54.28276
2020-07-16,53.25077
2020-07-17,57.27554
2020-07-18,47.16202
2020-07-19,45.30443
2020-07-20,65.94427
2020-07-21,60.57791
2020-07-22,52.73477
2020-07-23,46.85242
2020-07-24,45.30443
2020-07-25,40.35087
2020-07-26,45.92363
2020-07-27,65.84107
2020-07-28,49.8452
2020-07-29,51.80598
2020-07-30,46.85242
2020-07-31,54.38596
2020-08-01,43.24045
2020-08-02,42.82765
2020-08-03,55.72755
2020-08-04,56.44994
2020-08-05,55.52115
2020-08-06,48.29721
2020-08-07,50.36119
2020-08-08,33.33333
2020-08-09,37.3581
2020-08-10,54.17956
2020-08-11,47.36842
2020-08-12,46.74922
2020-08-13,54.17956
2020-08-14,57.68833
2020-08-15,40.14447
2020-08-16,46.74922
2020-08-17,50.98039
2020-08-18,67.49226
2020-08-19,66.76986
2020-08-20,66.87306
2020-08-21,53.97316
2020-08-22,43.85964
2020-08-23,48.71001
2020-08-24,60.88751
2020-08-25,60.37151
2020-08-26,54.17956
2020-08-27,46.85242
2020-08-28,45.51083
2020-08-29,37.66769
2020-08-30,37.4613
2020-08-31,58.82352
2020-09-01,52.52837
2020-09-02,37.66769
2020-09-03,46.74922
2020-09-04,45.20123
2020-09-05,40.45407
2020-09-06,39.31888
2020-09-07,44.68524
2020-09-08,50.98039
2020-09-09,52.94117
2020-09-10,53.35397
2020-09-11,47.47162
2020-09-12,33.95252
