date,심문
2020-03-20,7.73666
2020-03-21,6.58337
2020-03-22,7.68861
2020-03-23,7.83277
2020-03-24,7.68861
2020-03-25,7.73666
2020-03-26,8.07304
2020-03-27,10.33157
2020-03-28,6.43921
2020-03-29,7.40028
2020-03-30,8.31331
2020-03-31,8.60163
2020-04-01,10.33157
2020-04-02,10.52378
2020-04-03,10.1874
2020-04-04,8.98606
2020-04-05,8.12109
2020-04-06,8.69774
2020-04-07,9.32244
2020-04-08,9.94714
2020-04-09,10.52378
2020-04-10,9.56271
2020-04-11,7.78471
2020-04-12,7.06391
2020-04-13,9.32244
2020-04-14,8.64968
2020-04-15,8.31331
2020-04-16,9.37049
2020-04-17,9.22633
2020-04-18,6.43921
2020-04-19,8.69774
2020-04-20,7.92888
2020-04-21,9.89908
2020-04-22,11.58097
2020-04-23,9.37049
2020-04-24,10.0913
2020-04-25,7.11196
2020-04-26,7.83277
2020-04-27,8.98606
2020-04-28,10.47573
2020-04-29,8.02498
2020-04-30,6.48726
2020-05-01,8.64968
2020-05-02,7.97693
2020-05-03,9.32244
2020-05-04,7.83277
2020-05-05,7.35223
2020-05-06,8.55358
2020-05-07,9.75492
2020-05-08,9.75492
2020-05-09,7.64055
2020-05-10,8.2172
2020-05-11,11.48486
2020-05-12,10.13935
2020-05-13,8.98606
2020-05-14,8.74579
2020-05-15,9.75492
2020-05-16,6.87169
2020-05-17,6.9678
2020-05-18,8.16914
2020-05-19,9.80297
2020-05-20,8.31331
2020-05-21,9.56271
2020-05-22,8.69774
2020-05-23,7.01585
2020-05-24,7.25612
2020-05-25,9.70687
2020-05-26,9.75492
2020-05-27,8.55358
2020-05-28,9.17827
2020-05-29,8.69774
2020-05-30,7.40028
2020-05-31,6.67948
2020-06-01,7.78471
2020-06-02,8.02498
2020-06-03,8.40941
2020-06-04,8.98606
2020-06-05,7.40028
2020-06-06,6.10283
2020-06-07,7.54444
2020-06-08,8.64968
2020-06-09,9.08217
2020-06-10,8.50552
2020-06-11,9.37049
2020-06-12,8.64968
2020-06-13,6.29505
2020-06-14,5.67035
2020-06-15,7.44834
2020-06-16,8.88995
2020-06-17,8.40941
2020-06-18,8.2172
2020-06-19,6.63142
2020-06-20,6.19894
2020-06-21,6.39115
2020-06-22,8.93801
2020-06-23,8.31331
2020-06-24,8.88995
2020-06-25,7.73666
2020-06-26,8.2172
2020-06-27,4.66122
2020-06-28,6.87169
2020-06-29,8.02498
2020-06-30,8.8419
2020-07-01,7.97693
2020-07-02,9.37049
2020-07-03,8.36136
2020-07-04,6.77558
2020-07-05,6.91975
2020-07-06,8.12109
2020-07-07,8.93801
2020-07-08,9.32244
2020-07-09,8.60163
2020-07-10,7.97693
2020-07-11,6.19894
2020-07-12,8.79384
2020-07-13,9.75492
2020-07-14,9.08217
2020-07-15,9.13022
2020-07-16,9.37049
2020-07-17,8.12109
2020-07-18,6.77558
2020-07-19,6.10283
2020-07-20,7.5925
2020-07-21,8.12109
2020-07-22,9.37049
2020-07-23,8.8419
2020-07-24,7.92888
2020-07-25,6.67948
2020-07-26,6.15088
2020-07-27,7.97693
2020-07-28,7.30418
2020-07-29,8.93801
2020-07-30,9.22633
2020-07-31,6.05478
2020-08-01,7.06391
2020-08-02,7.25612
2020-08-03,7.73666
2020-08-04,7.49639
2020-08-05,7.68861
2020-08-06,7.54444
2020-08-07,6.87169
2020-08-08,5.43008
2020-08-09,6.39115
2020-08-10,7.16001
2020-08-11,7.83277
2020-08-12,7.88082
2020-08-13,8.40941
2020-08-14,7.5925
2020-08-15,6.77558
2020-08-16,6.63142
2020-08-17,7.11196
2020-08-18,7.54444
2020-08-19,7.83277
2020-08-20,8.02498
2020-08-21,8.31331
2020-08-22,5.52618
2020-08-23,7.16001
2020-08-24,8.26525
2020-08-25,6.91975
2020-08-26,9.32244
2020-08-27,9.17827
2020-08-28,7.97693
2020-08-29,7.11196
2020-08-30,6.3431
2020-08-31,8.93801
2020-09-01,8.36136
2020-09-02,8.02498
2020-09-03,10.8121
2020-09-04,8.45747
2020-09-05,6.63142
2020-09-06,7.06391
2020-09-07,12.44593
2020-09-08,10.1874
2020-09-09,10.28351
2020-09-10,8.8419
2020-09-11,9.32244
2020-09-12,7.5925
2020-09-13,8.31331
2020-09-14,8.64968
2020-09-15,10.28351
2020-09-16,8.55358
2020-09-17,11.82123
2020-09-18,9.75492
2020-09-19,6.19894
2020-09-20,6.87169
2020-09-21,10.13935
2020-09-22,8.74579
2020-09-23,10.0913
2020-09-24,11.29264
2020-09-25,11.29264
2020-09-26,8.69774
2020-09-27,8.36136
2020-09-28,9.89908
2020-09-29,7.97693
2020-09-30,5.95867
2020-10-01,6.19894
2020-10-02,5.76645
2020-10-03,7.20807
2020-10-04,8.93801
2020-10-05,7.88082
2020-10-06,8.98606
2020-10-07,10.37962
2020-10-08,9.94714
2020-10-09,5.7184
2020-10-10,7.06391
2020-10-11,7.54444
2020-10-12,8.98606
2020-10-13,8.16914
2020-10-14,9.37049
2020-10-15,8.31331
2020-10-16,8.64968
2020-10-17,7.64055
2020-10-18,8.02498
2020-10-19,9.27438
2020-10-20,9.13022
2020-10-21,10.04324
2020-10-22,8.74579
2020-10-23,10.76405
2020-10-24,7.06391
2020-10-25,6.3431
2020-10-26,9.08217
2020-10-27,9.41854
2020-10-28,9.70687
2020-10-29,8.2172
2020-10-30,7.78471
2020-10-31,5.76645
2020-11-01,6.53531
2020-11-02,10.42767
2020-11-03,9.94714
2020-11-04,9.17827
2020-11-05,8.02498
2020-11-06,7.83277
2020-11-07,6.58337
2020-11-08,6.77558
2020-11-09,8.8419
2020-11-10,8.64968
2020-11-11,9.08217
2020-11-12,8.98606
2020-11-13,9.13022
2020-11-14,6.77558
2020-11-15,7.20807
2020-11-16,9.32244
2020-11-17,7.83277
2020-11-18,9.08217
2020-11-19,9.4666
2020-11-20,9.08217
2020-11-21,7.01585
2020-11-22,7.92888
2020-11-23,7.78471
2020-11-24,10.33157
2020-11-25,12.20567
2020-11-26,8.79384
2020-11-27,24.36328
2020-11-28,11.72513
2020-11-29,13.16674
2020-11-30,23.97885
2020-12-01,11.4368
2020-12-02,10.42767
2020-12-03,10.04324
2020-12-04,9.4666
2020-12-05,7.49639
2020-12-06,7.68861
2020-12-07,9.27438
2020-12-08,9.75492
2020-12-09,9.70687
