date,사망보험금
2020-03-20,38.86986
2020-03-21,30.65068
2020-03-22,25.17123
2020-03-23,42.97945
2020-03-24,43.66438
2020-03-25,57.70547
2020-03-26,44.34931
2020-03-27,43.83561
2020-03-28,24.65753
2020-03-29,35.4452
2020-03-30,38.01369
2020-03-31,39.89726
2020-04-01,34.24657
2020-04-02,31.16438
2020-04-03,30.13698
2020-04-04,30.47945
2020-04-05,23.4589
2020-04-06,35.61643
2020-04-07,39.21232
2020-04-08,39.38356
2020-04-09,39.55479
2020-04-10,37.84246
2020-04-11,36.9863
2020-04-12,34.07534
2020-04-13,38.52739
2020-04-14,38.86986
2020-04-15,33.73287
2020-04-16,33.21917
2020-04-17,35.78767
2020-04-18,49.82876
2020-04-19,72.77397
2020-04-20,50.0
2020-04-21,41.95205
2020-04-22,44.52054
2020-04-23,46.74657
2020-04-24,39.72602
2020-04-25,32.36301
2020-04-26,40.75342
2020-04-27,43.49315
2020-04-28,39.04109
2020-04-29,34.9315
2020-04-30,32.70547
2020-05-01,28.42465
2020-05-02,29.45205
2020-05-03,28.25342
2020-05-04,39.04109
2020-05-05,33.9041
2020-05-06,38.69863
2020-05-07,36.30136
2020-05-08,36.9863
2020-05-09,27.22602
2020-05-10,22.4315
2020-05-11,35.10273
2020-05-12,33.21917
2020-05-13,34.58904
2020-05-14,36.9863
2020-05-15,37.15753
2020-05-16,27.39726
2020-05-17,29.79452
2020-05-18,32.02054
2020-05-19,35.4452
2020-05-20,40.23972
2020-05-21,37.32876
2020-05-22,31.50684
2020-05-23,20.71917
2020-05-24,27.56849
2020-05-25,34.9315
2020-05-26,33.56164
2020-05-27,36.64383
2020-05-28,34.4178
2020-05-29,24.31506
2020-05-30,30.13698
2020-05-31,37.67123
2020-06-01,35.9589
2020-06-02,38.86986
2020-06-03,30.47945
2020-06-04,31.67808
2020-06-05,29.62328
2020-06-06,20.89041
2020-06-07,27.05479
2020-06-08,32.19178
2020-06-09,28.76712
2020-06-10,31.33561
2020-06-11,32.02054
2020-06-12,26.88356
2020-06-13,22.08904
2020-06-14,19.34931
2020-06-15,33.04794
2020-06-16,34.9315
2020-06-17,32.70547
2020-06-18,31.50684
2020-06-19,25.51369
2020-06-20,24.14383
2020-06-21,23.63013
2020-06-22,32.87671
2020-06-23,42.46575
2020-06-24,41.43835
2020-06-25,33.04794
2020-06-26,32.87671
2020-06-27,25.68493
2020-06-28,25.85616
2020-06-29,33.21917
2020-06-30,29.79452
2020-07-01,29.28082
2020-07-02,28.93835
2020-07-03,23.28767
2020-07-04,22.77397
2020-07-05,24.82876
2020-07-06,34.58904
2020-07-07,32.70547
2020-07-08,30.47945
2020-07-09,27.05479
2020-07-10,29.96575
2020-07-11,24.65753
2020-07-12,28.42465
2020-07-13,38.69863
2020-07-14,30.47945
2020-07-15,34.58904
2020-07-16,28.59589
2020-07-17,28.93835
2020-07-18,23.80136
2020-07-19,28.25342
2020-07-20,35.61643
2020-07-21,32.70547
2020-07-22,40.92465
2020-07-23,41.26712
2020-07-24,35.4452
2020-07-25,23.28767
2020-07-26,24.14383
2020-07-27,33.21917
2020-07-28,32.36301
2020-07-29,30.99315
2020-07-30,31.84931
2020-07-31,29.10958
2020-08-01,21.23287
2020-08-02,21.4041
2020-08-03,28.25342
2020-08-04,27.91095
2020-08-05,34.76027
2020-08-06,30.99315
2020-08-07,27.39726
2020-08-08,27.05479
2020-08-09,27.56849
2020-08-10,100.0
2020-08-11,91.09589
2020-08-12,57.19178
2020-08-13,41.95205
2020-08-14,31.33561
2020-08-15,37.15753
2020-08-16,29.62328
2020-08-17,25.0
2020-08-18,30.99315
2020-08-19,38.35616
2020-08-20,37.84246
2020-08-21,25.0
2020-08-22,27.22602
2020-08-23,30.65068
2020-08-24,35.9589
2020-08-25,34.58904
2020-08-26,34.24657
2020-08-27,41.60958
2020-08-28,29.28082
2020-08-29,26.36986
2020-08-30,25.85616
2020-08-31,31.33561
2020-09-01,31.33561
2020-09-02,37.67123
2020-09-03,39.72602
2020-09-04,38.35616
2020-09-05,26.71232
2020-09-06,33.39041
2020-09-07,34.24657
2020-09-08,36.9863
2020-09-09,39.55479
2020-09-10,32.70547
2020-09-11,35.61643
2020-09-12,27.56849
2020-09-13,26.88356
2020-09-14,37.84246
2020-09-15,34.58904
2020-09-16,35.4452
2020-09-17,30.30821
2020-09-18,26.02739
2020-09-19,26.88356
2020-09-20,28.25342
2020-09-21,32.87671
2020-09-22,30.30821
2020-09-23,29.62328
2020-09-24,39.21232
2020-09-25,40.58219
2020-09-26,25.0
2020-09-27,25.85616
2020-09-28,27.91095
2020-09-29,28.59589
2020-09-30,22.77397
2020-10-01,24.14383
2020-10-02,24.4863
2020-10-03,22.9452
2020-10-04,27.56849
2020-10-05,32.53424
2020-10-06,33.21917
2020-10-07,30.65068
2020-10-08,31.67808
2020-10-09,17.29452
2020-10-10,22.60273
2020-10-11,26.71232
2020-10-12,31.50684
2020-10-13,30.82191
2020-10-14,35.27397
2020-10-15,31.16438
2020-10-16,30.82191
2020-10-17,28.59589
2020-10-18,48.80136
2020-10-19,50.34246
2020-10-20,38.86986
2020-10-21,37.67123
2020-10-22,38.35616
2020-10-23,28.59589
2020-10-24,22.60273
2020-10-25,26.88356
2020-10-26,45.37671
2020-10-27,43.83561
2020-10-28,36.64383
2020-10-29,39.21232
2020-10-30,31.67808
2020-10-31,28.42465
2020-11-01,24.31506
2020-11-02,40.58219
2020-11-03,38.86986
2020-11-04,33.21917
2020-11-05,28.25342
2020-11-06,28.08219
2020-11-07,23.80136
2020-11-08,26.02739
2020-11-09,32.87671
2020-11-10,28.42465
2020-11-11,33.73287
2020-11-12,28.42465
2020-11-13,26.71232
2020-11-14,23.28767
2020-11-15,23.63013
2020-11-16,29.28082
2020-11-17,32.19178
2020-11-18,31.16438
2020-11-19,29.62328
2020-11-20,21.06164
2020-11-21,22.26027
2020-11-22,25.68493
2020-11-23,30.65068
2020-11-24,35.4452
2020-11-25,29.45205
2020-11-26,32.02054
2020-11-27,28.42465
2020-11-28,23.63013
2020-11-29,27.73972
2020-11-30,28.25342
2020-12-01,27.05479
2020-12-02,25.34246
2020-12-03,31.16438
2020-12-04,22.4315
2020-12-05,19.17808
2020-12-06,23.11643
2020-12-07,30.30821
2020-12-08,28.08219
2020-12-09,29.96575
2020-12-10,29.28082
