date,발로소득
2022-05-31,0.28312
2022-06-22,0.28312
2022-06-27,0.33975
2022-06-28,1.64212
2022-06-30,1.07587
2022-07-01,0.73612
2022-07-02,0.33975
2022-07-03,0.28312
2022-07-04,0.33975
2022-07-05,0.84937
2022-07-07,1.18912
2022-07-11,0.28312
2022-07-12,0.39637
2022-07-15,0.33975
2022-07-17,0.28312
2022-07-18,0.56625
2022-07-26,0.28312
2022-07-29,0.28312
2022-08-01,0.33975
2022-08-02,1.30237
2022-08-03,0.28312
2022-08-08,0.50962
2022-08-09,0.28312
2022-08-12,0.33975
2022-08-15,0.28312
2022-08-21,0.28312
2022-09-05,0.453
2022-09-07,0.56625
2022-09-15,0.28312
2022-09-21,0.39637
2022-09-22,0.73612
2022-09-23,0.28312
2022-09-24,0.96262
2022-09-26,0.906
2022-09-27,0.28312
2022-09-28,0.56625
2022-10-05,0.6795
2022-10-06,0.28312
2022-10-10,0.56625
2022-10-11,0.906
2022-10-12,1.1325
2022-10-13,1.30237
2022-10-14,0.62287
2022-10-15,1.07587
2022-10-16,1.30237
2022-10-17,1.07587
2022-10-18,1.24575
2022-10-19,0.96262
2022-10-20,1.47225
2022-10-21,1.98187
2022-10-22,1.52887
2022-10-23,1.52887
2022-10-24,1.5855
2022-10-25,1.64212
2022-10-26,0.73612
2022-10-27,0.28312
2022-10-28,0.73612
2022-10-29,0.6795
2022-10-30,0.62287
2022-10-31,0.56625
2022-11-01,0.84937
2022-11-02,0.453
2022-11-03,0.62287
2022-11-04,0.906
2022-11-05,1.24575
2022-11-06,1.69875
2022-11-07,1.64212
2022-11-08,0.906
2022-11-09,1.30237
2022-11-10,0.73612
2022-11-11,1.359
2022-11-12,1.52887
2022-11-13,0.39637
2022-11-14,0.73612
2022-11-15,0.62287
2022-11-16,1.24575
2022-11-17,0.84937
2022-11-18,1.01925
2022-11-19,1.98187
2022-11-20,1.24575
2022-11-21,1.52887
2022-11-22,1.52887
2022-11-23,0.39637
2022-11-24,0.79275
2022-11-25,0.39637
2022-11-26,0.453
2022-11-27,0.453
2022-11-29,2.66138
2022-11-30,2.4915
2022-12-01,0.6795
2022-12-02,0.39637
2022-12-05,0.33975
2022-12-06,0.62287
2022-12-07,0.73612
2022-12-08,0.33975
2022-12-10,0.6795
2022-12-11,0.453
2022-12-12,0.39637
2022-12-13,0.73612
2022-12-14,0.39637
2022-12-15,0.56625
2022-12-16,0.56625
2022-12-17,0.62287
2022-12-18,0.50962
2022-12-19,0.39637
2022-12-20,0.33975
2022-12-21,0.39637
2022-12-22,0.28312
2022-12-23,0.6795
2022-12-24,0.453
2022-12-25,0.96262
2022-12-26,0.50962
2022-12-27,0.906
2022-12-28,1.5855
2022-12-29,1.5855
2022-12-30,0.84937
2022-12-31,0.39637
2023-01-01,0.39637
2023-01-02,0.96262
2023-01-03,0.56625
2023-01-04,0.28312
2023-01-05,1.01925
2023-01-06,0.62287
2023-01-07,0.39637
2023-01-08,0.33975
2023-01-09,0.50962
2023-01-10,1.07587
2023-01-11,1.52887
2023-01-12,1.30237
2023-01-13,1.52887
2023-01-14,1.359
2023-01-15,2.43488
2023-01-16,6.73839
2023-01-17,3.51075
2023-01-18,1.01925
2023-01-19,6.45526
2023-01-20,2.265
2023-01-21,1.64212
2023-01-22,2.20838
2023-01-23,1.41562
2023-01-24,0.906
2023-01-25,3.34088
2023-01-26,21.46092
2023-01-27,7.58776
2023-01-28,4.13363
2023-01-29,3.3975
2023-01-30,7.02151
2023-01-31,20.9513
2023-02-01,7.98414
2023-02-02,6.45526
2023-02-03,76.44394
2023-02-04,16.25141
2023-02-05,12.23103
