date,상장폐지되면
2020-03-20,62.65984
2020-03-21,31.20204
2020-03-22,22.76214
2020-03-23,70.58823
2020-03-24,70.07672
2020-03-25,37.5959
2020-03-26,36.31713
2020-03-27,29.92327
2020-03-28,14.83375
2020-03-29,4.60358
2020-03-30,27.62148
2020-03-31,33.24808
2020-04-01,25.8312
2020-04-02,12.02046
2020-04-03,15.60102
2020-04-04,3.58056
2020-04-05,2.30179
2020-04-06,13.04347
2020-04-07,13.81074
2020-04-08,11.25319
2020-04-09,19.69309
2020-04-10,12.02046
2020-04-11,3.3248
2020-04-12,2.30179
2020-04-13,4.09207
2020-04-14,4.34782
2020-04-15,2.55754
2020-04-16,4.09207
2020-04-17,5.37084
2020-04-18,5.62659
2020-04-19,2.30179
2020-04-20,5.11508
2020-04-21,14.578
2020-04-22,18.92583
2020-04-23,18.41432
2020-04-24,7.41687
2020-04-25,4.09207
2020-04-26,2.04603
2020-04-27,9.97442
2020-04-28,7.92838
2020-04-29,6.39386
2020-04-30,8.18414
2020-05-01,1.53452
2020-05-02,1.79028
2020-05-04,4.34782
2020-05-05,4.60358
2020-05-06,8.43989
2020-05-07,2.81329
2020-05-08,5.88235
2020-05-09,2.81329
2020-05-10,2.81329
2020-05-11,7.92838
2020-05-12,28.13299
2020-05-13,26.34271
2020-05-14,20.71611
2020-05-15,11.7647
2020-05-16,6.64961
2020-05-17,9.20716
2020-05-18,17.64705
2020-05-19,9.46291
2020-05-20,9.71867
2020-05-21,15.60102
2020-05-22,15.60102
2020-05-23,3.83631
2020-05-24,1.27877
2020-05-25,6.64961
2020-05-26,10.48593
2020-05-27,8.43989
2020-05-28,5.37084
2020-05-29,7.92838
2020-05-30,2.30179
2020-06-01,5.88235
2020-06-02,1.79028
2020-06-03,3.58056
2020-06-04,5.37084
2020-06-05,2.04603
2020-06-09,1.27877
2020-06-10,2.81329
2020-06-11,4.09207
2020-06-12,3.58056
2020-06-13,2.30179
2020-06-15,3.83631
2020-06-16,3.83631
2020-06-17,2.30179
2020-06-18,2.81329
2020-06-19,25.57544
2020-06-20,13.04347
2020-06-21,4.09207
2020-06-22,7.16112
2020-06-23,6.90537
2020-06-24,9.20716
2020-06-25,9.97442
2020-06-26,6.1381
2020-06-27,3.3248
2020-06-28,2.81329
2020-06-29,8.43989
2020-06-30,7.16112
2020-07-01,10.74168
2020-07-02,9.20716
2020-07-03,5.37084
2020-07-04,3.3248
2020-07-05,3.3248
2020-07-06,7.67263
2020-07-07,6.1381
2020-07-08,12.27621
2020-07-09,9.71867
2020-07-10,10.23017
2020-07-11,2.04603
2020-07-12,3.06905
2020-07-13,8.9514
2020-07-14,5.62659
2020-07-15,9.20716
2020-07-16,5.37084
2020-07-17,4.34782
2020-07-18,3.58056
2020-07-20,2.81329
2020-07-21,3.06905
2020-07-22,2.30179
2020-07-23,3.06905
2020-07-24,4.85933
2020-07-25,2.55754
2020-07-26,1.27877
2020-07-27,3.83631
2020-07-28,5.11508
2020-07-29,2.81329
2020-07-30,2.55754
2020-07-31,5.11508
