date,취득세
2020-03-20,0.36203
2020-03-21,0.24351
2020-03-22,0.25197
2020-03-23,0.43274
2020-03-24,0.43025
2020-03-25,0.42826
2020-03-26,0.53881
2020-03-27,0.40635
2020-03-28,0.25546
2020-03-29,0.21811
2020-03-30,0.45764
2020-03-31,0.44917
2020-04-01,0.41033
2020-04-02,0.3934
2020-04-03,0.38643
2020-04-04,0.25695
2020-04-05,0.20417
2020-04-06,0.4163
2020-04-07,0.41033
2020-04-08,0.41381
2020-04-09,0.39489
2020-04-10,0.38095
2020-04-11,0.24102
2020-04-12,0.27339
2020-04-13,0.43025
2020-04-14,0.4173
2020-04-15,0.2953
2020-04-16,0.43423
2020-04-17,0.42875
2020-04-18,0.29928
2020-04-19,0.29131
2020-04-20,0.52984
2020-04-21,0.59159
2020-04-22,0.63093
2020-04-23,0.60155
2020-04-24,0.49349
2020-04-25,0.29779
2020-04-26,0.30227
2020-04-27,0.55723
2020-04-28,0.53383
2020-04-29,0.45963
2020-04-30,0.31472
2020-05-01,0.34958
2020-05-02,0.25147
2020-05-03,0.27737
2020-05-04,0.40137
2020-05-05,0.30376
2020-05-06,0.48752
2020-05-07,0.4417
2020-05-08,0.38344
2020-05-09,0.25994
2020-05-10,0.24849
2020-05-11,0.42676
2020-05-12,0.42328
2020-05-13,0.43025
2020-05-14,0.44917
2020-05-15,0.39489
2020-05-16,0.27438
2020-05-17,0.2699
2020-05-18,0.44369
2020-05-19,0.41381
2020-05-20,0.53034
2020-05-21,0.44718
2020-05-22,0.44469
2020-05-23,0.30177
2020-05-24,0.31721
2020-05-25,0.5408
2020-05-26,0.46909
2020-05-27,0.45664
2020-05-28,0.44967
2020-05-29,0.37497
2020-05-30,0.27986
2020-05-31,0.23305
2020-06-01,0.42128
2020-06-02,0.4432
2020-06-03,0.41332
2020-06-04,0.42875
2020-06-05,0.38892
2020-06-06,0.29729
2020-06-07,0.29131
2020-06-08,0.4427
2020-06-09,0.45216
2020-06-10,0.47307
2020-06-11,0.43672
2020-06-12,0.38443
2020-06-13,0.33115
2020-06-14,0.31223
2020-06-15,0.50743
2020-06-16,0.47208
2020-06-17,0.5149
2020-06-18,0.48851
2020-06-19,0.44967
2020-06-20,0.33115
2020-06-21,0.34709
2020-06-22,0.52387
2020-06-23,0.5164
2020-06-24,0.50345
2020-06-25,0.4905
2020-06-26,0.43672
2020-06-27,0.32766
2020-06-28,0.29928
2020-06-29,0.49698
2020-06-30,0.45963
2020-07-01,0.47158
2020-07-02,0.4676
2020-07-03,0.5154
2020-07-04,0.38344
2020-07-05,0.40933
2020-07-06,1.0338
2020-07-07,1.30071
2020-07-08,1.24693
2020-07-09,1.73744
2020-07-10,100.0
2020-07-11,12.20146
2020-07-12,4.67651
2020-07-13,6.28
2020-07-14,7.74206
2020-07-15,6.38706
2020-07-16,3.92357
2020-07-17,3.36732
2020-07-18,2.4615
2020-07-19,2.00984
2020-07-20,2.91914
2020-07-21,2.56608
2020-07-22,3.32002
2020-07-23,2.26878
2020-07-24,1.82907
2020-07-25,1.24693
2020-07-26,1.30121
2020-07-27,2.56906
2020-07-28,4.6546
2020-07-29,4.7029
2020-07-30,4.25721
2020-07-31,2.90769
2020-08-01,1.56215
2020-08-02,1.23349
2020-08-03,2.03523
2020-08-04,3.48684
2020-08-05,3.04961
2020-08-06,2.46399
2020-08-07,1.72798
2020-08-08,1.05919
2020-08-09,1.04077
2020-08-10,1.9685
2020-08-11,3.25627
2020-08-12,2.45204
2020-08-13,1.62838
2020-08-14,1.27183
2020-08-15,0.87245
2020-08-16,0.63193
2020-08-17,0.82365
2020-08-18,1.13638
2020-08-19,1.17522
2020-08-20,1.09107
2020-08-21,1.26486
2020-08-22,0.74995
2020-08-23,0.69816
2020-08-24,1.11796
2020-08-25,1.03828
2020-08-26,0.95512
2020-08-27,0.98101
2020-08-28,0.89885
2020-08-29,0.65633
2020-08-30,0.64936
2020-08-31,1.01189
2020-09-01,0.88191
2020-09-02,0.90632
2020-09-03,0.85751
2020-09-04,0.86249
2020-09-05,0.5896
2020-09-06,0.60554
2020-09-07,0.87494
2020-09-08,0.95761
2020-09-09,0.85303
2020-09-10,0.88191
2020-09-11,0.82266
2020-09-12,0.66181
2020-09-13,0.59956
2020-09-14,0.90233
2020-09-15,0.95711
2020-09-16,0.89785
2020-09-17,0.92823
2020-09-18,0.84257
2020-09-19,0.92922
2020-09-20,0.7614
2020-09-21,0.93769
2020-09-22,0.8605
2020-09-23,0.80373
2020-09-24,0.72953
2020-09-25,0.6648
2020-09-26,0.47307
2020-09-27,0.48154
2020-09-28,0.69119
2020-09-29,0.6135
2020-09-30,0.38643
2020-10-01,0.35754
2020-10-02,0.38394
2020-10-03,0.55175
2020-10-04,0.58711
2020-10-05,0.93669
2020-10-06,0.80323
2020-10-07,0.83959
2020-10-08,0.82266
2020-10-09,0.57466
2020-10-10,0.59458
2020-10-11,0.57516
2020-10-12,0.92723
2020-10-13,0.85004
2020-10-14,0.84158
2020-10-15,0.78232
2020-10-16,0.80473
2020-10-17,0.615
2020-10-18,0.55624
2020-10-19,0.9347
2020-10-20,0.92922
2020-10-21,0.86797
2020-10-22,0.85204
2020-10-23,0.82216
2020-10-24,0.56271
2020-10-25,0.62695
2020-10-26,0.97105
2020-10-27,1.26088
2020-10-28,0.92175
2020-10-29,0.99645
2020-10-30,0.79477
2020-10-31,0.5662
2020-11-01,0.57765
2020-11-02,0.89885
2020-11-03,0.92374
2020-11-04,0.80772
2020-11-05,0.75891
2020-11-06,0.79228
2020-11-07,0.60554
2020-11-08,0.54229
2020-11-09,0.95512
2020-11-10,0.87295
2020-11-11,0.87195
2020-11-12,0.89088
2020-11-13,0.83162
2020-11-14,0.61649
