date,보험증권
2020-03-20,62.96296
2020-03-21,24.07407
2020-03-22,22.22222
2020-03-23,78.83597
2020-03-24,75.13227
2020-03-25,69.31216
2020-03-26,67.72486
2020-03-27,57.9365
2020-03-28,26.45502
2020-03-29,20.10582
2020-03-30,60.84656
2020-03-31,58.9947
2020-04-01,54.2328
2020-04-02,55.8201
2020-04-03,62.69841
2020-04-04,20.89947
2020-04-05,20.89947
2020-04-06,69.57671
2020-04-07,64.81481
2020-04-08,62.69841
2020-04-09,71.16402
2020-04-10,62.69841
2020-04-11,15.07936
2020-04-12,17.98941
2020-04-13,56.08465
2020-04-14,56.08465
2020-04-15,28.83597
2020-04-16,57.4074
2020-04-17,55.55555
2020-04-18,22.22222
2020-04-19,21.95767
2020-04-20,62.16931
2020-04-21,66.13756
2020-04-22,58.20105
2020-04-23,56.61375
2020-04-24,55.02645
2020-04-25,20.63492
2020-04-26,31.48148
2020-04-27,62.43386
2020-04-28,65.07936
2020-04-29,50.26455
2020-04-30,20.10582
2020-05-01,19.57671
2020-05-02,14.81481
2020-05-03,16.13756
2020-05-04,50.26455
2020-05-05,17.98941
2020-05-06,56.61375
2020-05-07,52.38095
2020-05-08,55.02645
2020-05-09,19.57671
2020-05-10,12.69841
2020-05-11,61.90476
2020-05-12,52.6455
2020-05-13,53.7037
2020-05-14,57.9365
2020-05-15,42.32804
2020-05-16,18.51851
2020-05-17,20.10582
2020-05-18,52.1164
2020-05-19,57.14285
2020-05-20,54.49735
2020-05-21,53.43915
2020-05-22,48.41269
2020-05-23,18.78306
2020-05-24,16.40211
2020-05-25,51.85185
2020-05-26,61.90476
2020-05-27,50.5291
2020-05-28,53.96825
2020-05-29,43.12169
2020-05-30,16.66666
2020-05-31,11.90476
2020-06-01,48.94179
2020-06-02,47.61904
2020-06-03,46.29629
2020-06-04,42.06349
2020-06-05,39.68253
2020-06-06,16.66666
2020-06-07,15.87301
2020-06-08,52.91005
2020-06-09,45.76719
2020-06-10,47.88359
2020-06-11,44.70899
2020-06-12,40.47619
2020-06-13,13.22751
2020-06-14,16.93121
2020-06-15,55.8201
2020-06-16,56.8783
2020-06-17,53.7037
2020-06-18,57.9365
2020-06-19,44.70899
2020-06-20,22.75132
2020-06-21,17.98941
2020-06-22,52.91005
2020-06-23,55.02645
2020-06-24,48.94179
2020-06-25,55.291
2020-06-26,45.76719
2020-06-27,21.42857
2020-06-28,11.37566
2020-06-29,48.67724
2020-06-30,49.73544
2020-07-01,46.29629
2020-07-02,52.6455
2020-07-03,38.35978
2020-07-04,15.87301
2020-07-05,14.28571
2020-07-06,48.67724
2020-07-07,46.29629
2020-07-08,41.00529
2020-07-09,44.97354
2020-07-10,59.5238
2020-07-11,19.84126
2020-07-12,12.96296
2020-07-13,43.38624
2020-07-14,52.38095
2020-07-15,45.76719
2020-07-16,40.74074
2020-07-17,47.35449
2020-07-18,17.98941
2020-07-19,15.87301
2020-07-20,52.38095
2020-07-21,51.32275
2020-07-22,44.44444
2020-07-23,46.82539
2020-07-24,43.38624
2020-07-25,13.49206
2020-07-26,20.10582
2020-07-27,45.76719
2020-07-28,44.17989
2020-07-29,50.26455
2020-07-30,44.97354
2020-07-31,32.53968
2020-08-01,13.49206
2020-08-02,10.58201
2020-08-03,38.62433
2020-08-04,42.32804
2020-08-05,34.12698
2020-08-06,37.03703
2020-08-07,30.68783
2020-08-08,12.16931
2020-08-09,12.69841
2020-08-10,50.5291
2020-08-11,42.06349
2020-08-12,51.85185
2020-08-13,52.6455
2020-08-14,45.23809
2020-08-15,12.16931
2020-08-16,12.43386
2020-08-17,20.10582
2020-08-18,50.79365
2020-08-19,51.5873
2020-08-20,47.61904
2020-08-21,40.47619
2020-08-22,11.11111
2020-08-23,15.60846
2020-08-24,47.88359
2020-08-25,50.79365
2020-08-26,40.47619
2020-08-27,50.5291
2020-08-28,44.44444
2020-08-29,25.13227
2020-08-30,12.16931
2020-08-31,43.12169
2020-09-01,49.73544
2020-09-02,49.73544
2020-09-03,45.23809
2020-09-04,95.76719
2020-09-05,37.30158
2020-09-06,23.01587
2020-09-07,59.5238
2020-09-08,60.31746
2020-09-09,57.14285
2020-09-10,61.90476
2020-09-11,42.59259
2020-09-12,18.25396
2020-09-13,21.42857
2020-09-14,40.47619
2020-09-15,46.03174
2020-09-16,40.21164
2020-09-17,45.50264
2020-09-18,37.30158
2020-09-19,18.78306
2020-09-20,13.75661
2020-09-21,62.43386
2020-09-22,67.72486
2020-09-23,70.63492
2020-09-24,67.72486
2020-09-25,65.87301
2020-09-26,16.66666
2020-09-27,15.87301
2020-09-28,66.93121
2020-09-29,47.35449
2020-09-30,11.90476
2020-10-01,10.31746
2020-10-02,8.73015
2020-10-03,10.84656
2020-10-04,13.22751
2020-10-05,67.72486
2020-10-06,83.59788
2020-10-07,79.89417
2020-10-08,58.20105
2020-10-09,21.69312
2020-10-10,14.55026
2020-10-11,16.93121
2020-10-12,66.40211
2020-10-13,58.73015
2020-10-14,50.5291
2020-10-15,55.291
2020-10-16,44.70899
2020-10-17,21.95767
2020-10-18,19.57671
2020-10-19,56.08465
2020-10-20,56.8783
2020-10-21,54.7619
2020-10-22,52.91005
2020-10-23,46.29629
2020-10-24,19.04761
2020-10-25,20.63492
2020-10-26,59.5238
2020-10-27,56.3492
2020-10-28,48.94179
2020-10-29,53.1746
2020-10-30,39.41798
2020-10-31,15.60846
2020-11-01,14.02116
2020-11-02,47.08994
2020-11-03,42.06349
2020-11-04,34.92063
2020-11-05,46.03174
2020-11-06,44.44444
2020-11-07,16.93121
2020-11-08,15.60846
2020-11-09,48.67724
2020-11-10,43.65079
2020-11-11,43.91534
2020-11-12,48.67724
2020-11-13,47.35449
2020-11-14,16.93121
2020-11-15,16.66666
2020-11-16,47.88359
2020-11-17,55.8201
2020-11-18,55.291
2020-11-19,46.29629
2020-11-20,42.59259
2020-11-21,15.60846
2020-11-22,20.63492
2020-11-23,38.09523
2020-11-24,48.67724
2020-11-25,49.73544
2020-11-26,42.59259
2020-11-27,37.83068
2020-11-28,20.10582
2020-11-29,18.78306
2020-11-30,51.5873
2020-12-01,53.96825
2020-12-02,45.76719
2020-12-03,53.43915
2020-12-04,47.88359
2020-12-05,14.28571
2020-12-06,74.07407
2020-12-07,100.0
2020-12-08,94.44444
2020-12-09,70.89947
2020-12-10,60.84656
2020-12-11,56.3492
2020-12-12,14.28571
2020-12-13,24.60317
2020-12-14,58.9947
2020-12-15,67.72486
2020-12-16,53.7037
2020-12-17,59.25925
2020-12-18,45.23809
2020-12-19,17.19576
2020-12-20,16.93121
2020-12-21,50.26455
2020-12-22,57.67195
2020-12-23,53.1746
2020-12-24,43.12169
2020-12-25,16.40211
2020-12-26,17.98941
2020-12-27,17.98941
2020-12-28,62.69841
2020-12-29,57.4074
2020-12-30,51.5873
2020-12-31,32.53968
2021-01-01,11.11111
2021-01-02,16.66666
2021-01-03,17.72486
2021-01-04,47.61904
2021-01-05,57.4074
2021-01-06,55.8201
2021-01-07,52.6455
2021-01-08,47.35449
2021-01-09,15.87301
2021-01-10,19.04761
2021-01-11,61.37566
2021-01-12,56.3492
2021-01-13,56.3492
2021-01-14,54.7619
2021-01-15,50.5291
2021-01-16,20.63492
2021-01-17,20.37037
2021-01-18,57.67195
2021-01-19,56.08465
2021-01-20,60.84656
2021-01-21,57.67195
2021-01-22,54.49735
