date,하나은행환전
2020-03-20,11.19157
2020-03-21,3.88413
2020-03-22,4.41079
2020-03-23,9.74325
2020-03-24,7.50493
2020-03-25,6.58327
2020-03-26,6.38578
2020-03-27,5.72745
2020-03-28,2.56747
2020-03-29,1.97498
2020-03-30,6.51744
2020-03-31,5.39828
2020-04-01,4.93745
2020-04-02,7.10994
2020-04-03,3.94996
2020-04-04,2.43581
2020-04-05,1.57998
2020-04-06,4.73996
2020-04-07,5.13495
2020-04-08,5.39828
2020-04-09,5.20078
2020-04-10,4.93745
2020-04-11,2.8308
2020-04-12,1.44832
2020-04-13,5.26662
2020-04-14,4.67412
2020-04-15,2.04081
2020-04-16,5.20078
2020-04-17,4.54246
2020-04-18,1.05332
2020-04-19,1.44832
2020-04-20,5.26662
2020-04-21,4.21329
2020-04-22,5.20078
2020-04-23,4.27913
2020-04-24,5.26662
2020-04-25,1.38248
2020-04-26,1.90915
2020-04-27,6.05661
2020-04-28,5.99078
2020-04-29,4.14746
2020-04-30,2.89664
2020-05-01,1.71165
2020-05-02,1.38248
2020-05-03,2.69914
2020-05-04,6.64911
2020-05-05,3.29163
2020-05-06,4.47662
2020-05-07,3.94996
2020-05-08,4.01579
2020-05-09,0.78999
2020-05-10,0.98749
2020-05-11,4.08163
2020-05-12,3.88413
2020-05-13,4.21329
2020-05-14,4.67412
2020-05-15,2.63331
2020-05-16,0.78999
2020-05-17,1.77748
2020-05-18,4.54246
2020-05-19,3.55497
2020-05-20,3.55497
2020-05-21,4.27913
2020-05-22,3.2258
2020-05-23,0.85582
2020-05-24,1.44832
2020-05-25,4.08163
2020-05-26,4.14746
2020-05-27,3.48913
2020-05-28,4.73996
2020-05-29,4.60829
2020-05-30,1.71165
2020-05-31,1.51415
2020-06-01,3.94996
2020-06-02,3.09414
2020-06-03,4.08163
2020-06-04,4.01579
2020-06-05,3.35747
2020-06-06,1.25082
2020-06-07,0.78999
2020-06-08,3.68663
2020-06-09,2.69914
2020-06-10,4.08163
2020-06-11,4.14746
2020-06-12,4.08163
2020-06-13,1.11915
2020-06-14,1.51415
2020-06-15,5.13495
2020-06-16,2.96247
2020-06-17,2.50164
2020-06-18,2.30414
2020-06-19,2.8308
2020-06-20,1.64581
2020-06-21,0.98749
2020-06-22,3.6208
2020-06-23,3.35747
2020-06-24,3.48913
2020-06-25,3.8183
2020-06-26,3.0283
2020-06-27,1.97498
2020-06-28,0.59249
2020-06-29,3.09414
2020-06-30,2.30414
2020-07-01,2.8308
2020-07-02,2.50164
2020-07-03,2.96247
2020-07-04,1.25082
2020-07-05,1.05332
2020-07-06,3.6208
2020-07-07,2.50164
2020-07-08,3.48913
2020-07-09,4.08163
2020-07-10,3.0283
2020-07-11,1.44832
2020-07-12,1.97498
2020-07-13,3.68663
2020-07-14,5.52995
2020-07-15,3.88413
2020-07-16,3.2258
2020-07-17,4.08163
2020-07-18,1.44832
2020-07-19,1.25082
2020-07-20,2.96247
2020-07-21,4.41079
2020-07-22,4.27913
2020-07-23,4.14746
2020-07-24,3.75246
2020-07-25,0.92165
2020-07-26,0.92165
2020-07-27,5.33245
2020-07-28,4.27913
2020-07-29,4.08163
