date,목돈
2020-03-20,47.18826
2020-03-21,24.44987
2020-03-22,33.98533
2020-03-23,57.45721
2020-03-24,63.81418
2020-03-25,60.88019
2020-03-26,58.4352
2020-03-27,47.18826
2020-03-28,31.54034
2020-03-29,31.05134
2020-03-30,55.25672
2020-03-31,59.4132
2020-04-01,56.47921
2020-04-02,55.99022
2020-04-03,43.27628
2020-04-04,30.56234
2020-04-05,31.78484
2020-04-06,47.43276
2020-04-07,62.10268
2020-04-08,47.43276
2020-04-09,48.16625
2020-04-10,53.78973
2020-04-11,31.54034
2020-04-12,34.71882
2020-04-13,61.12469
2020-04-14,55.74572
2020-04-15,37.40831
2020-04-16,43.52078
2020-04-17,47.92176
2020-04-18,26.89486
2020-04-19,31.78484
2020-04-20,54.76772
2020-04-21,48.41075
2020-04-22,54.27872
2020-04-23,49.38875
2020-04-24,46.21026
2020-04-25,26.40586
2020-04-26,23.71638
2020-04-27,46.69926
2020-04-28,57.70171
2020-04-29,50.85574
2020-04-30,28.11735
2020-05-01,33.74083
2020-05-02,30.31784
2020-05-03,34.47432
2020-05-04,51.58924
2020-05-05,44.25427
2020-05-06,54.76772
2020-05-07,48.41075
2020-05-08,54.76772
2020-05-09,30.80684
2020-05-10,32.02933
2020-05-11,52.56723
2020-05-12,57.70171
2020-05-13,68.21515
2020-05-14,43.03178
2020-05-15,42.05378
2020-05-16,30.07334
2020-05-17,30.31784
2020-05-18,52.56723
2020-05-19,59.1687
2020-05-20,49.87775
2020-05-21,60.39119
2020-05-22,55.99022
2020-05-23,33.49633
2020-05-24,38.6308
2020-05-25,59.6577
2020-05-26,62.83618
2020-05-27,43.03178
2020-05-28,40.83129
2020-05-29,41.32029
2020-05-30,25.91687
2020-05-31,31.29584
2020-06-01,51.83374
2020-06-02,49.38875
2020-06-03,50.12224
2020-06-04,49.87775
2020-06-05,46.45476
2020-06-06,23.47188
2020-06-07,31.29584
2020-06-08,44.98777
2020-06-09,47.92176
2020-06-10,49.38875
2020-06-11,38.1418
2020-06-12,46.21026
2020-06-13,25.42787
2020-06-14,27.13936
2020-06-15,47.43276
2020-06-16,48.89975
2020-06-17,49.38875
2020-06-18,44.00977
2020-06-19,41.07579
2020-06-20,32.51833
2020-06-21,31.54034
2020-06-22,42.05378
2020-06-23,51.83374
2020-06-24,48.41075
2020-06-25,49.87775
2020-06-26,46.94376
2020-06-27,22.24938
2020-06-28,27.87286
2020-06-29,47.67726
2020-06-30,47.18826
2020-07-01,54.27872
2020-07-02,44.98777
2020-07-03,49.38875
2020-07-04,25.42787
2020-07-05,33.00733
2020-07-06,49.38875
2020-07-07,50.61124
2020-07-08,44.98777
2020-07-09,43.03178
2020-07-10,46.69926
2020-07-11,31.05134
2020-07-12,30.80684
2020-07-13,45.96577
2020-07-14,49.63325
2020-07-15,51.34474
2020-07-16,57.21271
2020-07-17,40.09779
2020-07-18,30.80684
2020-07-19,35.94132
2020-07-20,50.85574
2020-07-21,55.74572
2020-07-22,51.34474
2020-07-23,52.56723
2020-07-24,51.10024
2020-07-25,37.16381
2020-07-26,36.67481
2020-07-27,53.30073
2020-07-28,51.34474
2020-07-29,52.07823
2020-07-30,50.12224
2020-07-31,46.45476
2020-08-01,34.22982
2020-08-02,37.89731
2020-08-03,52.07823
2020-08-04,48.16625
2020-08-05,45.72127
2020-08-06,44.00977
2020-08-07,42.29828
2020-08-08,26.89486
2020-08-09,31.78484
2020-08-10,48.89975
2020-08-11,56.96821
2020-08-12,45.23227
2020-08-13,41.80929
2020-08-14,42.54278
2020-08-15,23.22738
2020-08-16,29.33985
2020-08-17,30.56234
2020-08-18,47.18826
2020-08-19,51.58924
2020-08-20,53.30073
2020-08-21,48.16625
2020-08-22,30.56234
2020-08-23,34.71882
2020-08-24,50.61124
2020-08-25,55.01222
2020-08-26,63.08068
2020-08-27,56.47921
2020-08-28,48.41075
2020-08-29,29.58435
2020-08-30,27.62836
2020-08-31,59.1687
2020-09-01,60.88019
2020-09-02,57.94621
2020-09-03,57.94621
2020-09-04,50.85574
2020-09-05,36.67481
2020-09-06,31.78484
2020-09-07,55.25672
2020-09-08,56.47921
2020-09-09,50.36674
2020-09-10,55.99022
2020-09-11,50.36674
2020-09-12,29.33985
2020-09-13,37.16381
2020-09-14,61.36919
2020-09-15,53.78973
2020-09-16,50.12224
2020-09-17,53.05623
2020-09-18,48.89975
