date,재택
2020-11-08,3.13043
2020-11-09,7.86956
2020-11-10,6.43478
2020-11-11,7.30434
2020-11-12,7.65217
2020-11-13,7.0
2020-11-14,2.3913
2020-11-15,3.69565
2020-11-16,10.21739
2020-11-17,12.95652
2020-11-18,17.17391
2020-11-19,19.21739
2020-11-20,22.65217
2020-11-21,6.7826
2020-11-22,23.3913
2020-11-23,48.82608
2020-11-24,28.56521
2020-11-25,26.34782
2020-11-26,34.08695
2020-11-27,25.34782
2020-11-28,6.34782
2020-11-29,12.21739
2020-11-30,29.13043
2020-12-01,23.73913
2020-12-02,21.04347
2020-12-03,18.52173
2020-12-04,40.86956
2020-12-05,7.60869
2020-12-06,22.73913
2020-12-07,44.65217
2020-12-08,36.86956
2020-12-09,28.69565
2020-12-10,35.47826
2020-12-11,33.86956
2020-12-12,16.52173
2020-12-13,29.69565
2020-12-14,48.26086
2020-12-15,34.17391
2020-12-16,38.47826
2020-12-17,39.95652
2020-12-18,30.08695
2020-12-19,8.47826
2020-12-20,12.17391
2020-12-21,45.04347
2020-12-22,32.26086
2020-12-23,24.52173
2020-12-24,17.21739
2020-12-25,5.95652
2020-12-26,6.04347
2020-12-27,10.69565
2020-12-28,25.26086
2020-12-29,22.13043
2020-12-30,18.95652
2020-12-31,14.3913
2021-01-01,5.17391
2021-01-02,8.21739
2021-01-03,9.7826
2021-01-04,23.30434
2021-01-05,22.04347
2021-01-06,23.34782
2021-01-07,28.86956
2021-01-08,18.56521
2021-01-09,4.91304
2021-01-10,6.86956
2021-01-11,19.34782
2021-01-12,18.7826
2021-01-13,17.43478
2021-01-14,14.60869
2021-01-15,13.56521
2021-01-16,7.56521
2021-01-17,8.30434
2021-01-18,19.08695
2021-01-19,15.08695
2021-01-20,13.43478
2021-01-21,13.17391
2021-01-22,11.56521
2021-01-23,4.3913
2021-01-24,5.56521
2021-01-25,12.30434
2021-01-26,13.30434
2021-01-27,11.73913
2021-01-28,15.17391
2021-01-29,11.08695
2021-01-30,4.26086
2021-01-31,5.60869
2021-02-01,13.7826
2021-02-02,12.60869
2021-02-03,13.0
2021-02-04,13.56521
2021-02-05,11.04347
2021-02-06,3.3913
2021-02-07,3.95652
2021-02-08,11.3913
2021-02-09,11.21739
2021-02-10,8.13043
2021-02-11,2.7826
2021-02-12,2.3913
2021-02-13,4.56521
2021-02-14,6.0
2021-02-15,12.08695
2021-02-16,12.73913
2021-02-17,11.08695
2021-02-18,10.95652
2021-02-19,10.60869
2021-02-20,3.69565
2021-02-21,4.13043
2021-02-22,12.0
2021-02-23,10.65217
2021-02-24,8.91304
2021-02-25,9.86956
2021-02-26,9.91304
2021-02-27,2.47826
2021-02-28,2.69565
2021-03-01,4.91304
2021-03-02,11.43478
2021-03-03,10.82608
2021-03-04,10.52173
2021-03-05,9.30434
2021-03-06,2.91304
2021-03-07,3.0
