date,비갱신형암보험
2020-03-20,19.25925
2020-03-21,14.32098
2020-03-22,12.09876
2020-03-23,26.17283
2020-03-24,25.92592
2020-03-25,24.69135
2020-03-26,24.93827
2020-03-27,21.48148
2020-03-28,9.87654
2020-03-29,8.14814
2020-03-30,25.67901
2020-03-31,24.44444
2020-04-01,20.24691
2020-04-02,13.08641
2020-04-03,16.04938
2020-04-04,11.35802
2020-04-05,10.12345
2020-04-06,16.04938
2020-04-07,11.35802
2020-04-08,20.0
2020-04-09,12.09876
2020-04-10,14.5679
2020-04-11,8.14814
2020-04-12,5.43209
2020-04-13,15.30864
2020-04-14,17.03703
2020-04-15,7.4074
2020-04-16,16.04938
2020-04-17,23.7037
2020-04-18,11.11111
2020-04-19,14.07407
2020-04-20,24.19753
2020-04-21,19.50617
2020-04-22,14.81481
2020-04-23,17.28395
2020-04-24,21.23456
2020-04-25,8.39506
2020-04-26,7.65432
2020-04-27,21.9753
2020-04-28,20.98765
2020-04-29,13.08641
2020-04-30,8.64197
2020-05-01,4.69135
2020-05-02,5.67901
2020-05-03,7.90123
2020-05-04,13.58024
2020-05-05,10.37037
2020-05-06,21.48148
2020-05-07,13.58024
2020-05-08,11.11111
2020-05-09,6.17283
2020-05-10,2.96296
2020-05-11,11.60493
2020-05-12,14.32098
2020-05-13,13.58024
2020-05-14,14.07407
2020-05-15,22.46913
2020-05-16,11.60493
2020-05-17,5.92592
2020-05-18,29.38271
2020-05-19,18.2716
2020-05-20,20.0
2020-05-21,18.76543
2020-05-22,17.28395
2020-05-23,12.09876
2020-05-24,11.11111
2020-05-25,29.38271
2020-05-26,25.18518
2020-05-27,28.64197
2020-05-28,16.29629
2020-05-29,14.5679
2020-05-30,11.35802
2020-05-31,9.38271
2020-06-01,24.19753
2020-06-02,32.34567
2020-06-03,24.69135
2020-06-04,23.95061
2020-06-05,19.50617
2020-06-06,12.59259
2020-06-07,12.34567
2020-06-08,21.48148
2020-06-09,22.71604
2020-06-10,28.39506
2020-06-11,29.62962
2020-06-12,16.79012
2020-06-13,12.34567
2020-06-14,8.39506
2020-06-15,20.49382
