date,알바종류
2020-03-20,80.50847
2020-03-21,62.28813
2020-03-22,66.94915
2020-03-23,90.25423
2020-03-24,93.64406
2020-03-25,77.11864
2020-03-26,78.81355
2020-03-27,64.8305
2020-03-28,53.81355
2020-03-29,61.8644
2020-03-30,88.98305
2020-03-31,92.79661
2020-04-01,86.01694
2020-04-02,94.49152
2020-04-03,68.22033
2020-04-04,58.05084
2020-04-05,65.67796
2020-04-06,92.79661
2020-04-07,81.35593
2020-04-08,68.22033
2020-04-09,75.42372
2020-04-10,67.79661
2020-04-11,60.59322
2020-04-12,71.18644
2020-04-13,100.0
2020-04-14,69.91525
2020-04-15,63.55932
2020-04-16,70.76271
2020-04-17,76.27118
2020-04-18,61.8644
2020-04-19,63.98305
2020-04-20,83.05084
2020-04-21,83.47457
2020-04-22,77.9661
2020-04-23,65.25423
2020-04-24,69.91525
2020-04-25,57.20338
2020-04-26,67.37288
2020-04-27,99.15254
2020-04-28,78.81355
2020-04-29,59.74576
2020-04-30,58.05084
2020-05-01,52.54237
2020-05-02,50.42372
2020-05-03,55.50847
2020-05-04,73.30508
2020-05-05,66.52542
2020-05-06,77.9661
2020-05-07,66.52542
2020-05-08,64.8305
2020-05-09,53.81355
2020-05-10,57.62711
2020-05-11,76.69491
2020-05-12,73.30508
2020-05-13,69.06779
2020-05-14,64.40677
2020-05-15,49.57627
2020-05-16,50.0
2020-05-17,56.77966
2020-05-18,70.33898
2020-05-19,63.13559
2020-05-20,61.8644
2020-05-21,61.8644
2020-05-22,57.62711
2020-05-23,41.52542
2020-05-24,52.9661
2020-05-25,75.42372
2020-05-26,77.9661
2020-05-27,55.9322
2020-05-28,60.16949
2020-05-29,59.74576
2020-05-30,52.54237
2020-05-31,42.79661
2020-06-01,70.76271
2020-06-02,68.22033
2020-06-03,55.9322
2020-06-04,61.8644
2020-06-05,49.15254
2020-06-06,46.18644
2020-06-07,46.61016
2020-06-08,62.28813
2020-06-09,50.0
2020-06-10,58.05084
2020-06-11,55.50847
2020-06-12,54.66101
2020-06-13,43.64406
2020-06-14,50.84745
