date,워드프레스
2020-11-07,0.68302
2020-11-08,0.67927
2020-11-09,1.291
2020-11-10,1.40734
2020-11-11,1.32102
2020-11-12,1.37356
2020-11-13,1.0433
2020-11-14,0.73932
2020-11-15,0.65675
2020-11-16,1.20843
2020-11-17,1.23845
2020-11-18,1.20468
2020-11-19,1.34729
2020-11-20,1.1709
2020-11-21,0.60797
2020-11-22,0.70554
2020-11-23,1.33978
2020-11-24,1.28349
2020-11-25,1.2985
2020-11-26,1.34354
2020-11-27,1.15214
2020-11-28,0.67552
2020-11-29,0.61172
2020-11-30,1.19342
2020-12-01,1.23095
2020-12-02,1.18216
2020-12-03,1.27974
2020-12-04,1.15214
2020-12-05,0.64925
2020-12-06,0.67177
2020-12-07,1.38107
2020-12-08,1.33978
2020-12-09,1.2985
2020-12-10,1.15964
2020-12-11,1.15589
2020-12-12,0.67177
2020-12-13,0.67552
2020-12-14,1.21969
2020-12-15,1.37731
2020-12-16,1.28724
2020-12-17,1.22344
2020-12-18,1.05456
2020-12-19,0.70179
2020-12-20,0.75808
2020-12-21,1.28349
2020-12-22,1.17841
2020-12-23,1.08459
2020-12-24,1.02829
2020-12-25,0.52165
2020-12-26,0.78435
2020-12-27,0.66051
2020-12-28,1.33603
2020-12-29,1.26473
2020-12-30,1.34729
2020-12-31,0.96074
2021-01-01,0.68678
2021-01-02,0.82939
2021-01-03,0.70929
2021-01-04,1.32102
2021-01-05,1.58748
2021-01-06,1.32102
2021-01-07,1.18967
2021-01-08,1.2985
2021-01-09,0.64925
2021-01-10,0.74307
2021-01-11,1.28349
2021-01-12,1.39232
2021-01-13,1.45237
2021-01-14,1.38857
2021-01-15,1.25722
2021-01-16,0.66051
2021-01-17,0.76559
2021-01-18,1.28349
2021-01-19,1.25347
2021-01-20,1.34354
2021-01-21,1.24221
2021-01-22,1.32852
2021-01-23,0.7168
2021-01-24,0.77309
2021-01-25,1.28349
2021-01-26,1.38857
2021-01-27,1.28349
2021-01-28,1.36605
2021-01-29,1.13337
2021-01-30,0.66426
2021-01-31,0.76184
2021-02-01,1.28349
2021-02-02,1.39983
2021-02-03,1.30225
2021-02-04,1.35479
2021-02-05,1.24221
2021-02-06,0.67552
2021-02-07,0.80312
2021-02-08,1.24596
2021-02-09,1.25347
2021-02-10,0.96825
2021-02-11,0.54792
2021-02-12,0.54792
2021-02-13,0.55918
2021-02-14,0.56668
2021-02-15,1.32852
2021-02-16,1.41484
2021-02-17,1.39232
2021-02-18,1.6813
2021-02-19,1.18591
2021-02-20,0.69804
2021-02-21,0.63799
2021-02-22,1.32852
2021-02-23,1.44111
2021-02-24,1.26473
2021-02-25,1.30976
2021-02-26,1.05456
2021-02-27,0.57794
2021-02-28,0.64925
2021-03-01,0.75433
2021-03-02,1.32477
2021-03-03,1.35855
2021-03-04,1.14463
2021-03-05,1.25347
2021-03-06,0.653
2021-03-07,0.60797
2021-03-08,1.32852
2021-03-09,1.33978
2021-03-10,1.21218
2021-03-11,1.35479
2021-03-12,1.11461
2021-03-13,0.61922
2021-03-14,0.60421
2021-03-15,1.30601
2021-03-16,1.33228
2021-03-17,1.28724
2021-03-18,1.30225
2021-03-19,1.2985
2021-03-20,0.653
2021-03-21,0.66426
2021-03-22,1.42985
2021-03-23,1.24221
2021-03-24,1.24221
2021-03-25,1.09209
2021-03-26,0.99076
2021-03-27,0.5892
2021-03-28,0.62298
2021-03-29,1.11086
2021-03-30,1.20843
2021-03-31,1.11086
2021-04-01,1.1634
2021-04-02,0.972
2021-04-03,0.7168
2021-04-04,0.57419
2021-04-05,1.05456
2021-04-06,1.14088
2021-04-07,1.02079
2021-04-08,1.21969
2021-04-09,1.01703
2021-04-10,0.46911
2021-04-11,0.52916
2021-04-12,1.30225
2021-04-13,1.21218
2021-04-14,1.1709
2021-04-15,1.03204
2021-04-16,0.99076
2021-04-17,0.59671
2021-04-18,0.51414
2021-04-19,1.12962
2021-04-20,1.05456
2021-04-21,1.03204
2021-04-22,1.16715
2021-04-23,0.972
2021-04-24,0.51039
2021-04-25,0.52165
2021-04-26,1.0433
2021-04-27,1.11461
2021-04-28,1.18216
2021-04-29,1.15964
2021-04-30,1.06582
2021-05-01,0.55918
2021-05-02,0.61922
2021-05-03,1.17466
2021-05-04,1.12962
2021-05-05,0.53291
2021-05-06,1.02079
2021-05-07,0.94198
2021-05-08,0.55167
2021-05-09,0.53291
2021-05-10,1.09584
2021-05-11,1.10335
2021-05-12,1.21594
2021-05-13,0.99452
2021-05-14,1.02829
2021-05-15,0.653
2021-05-16,0.55918
2021-05-17,1.14088
2021-05-18,0.97575
2021-05-19,0.57419
2021-05-20,1.14088
2021-05-21,1.14088
2021-05-22,0.51414
2021-05-23,0.48412
2021-05-24,1.21218
2021-05-25,1.14088
2021-05-26,1.14839
2021-05-27,1.21218
2021-05-28,0.98326
2021-05-29,0.47286
2021-05-30,0.5892
2021-05-31,1.06582
2021-06-01,1.00202
2021-06-02,1.03955
2021-06-03,1.18591
2021-06-04,1.0996
2021-06-05,0.57794
2021-06-06,0.60421
2021-06-07,1.14839
2021-06-08,1.19342
2021-06-09,1.10335
2021-06-10,1.1071
2021-06-11,1.19717
2021-06-12,0.61547
2021-06-13,0.56668
2021-06-14,1.06957
2021-06-15,1.28724
2021-06-16,1.19717
2021-06-17,1.08834
2021-06-18,1.0358
2021-06-19,0.61172
2021-06-20,0.57419
2021-06-21,1.2272
2021-06-22,1.22344
2021-06-23,1.21218
2021-06-24,0.97575
2021-06-25,0.9157
2021-06-26,0.46536
2021-06-27,0.41657
2021-06-28,1.12587
2021-06-29,1.07708
2021-06-30,0.99452
2021-07-01,1.09584
2021-07-02,1.10335
2021-07-03,0.60046
2021-07-04,0.53291
2021-07-05,1.0433
2021-07-06,1.15214
2021-07-07,1.06582
2021-07-08,1.04706
2021-07-09,0.93072
2021-07-10,0.54417
2021-07-11,0.50288
2021-07-12,1.0433
2021-07-13,1.48615
2021-07-14,1.89897
2021-07-15,1.04706
2021-07-16,0.94573
2021-07-17,0.54041
2021-07-18,0.59295
2021-07-19,1.35479
2021-07-20,1.34354
2021-07-21,1.14839
2021-07-22,1.19342
2021-07-23,1.06207
2021-07-24,0.62298
2021-07-25,0.56293
2021-07-26,1.17841
2021-07-27,1.21969
2021-07-28,1.09209
2021-07-29,1.11836
2021-07-30,1.09209
2021-07-31,0.64925
2021-08-01,0.53666
2021-08-02,1.02079
2021-08-03,1.22344
2021-08-04,1.08083
2021-08-05,1.05081
2021-08-06,0.99076
2021-08-07,0.57044
2021-08-08,0.56293
2021-08-09,1.18591
2021-08-10,1.13713
2021-08-11,1.06957
2021-08-12,1.08083
2021-08-13,1.07333
2021-08-14,0.54041
2021-08-15,0.57044
2021-08-16,0.6455
2021-08-17,1.14088
2021-08-18,1.11836
2021-08-19,1.14088
2021-08-20,1.20468
2021-08-21,0.48037
2021-08-22,0.53291
2021-08-23,1.12587
2021-08-24,1.18216
2021-08-25,1.0996
2021-08-26,1.06957
2021-08-27,0.9795
2021-08-28,0.59671
2021-08-29,0.56668
2021-08-30,0.96074
2021-08-31,1.11086
