date,사망보험
2020-03-20,32.60869
2020-03-21,27.92642
2020-03-22,26.25418
2020-03-23,31.43812
2020-03-24,35.11705
2020-03-25,35.11705
2020-03-26,33.61204
2020-03-27,35.11705
2020-03-28,20.73578
2020-03-29,22.2408
2020-03-30,28.92976
2020-03-31,33.27759
2020-04-01,25.41806
2020-04-02,29.43143
2020-04-03,20.73578
2020-04-04,22.40802
2020-04-05,25.25083
2020-04-06,22.40802
2020-04-07,27.42474
2020-04-08,24.58193
2020-04-09,26.58862
2020-04-10,28.26086
2020-04-11,19.73244
2020-04-12,17.22408
2020-04-13,23.57859
2020-04-14,27.92642
2020-04-15,17.22408
2020-04-16,28.92976
2020-04-17,24.08026
2020-04-18,33.44481
2020-04-19,62.37458
2020-04-20,39.6321
2020-04-21,32.60869
2020-04-22,33.94648
2020-04-23,32.94314
2020-04-24,32.77591
2020-04-25,23.41137
2020-04-26,27.0903
2020-04-27,32.44147
2020-04-28,27.59197
2020-04-29,24.24749
2020-04-30,20.06688
2020-05-01,20.40133
2020-05-02,19.73244
2020-05-03,22.40802
2020-05-04,22.74247
2020-05-05,21.07023
2020-05-06,20.23411
2020-05-07,26.4214
2020-05-08,23.41137
2020-05-09,21.23745
2020-05-10,19.73244
2020-05-11,24.24749
2020-05-12,26.92307
2020-05-13,23.91304
2020-05-14,27.92642
2020-05-15,26.92307
2020-05-16,19.89966
2020-05-17,24.74916
2020-05-18,29.26421
2020-05-19,23.57859
2020-05-20,28.26086
2020-05-21,31.93979
2020-05-22,32.60869
2020-05-23,20.73578
2020-05-24,18.72909
2020-05-25,24.58193
2020-05-26,22.74247
2020-05-27,24.08026
2020-05-28,21.40468
2020-05-29,17.55852
2020-05-30,18.89632
2020-05-31,24.91638
2020-06-01,23.74581
2020-06-02,24.74916
2020-06-03,24.91638
2020-06-04,26.08695
2020-06-05,27.59197
2020-06-06,16.22073
2020-06-07,19.89966
2020-06-08,27.0903
2020-06-09,24.58193
2020-06-10,26.25418
2020-06-11,21.73913
2020-06-12,22.74247
2020-06-13,16.7224
2020-06-14,15.55183
2020-06-15,22.2408
2020-06-16,24.41471
2020-06-17,23.41137
2020-06-18,24.41471
2020-06-19,24.58193
2020-06-20,17.3913
2020-06-21,19.23076
2020-06-22,27.75919
2020-06-23,30.602
2020-06-24,24.08026
2020-06-25,27.42474
2020-06-26,23.57859
2020-06-27,17.89297
2020-06-28,16.38795
2020-06-29,26.25418
2020-06-30,23.41137
2020-07-01,21.07023
2020-07-02,22.40802
2020-07-03,21.90635
2020-07-04,15.05016
2020-07-05,17.3913
2020-07-06,23.41137
2020-07-07,28.76254
2020-07-08,24.74916
2020-07-09,21.73913
2020-07-10,24.41471
2020-07-11,18.56187
2020-07-12,24.41471
2020-07-13,29.26421
2020-07-14,24.24749
2020-07-15,25.08361
2020-07-16,22.57525
2020-07-17,25.41806
2020-07-18,16.7224
2020-07-19,17.3913
2020-07-20,24.41471
2020-07-21,28.76254
2020-07-22,23.91304
2020-07-23,30.10033
2020-07-24,33.11036
2020-07-25,20.06688
2020-07-26,16.55518
2020-07-27,27.75919
2020-07-28,26.4214
2020-07-29,22.74247
2020-07-30,27.42474
2020-07-31,24.74916
2020-08-01,15.05016
2020-08-02,16.7224
2020-08-03,20.23411
2020-08-04,25.41806
2020-08-05,27.59197
2020-08-06,23.57859
2020-08-07,26.25418
2020-08-08,17.72575
2020-08-09,18.72909
2020-08-10,57.02341
2020-08-11,56.02006
2020-08-12,39.46488
2020-08-13,30.93645
2020-08-14,26.92307
2020-08-15,22.40802
2020-08-16,18.72909
2020-08-17,21.90635
2020-08-18,27.75919
2020-08-19,28.76254
2020-08-20,26.4214
2020-08-21,27.25752
2020-08-22,21.07023
2020-08-23,21.5719
2020-08-24,32.44147
2020-08-25,33.77926
2020-08-26,33.11036
2020-08-27,29.93311
2020-08-28,26.4214
2020-08-29,22.40802
2020-08-30,24.08026
2020-08-31,31.2709
2020-09-01,23.74581
2020-09-02,27.59197
2020-09-03,22.90969
2020-09-04,27.0903
2020-09-05,21.5719
2020-09-06,29.76588
2020-09-07,32.94314
2020-09-08,29.43143
2020-09-09,37.12374
2020-09-10,32.60869
2020-09-11,31.77257
2020-09-12,23.07692
2020-09-13,21.40468
2020-09-14,31.43812
2020-09-15,28.92976
2020-09-16,29.26421
2020-09-17,29.93311
2020-09-18,22.2408
2020-09-19,15.88628
2020-09-20,18.39464
2020-09-21,22.90969
2020-09-22,29.59866
2020-09-23,25.7525
2020-09-24,30.93645
2020-09-25,27.42474
2020-09-26,17.22408
2020-09-27,19.73244
2020-09-28,26.25418
2020-09-29,23.41137
2020-09-30,18.56187
2020-10-01,14.71571
2020-10-02,16.55518
2020-10-03,20.40133
2020-10-04,21.73913
2020-10-05,25.91973
2020-10-06,26.92307
2020-10-07,29.76588
2020-10-08,25.41806
2020-10-09,18.0602
2020-10-10,17.22408
2020-10-11,16.7224
2020-10-12,26.58862
2020-10-13,24.74916
2020-10-14,27.75919
2020-10-15,26.08695
2020-10-16,27.59197
2020-10-17,17.55852
2020-10-18,27.92642
2020-10-19,33.61204
2020-10-20,37.95986
2020-10-21,33.44481
2020-10-22,31.2709
2020-10-23,33.44481
2020-10-24,17.89297
2020-10-25,19.23076
2020-10-26,30.93645
2020-10-27,35.28428
2020-10-28,27.0903
2020-10-29,27.92642
2020-10-30,24.24749
2020-10-31,17.89297
2020-11-01,15.88628
2020-11-02,24.24749
2020-11-03,26.75585
2020-11-04,21.23745
2020-11-05,23.07692
2020-11-06,22.74247
2020-11-07,15.21739
2020-11-08,17.89297
2020-11-09,23.74581
2020-11-10,27.92642
2020-11-11,23.74581
2020-11-12,29.59866
2020-11-13,24.08026
2020-11-14,17.55852
2020-11-15,18.22742
2020-11-16,23.41137
2020-11-17,22.07357
2020-11-18,27.42474
2020-11-19,24.58193
2020-11-20,24.41471
2020-11-21,16.22073
2020-11-22,16.22073
2020-11-23,20.90301
2020-11-24,24.08026
2020-11-25,24.74916
2020-11-26,25.58528
2020-11-27,30.10033
2020-11-28,16.05351
2020-11-29,18.22742
2020-11-30,23.41137
2020-12-01,24.74916
2020-12-02,26.75585
2020-12-03,25.41806
2020-12-04,22.2408
2020-12-05,15.55183
2020-12-06,16.55518
2020-12-07,27.59197
2020-12-08,28.92976
2020-12-09,29.09698
2020-12-10,27.0903
2020-12-11,29.26421
2020-12-12,16.88963
2020-12-13,18.72909
2020-12-14,28.26086
2020-12-15,29.09698
2020-12-16,26.4214
2020-12-17,29.43143
2020-12-18,24.41471
2020-12-19,18.39464
2020-12-20,21.5719
2020-12-21,24.41471
2020-12-22,24.58193
2020-12-23,31.93979
2020-12-24,24.08026
2020-12-25,14.88294
2020-12-26,13.87959
2020-12-27,18.89632
2020-12-28,27.92642
2020-12-29,32.60869
2020-12-30,36.95652
2020-12-31,30.43478
2021-01-01,22.74247
