date,한국전력주가
2020-03-20,25.0
2020-03-21,3.36697
2020-03-22,2.36883
2020-03-23,24.03278
2020-03-24,23.47747
2020-03-25,25.27132
2020-03-26,23.30174
2020-03-27,21.02288
2020-03-28,3.15329
2020-03-29,3.23201
2020-03-30,22.40341
2020-03-31,20.72766
2020-04-01,22.09413
2020-04-02,19.69437
2020-04-03,17.06826
2020-04-04,2.51925
2020-04-05,1.82477
2020-04-06,17.10341
2020-04-07,17.69386
2020-04-08,15.88877
2020-04-09,16.29224
2020-04-10,21.02851
2020-04-11,2.93819
2020-04-12,2.48973
2020-04-13,22.29516
2020-04-14,21.13675
2020-04-15,3.67626
2020-04-16,19.87291
2020-04-17,20.12455
2020-04-18,2.73997
2020-04-19,2.15655
2020-04-20,20.41275
2020-04-21,24.62042
2020-04-22,26.41567
2020-04-23,27.89883
2020-04-24,24.17758
2020-04-25,3.33886
2020-04-26,2.34353
2020-04-27,28.12095
2020-04-28,27.60642
2020-04-29,23.51824
2020-04-30,3.0113
2020-05-01,3.54692
2020-05-02,1.68559
2020-05-03,1.89506
2020-05-04,19.0533
2020-05-05,3.57644
2020-05-06,21.38699
2020-05-07,18.85508
2020-05-08,17.60107
2020-05-09,3.12376
2020-05-10,2.12
2020-05-11,18.70185
2020-05-12,18.21964
2020-05-13,18.40381
2020-05-14,22.72676
2020-05-15,24.48124
2020-05-16,3.20249
2020-05-17,2.42788
2020-05-18,19.7759
2020-05-19,20.09644
2020-05-20,17.88224
2020-05-21,18.02845
2020-05-22,16.58325
2020-05-23,2.45459
2020-05-24,2.25918
2020-05-25,17.14137
2020-05-26,16.82786
2020-05-27,17.15261
2020-05-28,17.11887
2020-05-29,15.19147
2020-05-30,2.27323
2020-05-31,1.93724
2020-06-01,16.23038
2020-06-02,16.12495
2020-06-03,19.62689
2020-06-04,18.94224
2020-06-05,16.98813
2020-06-06,2.31963
2020-06-07,1.79947
2020-06-08,16.72102
2020-06-09,17.28195
2020-06-10,16.23741
2020-06-11,15.89861
2020-06-12,15.20693
2020-06-13,1.84305
2020-06-14,1.38896
2020-06-15,16.05325
2020-06-16,16.69431
2020-06-17,15.39953
2020-06-18,14.12163
2020-06-19,13.03492
2020-06-20,1.64623
2020-06-21,1.3749
2020-06-22,12.85216
2020-06-23,13.96558
2020-06-24,14.35921
2020-06-25,14.14131
2020-06-26,13.97823
2020-06-27,2.04549
2020-06-28,1.50143
2020-06-29,13.16425
2020-06-30,14.37468
2020-07-01,13.05882
2020-07-02,13.68722
2020-07-03,13.2725
2020-07-04,1.91334
2020-07-05,1.65467
2020-07-06,14.49558
2020-07-07,14.53916
2020-07-08,14.42951
2020-07-09,14.34234
2020-07-10,13.70409
2020-07-11,2.38429
2020-07-12,2.18607
2020-07-13,24.49108
2020-07-14,19.21638
2020-07-15,17.93426
2020-07-16,16.34426
2020-07-17,15.5598
2020-07-18,2.07923
2020-07-19,1.86695
2020-07-20,17.12871
2020-07-21,17.28898
2020-07-22,17.2468
2020-07-23,16.4511
2020-07-24,16.09823
2020-07-25,2.14811
2020-07-26,2.01034
2020-07-27,15.26036
2020-07-28,16.61558
2020-07-29,16.03778
2020-07-30,15.62869
2020-07-31,14.51386
2020-08-01,2.27886
2020-08-02,2.12703
2020-08-03,14.16802
2020-08-04,14.98481
2020-08-05,15.09447
2020-08-06,16.46516
2020-08-07,18.58094
2020-08-08,2.64437
2020-08-09,2.31119
2020-08-10,18.24635
2020-08-11,35.18107
2020-08-12,29.09239
2020-08-13,29.25968
2020-08-14,34.2026
2020-08-15,3.9265
2020-08-16,2.91851
2020-08-17,5.91013
2020-08-18,26.84164
2020-08-19,23.2188
2020-08-20,23.34532
2020-08-21,20.954
2020-08-22,2.39273
2020-08-23,2.08907
2020-08-24,19.71264
2020-08-25,24.75538
2020-08-26,20.96384
2020-08-27,20.61519
2020-08-28,20.34667
2020-08-29,2.61626
2020-08-30,2.30697
2020-08-31,21.38137
2020-09-01,23.29893
2020-09-02,21.93527
2020-09-03,20.77686
2020-09-04,18.46707
2020-09-05,2.37727
2020-09-06,1.90772
2020-09-07,19.02519
2020-09-08,17.62076
2020-09-09,16.78288
2020-09-10,17.01484
2020-09-11,15.16757
2020-09-12,2.18888
2020-09-13,1.85148
2020-09-14,17.46893
2020-09-15,16.41595
2020-09-16,16.32457
2020-09-17,16.14041
2020-09-18,14.36906
2020-09-19,2.12
2020-09-20,1.77135
2020-09-21,16.95017
2020-09-22,15.24349
2020-09-23,15.10993
2020-09-24,14.98481
2020-09-25,13.53399
2020-09-26,1.72074
2020-09-27,1.46769
2020-09-28,13.76455
2020-09-29,12.15486
2020-09-30,1.64623
2020-10-01,1.46909
2020-10-02,1.52814
2020-10-03,1.254
2020-10-04,1.36928
2020-10-05,15.46139
2020-10-06,14.25097
2020-10-07,16.58044
2020-10-08,18.75246
2020-10-09,2.80323
2020-10-10,2.05111
2020-10-11,2.2887
2020-10-12,17.88224
2020-10-13,15.34752
2020-10-14,16.01107
2020-10-15,16.26834
2020-10-16,19.74216
2020-10-17,2.5544
2020-10-18,2.09188
2020-10-19,18.85086
2020-10-20,17.12731
2020-10-21,18.88039
2020-10-22,16.78569
2020-10-23,14.62914
2020-10-24,1.77978
2020-10-25,1.29477
2020-10-26,14.5715
2020-10-27,13.88966
2020-10-28,13.94028
2020-10-29,12.8859
2020-10-30,12.82685
2020-10-31,1.73199
2020-11-01,1.43254
2020-11-02,13.62115
2020-11-03,13.33014
2020-11-04,12.66237
2020-11-05,13.32311
2020-11-06,12.25749
