date,실시간나스닥선물지수
2020-03-20,69.91809
2020-03-21,18.08839
2020-03-22,9.09287
2020-03-23,100.0
2020-03-24,66.7362
2020-03-25,87.39143
2020-03-26,75.71318
2020-03-27,63.58059
2020-03-28,12.99644
2020-03-29,6.6883
2020-03-30,61.02766
2020-03-31,50.33688
2020-04-01,58.71271
2020-04-02,59.82382
2020-04-03,49.17477
2020-04-04,9.0666
2020-04-05,4.49389
2020-04-06,41.02148
2020-04-07,47.03446
2020-04-08,47.35744
2020-04-09,41.59944
2020-04-10,22.85427
2020-04-11,3.33333
2020-04-12,2.90372
2020-04-13,40.8453
2020-04-14,28.90125
2020-04-15,25.50455
2020-04-16,35.25884
2020-04-17,27.49961
2020-04-18,5.9218
2020-04-19,2.78782
2020-04-20,32.74455
2020-04-21,38.90434
2020-04-22,37.73914
2020-04-23,32.97017
2020-04-24,30.1329
2020-04-25,4.75815
2020-04-26,1.97032
2020-04-27,24.14928
2020-04-28,26.26796
2020-04-29,20.75258
2020-04-30,14.76433
2020-05-01,20.60114
2020-05-02,5.65136
2020-05-03,2.49729
2020-05-04,28.98779
2020-05-05,21.64116
2020-05-06,28.50873
2020-05-07,25.30211
2020-05-08,19.94436
2020-05-09,4.10137
2020-05-10,1.75707
2020-05-11,24.10292
2020-05-12,24.41353
2020-05-13,26.19069
2020-05-14,29.82073
2020-05-15,23.08298
2020-05-16,4.15391
2020-05-17,1.48199
2020-05-18,19.27059
2020-05-19,21.00139
2020-05-20,19.44367
2020-05-21,20.36006
2020-05-22,22.41848
2020-05-23,3.63004
2020-05-24,1.18065
2020-05-25,13.29315
2020-05-26,15.83062
2020-05-27,17.73605
2020-05-28,20.25652
2020-05-29,17.91685
2020-05-30,3.28079
2020-05-31,1.18837
2020-06-01,17.81795
2020-06-02,16.4534
2020-06-03,15.15994
2020-06-04,17.22144
2020-06-05,12.01978
2020-06-06,2.10477
2020-06-07,0.79894
2020-06-08,12.828
2020-06-09,14.45217
2020-06-10,12.81409
2020-06-11,16.7872
2020-06-12,23.33024
2020-06-13,3.11698
2020-06-14,1.08174
2020-06-15,25.79508
2020-06-16,19.09442
2020-06-17,18.30628
2020-06-18,18.27692
2020-06-19,13.72585
2020-06-20,2.65801
2020-06-21,0.85921
2020-06-22,14.59743
2020-06-23,15.97434
2020-06-24,15.64209
2020-06-25,24.81842
2020-06-26,15.7039
2020-06-27,2.92381
2020-06-28,1.04002
2020-06-29,22.77855
2020-06-30,16.90774
2020-07-01,17.27862
2020-07-02,13.5744
2020-07-03,11.05702
2020-07-04,2.18358
2020-07-05,0.81749
2020-07-06,10.6135
2020-07-07,13.52186
2020-07-08,13.35651
2020-07-09,11.32746
2020-07-10,12.73991
2020-07-11,1.83588
2020-07-12,0.49296
2020-07-13,9.49157
2020-07-14,15.12903
2020-07-15,11.84515
2020-07-16,14.58507
2020-07-17,10.88394
2020-07-18,1.75243
2020-07-19,0.57796
2020-07-20,11.15283
2020-07-21,9.3834
2020-07-22,11.48199
2020-07-23,10.66141
2020-07-24,13.13398
2020-07-25,2.22685
2020-07-26,0.61041
2020-07-27,9.65693
2020-07-28,10.10817
2020-07-29,10.88548
2020-07-30,11.81424
2020-07-31,9.92891
2020-08-01,1.78025
2020-08-02,0.55632
2020-08-03,7.73914
2020-08-04,8.70344
2020-08-05,8.24138
2020-08-06,9.48848
2020-08-07,9.27522
2020-08-08,1.53299
2020-08-09,0.41415
2020-08-10,8.07603
2020-08-11,7.96167
2020-08-12,9.73265
2020-08-13,8.12548
2020-08-14,7.89367
2020-08-15,1.17447
2020-08-16,0.35852
2020-08-17,5.98052
2020-08-18,8.68181
2020-08-19,7.29717
2020-08-20,12.47566
2020-08-21,7.98331
2020-08-22,1.26255
2020-08-23,0.37243
2020-08-24,6.51213
2020-08-25,7.48725
2020-08-26,7.60624
2020-08-27,8.19347
2020-08-28,6.9371
2020-08-29,1.12347
2020-08-30,0.30752
2020-08-31,7.32344
2020-09-01,7.53515
2020-09-02,7.17972
2020-09-03,9.13769
2020-09-04,18.72662
2020-09-05,3.06135
2020-09-06,0.74177
2020-09-07,10.87003
2020-09-08,19.90109
2020-09-09,21.27337
2020-09-10,18.40673
2020-09-11,16.01143
2020-09-12,2.76773
2020-09-13,0.80976
2020-09-14,11.44799
2020-09-15,11.86679
2020-09-16,12.97171
2020-09-17,19.29377
2020-09-18,15.40101
2020-09-19,2.59001
2020-09-20,0.80203
2020-09-21,22.13722
2020-09-22,26.1227
2020-09-23,20.96275
2020-09-24,29.93354
2020-09-25,19.54102
2020-09-26,2.75227
2020-09-27,0.71859
2020-09-28,13.15407
2020-09-29,10.62432
2020-09-30,8.60608
2020-10-01,8.15948
2020-10-02,21.93324
2020-10-03,4.77824
