date,손부업
2020-03-20,86.73469
2020-03-21,73.2653
2020-03-22,78.57142
2020-03-23,100.0
2020-03-24,73.46938
2020-03-25,75.71428
2020-03-26,82.24489
2020-03-27,60.40816
2020-03-28,45.10204
2020-03-29,53.06122
2020-03-30,67.14285
2020-03-31,77.34693
2020-04-01,74.89795
2020-04-02,71.83673
2020-04-03,50.61224
2020-04-04,39.79591
2020-04-05,49.18367
2020-04-06,62.65306
2020-04-07,62.85714
2020-04-08,69.38775
2020-04-09,60.61224
2020-04-10,45.30612
2020-04-11,35.30612
2020-04-12,42.24489
2020-04-13,74.69387
2020-04-14,59.79591
2020-04-15,46.73469
2020-04-16,63.2653
2020-04-17,55.30612
2020-04-18,40.61224
2020-04-19,47.34693
2020-04-20,66.32653
2020-04-21,74.08163
2020-04-22,54.48979
2020-04-23,53.46938
2020-04-24,47.34693
2020-04-25,28.36734
2020-04-26,32.44897
2020-04-27,61.22448
2020-04-28,46.73469
2020-04-29,42.85714
2020-04-30,33.46938
2020-05-01,24.69387
2020-05-02,30.20408
2020-05-03,26.12244
2020-05-04,35.71428
2020-05-05,34.48979
2020-05-06,40.61224
2020-05-07,37.55102
2020-05-08,36.93877
2020-05-09,33.87755
2020-05-10,36.32653
2020-05-11,47.7551
2020-05-12,53.87755
2020-05-13,47.34693
2020-05-14,31.63265
2020-05-15,48.16326
2020-05-16,25.5102
2020-05-17,28.77551
2020-05-18,40.0
2020-05-19,42.65306
2020-05-20,41.22448
2020-05-21,42.04081
2020-05-22,36.93877
2020-05-23,24.28571
2020-05-24,33.46938
2020-05-25,44.69387
2020-05-26,48.16326
2020-05-27,44.28571
2020-05-28,45.30612
2020-05-29,33.2653
2020-05-30,26.53061
2020-05-31,25.30612
2020-06-01,38.36734
2020-06-02,39.18367
2020-06-03,43.87755
2020-06-04,43.06122
2020-06-05,33.2653
2020-06-06,19.59183
2020-06-07,24.89795
2020-06-08,42.24489
2020-06-09,36.12244
2020-06-10,36.32653
2020-06-11,30.20408
2020-06-12,29.59183
2020-06-13,18.57142
