date,펀드투자
2020-03-20,57.94701
2020-03-21,27.15231
2020-03-22,32.1192
2020-03-23,37.41721
2020-03-24,41.0596
2020-03-25,36.75496
2020-03-26,33.11258
2020-03-27,29.13907
2020-03-28,15.56291
2020-03-29,22.51655
2020-03-30,21.19205
2020-03-31,29.47019
2020-04-01,24.83443
2020-04-02,26.82119
2020-04-03,25.82781
2020-04-04,16.22516
2020-04-05,16.88741
2020-04-06,26.15894
2020-04-07,28.47682
2020-04-08,24.83443
2020-04-09,26.82119
2020-04-10,22.84768
2020-04-11,13.24503
2020-04-12,15.56291
2020-04-13,14.90066
2020-04-14,22.84768
2020-04-15,25.82781
2020-04-16,24.83443
2020-04-17,17.88079
2020-04-18,12.9139
2020-04-19,16.55629
2020-04-20,21.19205
2020-04-21,24.50331
2020-04-22,22.84768
2020-04-23,25.16556
2020-04-24,20.19867
2020-04-25,15.23178
2020-04-26,10.59602
2020-04-27,20.5298
2020-04-28,17.88079
2020-04-29,17.88079
2020-04-30,12.9139
2020-05-01,13.57615
2020-05-02,9.27152
2020-05-03,10.92715
2020-05-04,11.25827
2020-05-05,14.90066
2020-05-06,16.88741
2020-05-07,15.89403
2020-05-08,13.57615
2020-05-09,15.23178
2020-05-10,12.58278
2020-05-11,17.88079
2020-05-12,15.23178
2020-05-13,18.54304
2020-05-14,12.9139
2020-05-15,16.55629
2020-05-16,10.2649
2020-05-17,10.59602
2020-05-18,17.88079
2020-05-19,22.51655
2020-05-20,20.5298
2020-05-21,23.84105
2020-05-22,16.55629
2020-05-23,9.27152
2020-05-24,14.23841
2020-05-25,18.54304
2020-05-26,25.49668
2020-05-27,24.17218
2020-05-28,18.54304
2020-05-29,18.87417
2020-05-30,11.92052
2020-05-31,15.89403
2020-06-01,27.15231
2020-06-02,30.7947
2020-06-03,30.46357
2020-06-04,36.42384
2020-06-05,21.19205
2020-06-06,19.86754
2020-06-07,20.5298
2020-06-08,22.84768
2020-06-09,26.15894
2020-06-10,21.19205
2020-06-11,24.83443
2020-06-12,20.19867
2020-06-13,16.55629
2020-06-14,15.56291
2020-06-15,20.19867
2020-06-16,23.84105
2020-06-17,19.20529
2020-06-18,14.23841
2020-06-19,19.53642
2020-06-20,11.92052
2020-06-21,19.53642
2020-06-22,24.50331
2020-06-23,31.45695
2020-06-24,30.46357
2020-06-25,26.49006
2020-06-26,27.48344
2020-06-27,18.21192
2020-06-28,19.53642
2020-06-29,23.50993
2020-06-30,26.15894
2020-07-01,26.15894
2020-07-02,22.18543
2020-07-03,23.84105
2020-07-04,9.27152
2020-07-05,100.0
2020-07-06,55.62913
2020-07-07,33.77483
2020-07-08,37.41721
2020-07-09,39.40397
2020-07-10,27.15231
2020-07-11,23.1788
2020-07-12,39.40397
2020-07-13,28.47682
2020-07-14,33.77483
2020-07-15,33.4437
2020-07-16,31.12582
2020-07-17,21.8543
2020-07-18,15.23178
2020-07-19,19.53642
2020-07-20,29.13907
2020-07-21,28.14569
2020-07-22,39.73509
2020-07-23,32.78145
2020-07-24,24.83443
2020-07-25,20.86092
2020-07-26,20.86092
2020-07-27,36.42384
2020-07-28,33.11258
2020-07-29,38.74172
2020-07-30,24.50331
2020-07-31,31.12582
2020-08-01,15.56291
2020-08-02,17.88079
2020-08-03,28.14569
2020-08-04,27.48344
2020-08-05,36.09271
2020-08-06,44.03973
2020-08-07,37.74834
2020-08-08,27.81456
2020-08-09,21.8543
2020-08-10,44.70198
2020-08-11,44.37086
2020-08-12,38.07947
2020-08-13,29.47019
2020-08-14,25.49668
2020-08-15,19.53642
2020-08-16,20.86092
2020-08-17,22.51655
2020-08-18,27.81456
2020-08-19,28.80794
2020-08-20,23.84105
2020-08-21,21.52317
2020-08-22,17.88079
2020-08-23,21.52317
2020-08-24,28.47682
2020-08-25,37.41721
2020-08-26,27.48344
2020-08-27,33.4437
2020-08-28,29.80132
2020-08-29,19.20529
2020-08-30,26.82119
2020-08-31,37.74834
2020-09-01,33.77483
2020-09-02,38.74172
2020-09-03,45.69536
2020-09-04,40.39735
2020-09-05,21.52317
2020-09-06,26.15894
2020-09-07,38.74172
2020-09-08,26.15894
2020-09-09,28.47682
2020-09-10,28.80794
2020-09-11,25.82781
2020-09-12,19.20529
2020-09-13,17.54966
2020-09-14,25.49668
2020-09-15,30.7947
2020-09-16,30.13245
2020-09-17,29.47019
2020-09-18,31.45695
2020-09-19,14.56953
2020-09-20,19.86754
