date,AIETF
2020-03-20,0.96735
2020-03-21,0.54413
2020-03-22,0.66505
2020-03-23,0.48367
2020-03-24,0.84643
2020-03-25,0.60459
2020-03-26,0.72551
2020-03-27,1.51148
2020-03-28,0.72551
2020-03-29,0.60459
2020-03-30,0.66505
2020-03-31,0.42321
2020-04-01,0.72551
2020-04-02,1.08827
2020-04-03,0.36275
2020-04-04,0.84643
2020-04-05,0.96735
2020-04-06,1.3301
2020-04-07,0.84643
2020-04-08,0.72551
2020-04-09,0.42321
2020-04-10,1.3301
2020-04-11,0.42321
2020-04-12,1.51148
2020-04-13,1.08827
2020-04-14,0.84643
2020-04-15,0.84643
2020-04-16,0.78597
2020-04-17,0.84643
2020-04-18,1.14873
2020-04-19,1.45102
2020-04-20,0.60459
2020-04-21,0.54413
2020-04-22,0.30229
2020-04-23,0.72551
2020-04-24,0.48367
2020-04-25,1.3301
2020-04-26,1.39056
2020-04-27,0.66505
2020-04-28,1.75332
2020-04-29,0.42321
2020-04-30,1.26964
2020-05-01,0.36275
2020-05-03,1.08827
2020-05-04,0.72551
2020-05-05,1.20918
2020-05-06,0.66505
2020-05-07,1.39056
2020-05-08,0.60459
2020-05-09,0.54413
2020-05-10,0.54413
2020-05-11,1.14873
2020-05-12,0.66505
2020-05-13,0.60459
2020-05-14,0.30229
2020-05-17,1.57194
2020-05-18,0.90689
2020-05-19,1.02781
2020-05-20,0.72551
2020-05-21,2.05562
2020-05-22,1.20918
2020-05-23,1.51148
2020-05-24,1.20918
2020-05-25,1.26964
2020-05-26,1.14873
2020-05-27,1.57194
2020-05-28,1.14873
2020-05-29,0.96735
2020-05-30,1.02781
2020-05-31,0.90689
2020-06-01,1.08827
2020-06-02,1.69286
2020-06-03,2.41837
2020-06-04,1.3301
2020-06-05,0.96735
2020-06-06,1.57194
2020-06-07,1.81378
2020-06-08,1.26964
2020-06-09,2.11608
2020-06-10,1.69286
2020-06-11,1.14873
2020-06-12,0.66505
2020-06-13,0.84643
2020-06-14,1.14873
2020-06-15,0.36275
2020-06-16,0.84643
2020-06-17,1.08827
2020-06-18,0.78597
2020-06-19,0.60459
2020-06-20,0.48367
2020-06-21,0.48367
2020-06-22,0.60459
2020-06-23,1.14873
2020-06-24,0.84643
2020-06-25,0.54413
2020-06-26,0.36275
2020-06-27,0.48367
2020-06-28,0.54413
2020-06-29,0.60459
2020-06-30,0.60459
2020-07-01,0.48367
2020-07-02,1.08827
2020-07-03,0.66505
2020-07-04,0.30229
2020-07-05,0.66505
2020-07-06,1.20918
2020-07-07,0.36275
2020-07-08,0.72551
2020-07-09,1.14873
2020-07-10,1.45102
2020-07-11,0.96735
2020-07-12,0.48367
2020-07-13,0.96735
2020-07-14,1.87424
2020-07-15,2.11608
2020-07-16,1.3301
2020-07-17,0.48367
2020-07-18,1.20918
2020-07-19,0.54413
2020-07-20,0.78597
2020-07-21,0.90689
2020-07-22,0.96735
2020-07-23,1.20918
2020-07-24,0.60459
2020-07-25,0.42321
2020-07-26,0.78597
2020-07-28,0.96735
2020-07-29,1.26964
2020-08-01,0.48367
