date,카카오뱅크주가
2020-11-07,0.03199
2020-11-08,0.03508
2020-11-09,0.04612
2020-11-10,0.0417
2020-11-11,0.07922
2020-11-12,0.06929
2020-11-13,0.04612
2020-11-14,0.02736
2020-11-15,0.02714
2020-11-16,0.0481
2020-11-17,0.20325
2020-11-18,0.08981
2020-11-19,0.05362
2020-11-20,0.04546
2020-11-21,0.03575
2020-11-22,0.04259
2020-11-23,0.05164
2020-11-24,0.05119
2020-11-25,0.05362
2020-11-26,0.06444
2020-11-27,0.05208
2020-11-28,0.04788
2020-11-29,0.04237
2020-11-30,0.06068
2020-12-01,0.05539
2020-12-02,0.07326
2020-12-03,0.07547
2020-12-04,0.09577
2020-12-05,0.04347
2020-12-06,0.07017
2020-12-07,0.07106
2020-12-08,0.05186
2020-12-09,0.05958
2020-12-10,0.04987
2020-12-11,0.06355
2020-12-12,0.04104
2020-12-13,0.03641
2020-12-14,0.04678
2020-12-15,0.04501
2020-12-16,0.04479
2020-12-17,0.0406
2020-12-18,0.04391
2020-12-19,0.02935
2020-12-20,0.03155
2020-12-21,0.05318
2020-12-22,0.04899
2020-12-23,0.04391
2020-12-24,0.03928
2020-12-25,0.03222
2020-12-26,0.03111
2020-12-27,0.04303
2020-12-28,0.05671
2020-12-29,0.06444
2020-12-30,0.07966
2020-12-31,0.06201
2021-01-01,0.05428
2021-01-02,0.06399
2021-01-03,0.0534
2021-01-04,0.09643
2021-01-05,0.11122
2021-01-06,0.08474
2021-01-07,0.09754
2021-01-08,0.1355
2021-01-09,0.0865
2021-01-10,0.08408
2021-01-11,0.12203
2021-01-12,0.10725
2021-01-13,0.0918
2021-01-14,0.08981
2021-01-15,0.06554
2021-01-16,0.05009
2021-01-17,0.05053
2021-01-18,0.06466
2021-01-19,0.06686
2021-01-20,0.08231
2021-01-21,0.07061
2021-01-22,0.08915
2021-01-23,0.05186
2021-01-24,0.05495
2021-01-25,0.10394
2021-01-26,0.08341
2021-01-27,0.07768
2021-01-28,0.05715
2021-01-29,0.05517
2021-01-30,0.03398
2021-01-31,0.03376
2021-02-01,0.05428
2021-02-02,0.18471
2021-02-03,0.12292
2021-02-04,0.07392
2021-02-05,0.08915
2021-02-06,0.06488
2021-02-07,0.06377
2021-02-08,0.09357
2021-02-09,0.34471
2021-02-10,0.15514
2021-02-11,0.08805
2021-02-12,0.10151
2021-02-13,0.09754
2021-02-14,0.10879
2021-02-15,0.13461
2021-02-16,0.13219
2021-02-17,0.10394
2021-02-18,0.08849
2021-02-19,0.06775
2021-02-20,0.04965
2021-02-21,0.06488
2021-02-22,0.08496
2021-02-23,0.0609
2021-02-24,0.06135
2021-02-25,0.05804
2021-02-26,0.04987
2021-02-27,0.03288
2021-02-28,0.06179
2021-03-01,0.047
2021-03-02,0.05097
2021-03-03,0.06024
2021-03-04,0.05141
2021-03-05,0.05428
2021-03-06,0.04303
2021-03-07,0.05119
2021-03-08,0.08187
2021-03-09,0.07856
2021-03-10,0.06951
2021-03-11,0.05495
2021-03-12,0.05715
2021-03-13,0.04391
2021-03-14,0.07701
2021-03-15,0.09379
2021-03-16,0.07017
2021-03-17,0.06002
2021-03-18,0.10813
2021-03-19,0.10592
2021-03-20,0.04082
2021-03-21,0.05097
2021-03-22,0.06311
2021-03-23,0.05208
2021-03-24,0.04259
2021-03-25,0.03861
2021-03-26,0.03861
2021-03-27,0.03023
2021-03-28,0.03332
2021-03-29,0.04568
2021-03-30,0.04546
2021-03-31,0.0417
2021-04-01,0.05318
2021-04-02,0.04435
2021-04-03,0.02537
2021-04-04,0.02692
2021-04-05,0.03861
2021-04-06,0.04987
2021-04-07,0.05428
2021-04-08,0.04347
2021-04-09,0.04104
2021-04-10,0.03266
2021-04-11,0.03817
2021-04-12,0.08981
2021-04-13,0.07194
2021-04-14,0.06355
2021-04-15,0.13196
2021-04-16,0.1633
2021-04-17,0.07525
2021-04-18,0.12292
2021-04-19,0.18714
2021-04-20,0.24142
2021-04-21,0.1622
2021-04-22,0.11784
2021-04-23,0.10107
2021-04-24,0.05141
2021-04-25,0.04678
2021-04-26,0.08959
2021-04-27,0.12027
2021-04-28,0.09224
2021-04-29,0.07547
2021-04-30,0.06598
2021-05-01,0.03155
2021-05-02,0.03839
2021-05-03,0.05097
2021-05-04,0.04016
2021-05-05,0.0353
2021-05-06,0.05252
2021-05-07,0.04303
2021-05-08,0.02626
2021-05-09,0.02913
2021-05-10,0.07503
2021-05-11,0.05583
2021-05-12,0.04634
2021-05-13,0.04193
2021-05-14,0.02692
2021-05-15,0.02957
2021-05-16,0.03553
2021-05-17,0.0779
2021-05-18,0.06201
2021-05-19,0.04744
2021-05-20,0.05274
2021-05-21,0.05141
2021-05-22,0.02537
2021-05-23,0.0278
2021-05-24,0.06863
2021-05-25,0.06973
2021-05-26,0.07746
2021-05-27,0.12314
2021-05-28,0.11034
2021-05-29,0.04546
2021-05-30,0.03398
2021-05-31,0.06444
2021-06-01,0.05936
2021-06-02,0.05936
2021-06-03,0.06179
2021-06-04,0.08694
2021-06-05,0.04435
2021-06-06,0.06752
2021-06-07,0.09158
2021-06-08,0.07128
2021-06-09,0.07326
2021-06-10,0.09334
2021-06-11,0.06995
2021-06-12,0.04259
2021-06-13,0.03619
2021-06-14,0.08805
2021-06-15,0.10283
2021-06-16,0.08209
2021-06-17,0.16816
2021-06-18,0.2668
2021-06-19,0.11321
2021-06-20,0.08761
2021-06-21,0.12093
2021-06-22,0.10328
2021-06-23,0.14675
2021-06-24,0.13285
2021-06-25,0.08783
2021-06-26,0.06201
2021-06-27,0.0715
2021-06-28,0.36346
2021-06-29,0.38752
2021-06-30,0.24496
2021-07-01,0.15801
2021-07-02,0.16573
2021-07-03,0.12799
2021-07-04,0.09003
2021-07-05,0.18934
2021-07-06,0.14587
2021-07-07,0.10879
2021-07-08,0.11585
2021-07-09,0.10306
2021-07-10,0.0854
2021-07-11,0.06311
2021-07-12,0.09445
2021-07-13,0.10217
2021-07-14,0.09952
2021-07-15,0.0993
2021-07-16,0.10901
2021-07-17,0.06311
2021-07-18,0.05781
2021-07-19,0.13505
2021-07-20,0.22399
2021-07-21,0.25047
2021-07-22,0.33831
2021-07-23,0.4407
2021-07-24,0.20987
2021-07-25,0.23679
2021-07-26,0.9293
2021-07-27,1.08334
