date,NH농협증권
2020-11-07,5.96508
2020-11-08,5.28612
2020-11-09,20.02909
2020-11-10,17.21629
2020-11-11,19.8836
2020-11-12,18.67119
2020-11-13,18.33171
2020-11-14,7.46847
2020-11-15,7.32298
2020-11-16,22.7934
2020-11-17,23.22987
2020-11-18,22.55092
2020-11-19,18.86517
2020-11-20,15.85838
2020-11-21,9.50533
2020-11-22,8.05043
2020-11-23,24.83026
2020-11-24,22.35693
2020-11-25,24.05431
2020-11-26,23.22987
2020-11-27,21.24151
2020-11-28,10.62075
2020-11-29,11.3482
2020-11-30,28.17652
2020-12-01,26.96411
2020-12-02,25.50921
2020-12-03,33.07468
2020-12-04,30.50436
2020-12-05,14.88845
2020-12-06,15.85838
2020-12-07,37.53637
2020-12-08,29.34044
2020-12-09,30.79534
2020-12-10,30.11639
2020-12-11,29.67992
2020-12-12,11.83317
2020-12-13,11.54219
2020-12-14,25.50921
2020-12-15,23.90882
2020-12-16,25.12124
2020-12-17,21.43549
2020-12-18,23.81183
2020-12-19,11.2997
2020-12-20,12.94859
2020-12-21,27.30358
2020-12-22,24.87875
2020-12-23,24.53928
2020-12-24,26.43064
2020-12-25,11.25121
2020-12-26,13.09408
2020-12-27,12.51212
2020-12-28,40.54316
2020-12-29,32.92919
2020-12-30,35.30552
2020-12-31,27.64306
2021-01-01,15.56741
2021-01-02,15.85838
2021-01-03,19.44713
2021-01-04,67.41028
2021-01-05,47.96314
2021-01-06,48.64209
2021-01-07,47.0902
2021-01-08,57.17749
2021-01-09,32.49272
2021-01-10,29.9224
2021-01-11,79.04946
2021-01-12,53.92822
2021-01-13,48.15712
2021-01-14,45.05334
2021-01-15,37.24539
2021-01-16,17.26479
2021-01-17,16.53734
2021-01-18,40.49466
2021-01-19,41.07662
2021-01-20,41.46459
2021-01-21,42.04655
2021-01-22,40.10669
2021-01-23,17.36178
2021-01-24,19.9321
2021-01-25,46.31425
2021-01-26,42.8225
2021-01-27,38.89427
2021-01-28,37.53637
2021-01-29,35.6935
2021-01-30,13.33656
2021-01-31,13.87002
2021-02-01,33.31716
2021-02-02,33.75363
2021-02-03,32.88069
2021-02-04,29.14645
2021-02-05,28.95247
2021-02-06,15.80989
2021-02-07,14.93695
2021-02-08,39.23375
2021-02-09,31.57129
2021-02-10,30.40737
2021-02-11,14.01551
2021-02-12,16.19786
2021-02-13,15.85838
2021-02-14,18.67119
2021-02-15,51.45489
2021-02-16,44.71387
2021-02-17,42.38603
2021-02-18,37.24539
2021-02-19,32.97769
2021-02-20,16.10087
2021-02-21,20.75654
2021-02-22,42.28903
2021-02-23,33.26867
2021-02-24,38.06983
2021-02-25,41.56159
2021-02-26,32.7837
2021-02-27,16.19786
2021-02-28,16.29485
2021-03-01,21.72647
2021-03-02,41.61008
2021-03-03,39.42774
2021-03-04,39.71871
2021-03-05,44.42289
2021-03-06,20.99903
2021-03-07,29.58292
2021-03-08,72.89039
2021-03-09,100.0
2021-03-10,85.98448
2021-03-11,38.60329
2021-03-12,40.10669
2021-03-13,13.38506
2021-03-14,12.94859
2021-03-15,32.44422
2021-03-16,30.40737
2021-03-17,29.00096
2021-03-18,35.16003
2021-03-19,34.38409
2021-03-20,11.88166
2021-03-21,14.50048
2021-03-22,28.17652
2021-03-23,25.55771
2021-03-24,23.86032
2021-03-25,24.68477
2021-03-26,26.57613
2021-03-27,9.9418
2021-03-28,11.68768
2021-03-29,26.86711
2021-03-30,24.58777
2021-03-31,20.90203
2021-04-01,22.69641
2021-04-02,24.1998
2021-04-03,11.93016
2021-04-04,11.05722
2021-04-05,27.78855
2021-04-06,25.12124
2021-04-07,28.03103
2021-04-08,25.36372
2021-04-09,25.16973
2021-04-10,8.4869
2021-04-11,8.05043
2021-04-12,23.95732
2021-04-13,26.96411
2021-04-14,26.47914
2021-04-15,28.4675
2021-04-16,30.89233
2021-04-17,11.88166
2021-04-18,10.76624
2021-04-19,29.58292
2021-04-20,26.38215
2021-04-21,28.61299
2021-04-22,32.88069
2021-04-23,32.39573
2021-04-24,13.19107
2021-04-25,14.64597
2021-04-26,39.33074
2021-04-27,64.11251
2021-04-28,83.94762
2021-04-29,45.87778
2021-04-30,35.5965
2021-05-01,14.64597
2021-05-02,10.37827
2021-05-03,32.92919
2021-05-04,24.2483
2021-05-05,12.51212
2021-05-06,28.37051
2021-05-07,25.75169
2021-05-08,10.18428
2021-05-09,8.63239
2021-05-10,27.25509
2021-05-11,27.20659
2021-05-12,22.69641
2021-05-13,22.16294
2021-05-14,23.37536
2021-05-15,9.40834
2021-05-16,10.03879
2021-05-17,20.56256
2021-05-18,19.68962
2021-05-19,12.8031
2021-05-20,20.80504
2021-05-21,19.83511
2021-05-22,6.83802
2021-05-23,7.71096
2021-05-24,17.65276
2021-05-25,18.33171
2021-05-26,18.96217
2021-05-27,17.26479
2021-05-28,18.38021
2021-05-29,8.38991
2021-05-30,7.56547
2021-05-31,21.72647
2021-06-01,20.51406
2021-06-02,20.61105
2021-06-03,22.40543
2021-06-04,19.78661
2021-06-05,8.14742
2021-06-06,7.032
2021-06-07,19.83511
2021-06-08,18.81668
2021-06-09,17.65276
2021-06-10,17.60426
2021-06-11,16.05237
2021-06-12,8.38991
2021-06-13,6.69253
2021-06-14,16.97381
2021-06-15,18.13773
2021-06-16,18.67119
2021-06-17,16.14936
2021-06-18,16.05237
2021-06-19,6.88651
2021-06-20,7.61396
2021-06-21,17.89524
2021-06-22,16.19786
2021-06-23,18.28322
2021-06-24,17.1193
2021-06-25,16.58583
2021-06-26,7.032
2021-06-27,6.11057
2021-06-28,14.35499
2021-06-29,18.08923
2021-06-30,16.00387
2021-07-01,16.05237
2021-07-02,20.80504
2021-07-03,7.51697
2021-07-04,6.54704
2021-07-05,18.23472
2021-07-06,18.96217
2021-07-07,20.51406
2021-07-08,27.0126
2021-07-09,29.72841
2021-07-10,7.46847
2021-07-11,7.22599
2021-07-12,21.19301
2021-07-13,21.58098
2021-07-14,18.91367
2021-07-15,19.44713
2021-07-16,18.57419
2021-07-17,6.45004
2021-07-18,6.69253
2021-07-19,17.1193
2021-07-20,15.08244
2021-07-21,17.74975
2021-07-22,18.62269
2021-07-23,18.38021
2021-07-24,7.46847
2021-07-25,7.0805
2021-07-26,21.19301
2021-07-27,18.91367
2021-07-28,17.21629
2021-07-29,19.25315
2021-07-30,16.92531
2021-07-31,5.81959
2021-08-01,6.49854
2021-08-02,19.49563
2021-08-03,17.55577
2021-08-04,17.84675
2021-08-05,16.77982
2021-08-06,16.58583
2021-08-07,6.06207
2021-08-08,6.69253
2021-08-09,22.06595
