date,공모전사이트
2020-03-20,45.14285
2020-03-21,37.14285
2020-03-22,44.0
2020-03-23,79.42857
2020-03-24,60.57142
2020-03-25,64.0
2020-03-26,54.0
2020-03-27,55.71428
2020-03-28,40.0
2020-03-29,41.42857
2020-03-30,69.71428
2020-03-31,56.85714
2020-04-01,57.42857
2020-04-02,56.0
2020-04-03,49.14285
2020-04-04,30.0
2020-04-05,31.71428
2020-04-06,47.14285
2020-04-07,54.28571
2020-04-08,42.0
2020-04-09,34.85714
2020-04-10,41.71428
2020-04-11,35.42857
2020-04-12,31.42857
2020-04-13,45.71428
2020-04-14,45.42857
2020-04-15,32.85714
2020-04-16,43.42857
2020-04-17,43.42857
2020-04-18,23.14285
2020-04-19,32.28571
2020-04-20,53.42857
2020-04-21,44.0
2020-04-22,45.14285
2020-04-23,41.42857
2020-04-24,30.57142
2020-04-25,23.71428
2020-04-26,26.0
2020-04-27,42.57142
2020-04-28,49.42857
2020-04-29,36.85714
2020-04-30,22.85714
2020-05-01,26.0
2020-05-02,26.28571
2020-05-03,25.42857
2020-05-04,42.0
2020-05-05,31.42857
2020-05-06,45.42857
2020-05-07,45.71428
2020-05-08,42.0
2020-05-09,28.85714
2020-05-10,25.14285
2020-05-11,47.42857
2020-05-12,47.71428
2020-05-13,44.57142
2020-05-14,44.57142
2020-05-15,46.28571
2020-05-16,27.71428
2020-05-17,30.0
2020-05-18,53.42857
2020-05-19,47.42857
2020-05-20,49.42857
2020-05-21,42.85714
2020-05-22,38.28571
2020-05-23,30.0
2020-05-24,30.57142
2020-05-25,52.85714
2020-05-26,48.57142
2020-05-27,48.0
2020-05-28,48.57142
2020-05-29,37.14285
2020-05-30,28.85714
2020-05-31,35.71428
2020-06-01,61.71428
2020-06-02,50.28571
2020-06-03,45.71428
2020-06-04,45.14285
2020-06-05,38.28571
2020-06-06,27.42857
2020-06-07,35.14285
2020-06-08,49.71428
2020-06-09,48.57142
2020-06-10,48.0
2020-06-11,43.42857
2020-06-12,36.85714
2020-06-13,22.0
2020-06-14,25.42857
2020-06-15,46.28571
2020-06-16,46.57142
2020-06-17,42.85714
2020-06-18,38.28571
2020-06-19,44.0
2020-06-20,22.57142
2020-06-21,29.42857
2020-06-22,45.14285
2020-06-23,43.42857
2020-06-24,44.0
2020-06-25,40.57142
2020-06-26,40.57142
2020-06-27,27.42857
2020-06-28,34.57142
2020-06-29,55.14285
2020-06-30,54.57142
2020-07-01,49.42857
2020-07-02,53.71428
2020-07-03,53.71428
2020-07-04,39.42857
2020-07-05,39.42857
2020-07-06,59.71428
2020-07-07,53.14285
2020-07-08,53.71428
2020-07-09,61.42857
2020-07-10,52.0
2020-07-11,29.71428
2020-07-12,35.14285
2020-07-13,45.42857
2020-07-14,60.57142
2020-07-15,49.71428
2020-07-16,57.42857
2020-07-17,50.0
2020-07-18,22.0
2020-07-19,34.28571
2020-07-20,45.42857
2020-07-21,47.14285
