date,KODEX인도NIFTY50
2023-04-19,0.90225
2023-04-20,6.76691
2023-04-21,17.89473
2023-04-22,6.31578
2023-04-23,9.92481
2023-04-24,20.45112
2023-04-25,17.74436
2023-04-26,15.93984
2023-04-27,13.98496
2023-04-28,10.97744
2023-04-29,6.61654
2023-04-30,4.9624
2023-05-01,6.46616
2023-05-02,16.2406
2023-05-03,18.94736
2023-05-04,10.67669
2023-05-05,9.47368
2023-05-06,7.81954
2023-05-07,7.06766
2023-05-08,12.33082
2023-05-09,15.93984
2023-05-10,12.93233
2023-05-11,16.2406
2023-05-12,11.87969
2023-05-13,9.47368
2023-05-14,8.7218
2023-05-15,16.09022
2023-05-16,18.04511
2023-05-17,16.8421
2023-05-18,19.24812
2023-05-19,21.95488
2023-05-20,6.91729
2023-05-21,7.66917
2023-05-22,20.15037
2023-05-23,13.38345
2023-05-24,15.18796
2023-05-25,10.37593
2023-05-26,13.0827
2023-05-27,4.3609
2023-05-28,3.90977
2023-05-29,6.01503
2023-05-30,16.39097
2023-05-31,13.53383
2023-06-01,14.58646
2023-06-02,19.39849
2023-06-03,4.66165
2023-06-04,4.9624
2023-06-05,14.43609
2023-06-06,10.22556
2023-06-07,13.83458
2023-06-08,8.7218
2023-06-09,13.98496
2023-06-10,4.9624
2023-06-11,5.26315
2023-06-12,10.67669
2023-06-13,12.93233
2023-06-14,11.27819
2023-06-15,13.53383
2023-06-16,12.33082
2023-06-17,7.21804
2023-06-18,7.06766
2023-06-19,10.52631
2023-06-20,10.37593
2023-06-21,17.29323
2023-06-22,16.99248
2023-06-23,14.28571
2023-06-24,4.81203
2023-06-25,4.21052
2023-06-26,12.63157
2023-06-27,10.52631
2023-06-28,13.68421
2023-06-29,19.39849
2023-06-30,13.0827
2023-07-01,4.3609
2023-07-02,4.9624
2023-07-03,14.88721
2023-07-04,15.18796
2023-07-05,12.78195
2023-07-06,11.57894
2023-07-07,11.87969
2023-07-08,5.86466
2023-07-09,4.51127
2023-07-10,17.14285
2023-07-11,17.4436
2023-07-12,18.49624
2023-07-13,15.63909
2023-07-14,15.93984
2023-07-15,6.46616
2023-07-16,4.66165
2023-07-17,14.43609
2023-07-18,23.75939
2023-07-19,18.49624
2023-07-20,16.39097
2023-07-21,10.97744
2023-07-22,4.21052
2023-07-23,3.75939
2023-07-24,9.47368
2023-07-25,11.72932
2023-07-26,11.12781
2023-07-27,11.27819
2023-07-28,13.68421
2023-07-29,4.66165
2023-07-30,3.45864
2023-07-31,16.2406
2023-08-01,14.88721
2023-08-02,22.85714
2023-08-03,13.0827
2023-08-04,13.83458
2023-08-05,4.51127
2023-08-06,6.01503
2023-08-07,14.88721
2023-08-08,16.09022
2023-08-09,18.64661
2023-08-10,15.78947
2023-08-11,15.93984
2023-08-12,5.71428
2023-08-13,5.71428
2023-08-14,17.14285
2023-08-15,10.67669
2023-08-16,16.8421
2023-08-17,22.85714
2023-08-18,22.10526
2023-08-19,5.5639
2023-08-20,7.96992
2023-08-21,27.06766
2023-08-22,21.05263
2023-08-23,22.25563
2023-08-24,25.26315
2023-08-25,20.0
2023-08-26,10.22556
2023-08-27,11.87969
2023-08-28,25.41353
2023-08-29,24.3609
2023-08-30,18.34586
2023-08-31,19.24812
2023-09-01,23.75939
2023-09-02,8.57142
2023-09-03,7.51879
2023-09-04,28.7218
2023-09-05,34.28571
2023-09-06,32.33082
2023-09-07,34.43609
2023-09-08,33.68421
2023-09-09,9.77443
2023-09-10,11.42857
2023-09-11,33.98496
2023-09-12,30.07518
2023-09-13,30.82706
2023-09-14,26.16541
2023-09-15,30.97744
2023-09-16,6.01503
2023-09-17,8.87218
2023-09-18,25.11278
2023-09-19,23.00751
2023-09-20,23.45864
2023-09-21,22.55639
2023-09-22,26.61654
2023-09-23,7.06766
2023-09-24,11.42857
2023-09-25,34.43609
2023-09-26,42.10526
2023-09-27,27.66917
2023-09-28,7.21804
2023-09-29,5.86466
2023-09-30,6.31578
2023-10-01,4.66165
2023-10-02,7.96992
2023-10-03,10.22556
2023-10-04,28.1203
2023-10-05,28.42105
2023-10-06,18.79699
2023-10-07,5.41353
2023-10-08,9.77443
2023-10-09,7.21804
2023-10-10,18.94736
2023-10-11,25.86466
2023-10-12,22.10526
2023-10-13,24.81203
2023-10-14,5.5639
2023-10-15,7.96992
2023-10-16,23.60902
2023-10-17,23.60902
2023-10-18,27.81954
2023-10-19,24.06015
2023-10-20,24.3609
2023-10-21,4.9624
2023-10-22,5.86466
2023-10-23,20.15037
2023-10-24,19.69924
2023-10-25,26.76691
2023-10-26,24.51127
2023-10-27,22.70676
2023-10-28,5.71428
2023-10-29,7.36842
2023-10-30,17.14285
2023-10-31,16.69172
2023-11-01,15.48872
2023-11-02,25.11278
2023-11-03,21.80451
2023-11-04,4.21052
2023-11-05,7.21804
2023-11-06,28.57142
2023-11-07,18.64661
2023-11-08,20.6015
2023-11-09,20.30075
2023-11-10,16.2406
2023-11-11,5.86466
2023-11-12,7.36842
2023-11-13,25.11278
2023-11-14,23.60902
2023-11-15,25.11278
2023-11-16,19.54887
2023-11-17,20.75187
2023-11-18,7.81954
2023-11-19,5.41353
2023-11-20,23.90977
2023-11-21,23.30827
2023-11-22,24.81203
2023-11-23,20.15037
2023-11-24,21.80451
2023-11-25,7.36842
2023-11-26,6.76691
2023-11-27,17.89473
2023-11-28,20.30075
2023-11-29,22.10526
2023-11-30,20.75187
2023-12-01,21.95488
2023-12-02,10.37593
2023-12-03,8.87218
2023-12-04,29.62406
2023-12-05,40.75187
2023-12-06,36.39097
2023-12-07,54.13533
2023-12-08,36.54135
2023-12-09,13.23308
2023-12-10,9.92481
2023-12-11,46.46616
2023-12-12,40.30075
2023-12-13,40.30075
2023-12-14,45.11278
2023-12-15,38.04511
2023-12-16,11.42857
2023-12-17,10.82706
2023-12-18,46.16541
2023-12-19,38.94736
2023-12-20,43.45864
2023-12-21,42.55639
2023-12-22,35.48872
2023-12-23,12.03007
2023-12-24,11.27819
2023-12-25,16.69172
2023-12-26,40.15037
2023-12-27,48.1203
2023-12-28,54.43609
2023-12-29,32.63157
2023-12-30,16.8421
2023-12-31,13.68421
2024-01-01,20.30075
2024-01-02,67.96992
2024-01-03,63.75939
2024-01-04,66.16541
2024-01-05,91.72932
2024-01-06,22.25563
2024-01-07,17.14285
2024-01-08,72.03007
2024-01-09,74.13533
2024-01-10,71.27819
2024-01-11,63.15789
2024-01-12,64.81203
2024-01-13,14.58646
2024-01-14,15.63909
2024-01-15,78.94736
2024-01-16,75.78947
2024-01-17,85.26315
2024-01-18,84.9624
2024-01-19,72.18045
2024-01-20,29.77443
2024-01-21,22.40601
2024-01-22,81.35338
2024-01-23,100.0
2024-01-24,97.89473
2024-01-25,91.57894
2024-01-26,60.30075
2024-01-27,17.4436
2024-01-28,16.09022
2024-01-29,72.03007
2024-01-30,80.15037
2024-01-31,75.48872
2024-02-01,66.76691
2024-02-02,81.65413
2024-02-03,16.09022
2024-02-04,23.90977
2024-02-05,74.88721
2024-02-06,64.51127
2024-02-07,55.03759
2024-02-08,58.64661
2024-02-09,17.4436
2024-02-10,13.53383
2024-02-11,14.73684
2024-02-12,22.40601
2024-02-13,69.3233
2024-02-14,61.65413
2024-02-15,61.203
2024-02-16,58.49624
2024-02-17,20.30075
2024-02-18,23.30827
2024-02-19,73.83458
2024-02-20,86.61654
2024-02-21,87.36842
2024-02-22,86.46616
2024-02-23,78.79699
2024-02-24,26.76691
2024-02-25,20.75187
2024-02-26,66.91729
2024-02-27,69.77443
2024-02-28,69.47368
2024-02-29,72.78195
2024-03-01,24.21052
2024-03-02,23.75939
2024-03-03,23.00751
2024-03-04,85.41353
2024-03-05,77.4436
2024-03-06,67.81954
2024-03-07,73.0827
2024-03-08,72.03007
2024-03-09,24.21052
2024-03-10,19.24812
2024-03-11,73.98496
2024-03-12,85.71428
2024-03-13,70.82706
2024-03-14,72.18045
2024-03-15,64.66165
2024-03-16,13.83458
2024-03-17,16.09022
2024-03-18,60.6015
2024-03-19,60.45112
2024-03-20,59.69924
