date,금리
2020-03-20,13.11317
2020-03-21,7.44926
2020-03-22,6.16099
2020-03-23,11.62882
2020-03-24,10.31819
2020-03-25,9.2088
2020-03-26,9.66632
2020-03-27,8.11833
2020-03-28,4.41004
2020-03-29,4.21396
2020-03-30,7.82937
2020-03-31,7.84313
2020-04-01,6.98658
2020-04-02,7.29274
2020-04-03,6.48434
2020-04-04,3.71517
2020-04-05,3.34193
2020-04-06,6.31406
2020-04-07,6.2573
2020-04-08,5.96835
2020-04-09,7.92569
2020-04-10,5.73271
2020-04-11,3.07533
2020-04-12,3.05125
2020-04-13,5.56415
2020-04-14,4.957
2020-04-15,3.10457
2020-04-16,5.19951
2020-04-17,5.14963
2020-04-18,2.76745
2020-04-19,3.08393
2020-04-20,5.38699
2020-04-21,7.81561
2020-04-22,6.7819
2020-04-23,6.26074
2020-04-24,4.5184
2020-04-25,2.78637
2020-04-26,2.80013
2020-04-27,4.70416
2020-04-28,5.15479
2020-04-29,4.16064
2020-04-30,3.68937
2020-05-01,2.61609
2020-05-02,2.06398
2020-05-03,2.2979
2020-05-04,4.04368
2020-05-05,2.99449
2020-05-06,4.6818
2020-05-07,4.13828
2020-05-08,3.59133
2020-05-09,2.33746
2020-05-10,2.34778
2020-05-11,4.12624
2020-05-12,3.90436
2020-05-13,4.04196
2020-05-14,5.13071
2020-05-15,3.91124
2020-05-16,2.37702
2020-05-17,2.35294
2020-05-18,4.23976
2020-05-19,4.2088
2020-05-20,4.05916
2020-05-21,3.94736
2020-05-22,3.66357
2020-05-23,2.17062
2020-05-24,3.00481
2020-05-25,5.32507
2020-05-26,5.17199
2020-05-27,6.06639
2020-05-28,60.19263
2020-05-29,8.51909
2020-05-30,3.03405
2020-05-31,3.11317
2020-06-01,5.40591
2020-06-02,4.73512
2020-06-03,5.05159
2020-06-04,4.5786
2020-06-05,3.93016
2020-06-06,2.38218
2020-06-07,2.50085
2020-06-08,4.61128
2020-06-09,4.46336
2020-06-10,4.36188
2020-06-11,7.0399
2020-06-12,4.57688
2020-06-13,2.45442
2020-06-14,2.47506
2020-06-15,4.86584
2020-06-16,4.51668
2020-06-17,4.21224
2020-06-18,3.55005
2020-06-19,3.53113
2020-06-20,1.94186
2020-06-21,2.16374
2020-06-22,3.93532
2020-06-23,3.87684
2020-06-24,3.91812
2020-06-25,3.84932
2020-06-26,3.34537
2020-06-27,1.9883
2020-06-28,2.1861
2020-06-29,3.82352
2020-06-30,3.58617
2020-07-01,3.27141
2020-07-02,3.42621
2020-07-03,3.11833
2020-07-04,1.92294
2020-07-05,2.45958
2020-07-06,3.71001
2020-07-07,3.53629
2020-07-08,3.49845
2020-07-09,3.49329
2020-07-10,3.02029
2020-07-11,1.96766
2020-07-12,2.52149
2020-07-13,3.8562
2020-07-14,3.85792
2020-07-15,4.60956
2020-07-16,6.08531
2020-07-17,3.8648
2020-07-18,1.9281
2020-07-19,2.18438
2020-07-20,3.38665
2020-07-21,3.68765
2020-07-22,3.35053
2020-07-23,3.46405
2020-07-24,3.17337
2020-07-25,2.13622
2020-07-26,2.12246
2020-07-27,3.7874
2020-07-28,3.85448
2020-07-29,3.68765
2020-07-30,4.79532
2020-07-31,5.18403
2020-08-01,2.63501
2020-08-02,2.2291
2020-08-03,3.82524
2020-08-04,3.55865
2020-08-05,3.8562
2020-08-06,3.56381
2020-08-07,3.25593
2020-08-08,2.00206
2020-08-09,2.1173
2020-08-10,3.75988
2020-08-11,4.4324
2020-08-12,4.64568
2020-08-13,3.98004
2020-08-14,3.41761
2020-08-15,2.08462
2020-08-16,1.92294
2020-08-17,2.71757
2020-08-18,4.05228
2020-08-19,4.16408
2020-08-20,4.52012
2020-08-21,3.50877
2020-08-22,2.26866
2020-08-23,2.4097
2020-08-24,3.84588
2020-08-25,4.11936
2020-08-26,3.86308
2020-08-27,6.34846
2020-08-28,4.54764
2020-08-29,2.32542
2020-08-30,2.29102
2020-08-31,3.9766
2020-09-01,4.27416
2020-09-02,4.06604
2020-09-03,3.30581
2020-09-04,3.69625
2020-09-05,2.38734
2020-09-06,2.43722
2020-09-07,3.82524
2020-09-08,3.97488
2020-09-09,4.1572
2020-09-10,4.15548
2020-09-11,4.7592
2020-09-12,2.20674
2020-09-13,2.64361
2020-09-14,4.05916
2020-09-15,4.19848
2020-09-16,4.5958
2020-09-17,6.82662
2020-09-18,3.70313
2020-09-19,2.0657
2020-09-20,2.18954
2020-09-21,3.65841
2020-09-22,3.72549
2020-09-23,3.41245
2020-09-24,3.34365
2020-09-25,4.08324
2020-09-26,2.60405
2020-09-27,2.50085
2020-09-28,3.47093
2020-09-29,2.75025
2020-09-30,1.7475
2020-10-01,1.5841
2020-10-02,1.8163
2020-10-03,1.80254
2020-10-04,2.17922
2020-10-05,3.76848
2020-10-06,3.71689
2020-10-07,3.51049
2020-10-08,3.21809
2020-10-09,2.13966
2020-10-10,2.20502
2020-10-11,2.34606
2020-10-12,3.91124
2020-10-13,3.58961
2020-10-14,4.95356
2020-10-15,3.9852
2020-10-16,3.82696
2020-10-17,2.3065
2020-10-18,2.84657
2020-10-19,4.52872
2020-10-20,4.23804
2020-10-21,4.16064
2020-10-22,3.83212
2020-10-23,3.38493
2020-10-24,2.0055
2020-10-25,2.34262
2020-10-26,3.73753
2020-10-27,3.59649
2020-10-28,3.62573
2020-10-29,3.46233
2020-10-30,2.93601
2020-10-31,2.0915
2020-11-01,2.07086
2020-11-02,3.38493
2020-11-03,3.63777
2020-11-04,3.59649
2020-11-05,3.74957
2020-11-06,3.55005
2020-11-07,2.2033
2020-11-08,2.35638
2020-11-09,4.40488
2020-11-10,4.93636
2020-11-11,4.76952
2020-11-12,5.13931
2020-11-13,4.24664
2020-11-14,2.71241
2020-11-15,2.76229
2020-11-16,6.44306
2020-11-17,4.95184
2020-11-18,4.08324
