date,손해보험
2020-03-20,35.22842
2020-03-21,21.21827
2020-03-22,22.13197
2020-03-23,42.94416
2020-03-24,56.24365
2020-03-25,69.54314
2020-03-26,57.25888
2020-03-27,43.24873
2020-03-28,20.9137
2020-03-29,20.60913
2020-03-30,46.39593
2020-03-31,44.06091
2020-04-01,39.39086
2020-04-02,42.03045
2020-04-03,36.14213
2020-04-04,13.8071
2020-04-05,16.64974
2020-04-06,42.84263
2020-04-07,39.5939
2020-04-08,45.17766
2020-04-09,46.19289
2020-04-10,41.42131
2020-04-11,21.52284
2020-04-12,19.18781
2020-04-13,39.89847
2020-04-14,36.14213
2020-04-15,19.49238
2020-04-16,39.08629
2020-04-17,39.69543
2020-04-18,15.43147
2020-04-19,15.43147
2020-04-20,42.74111
2020-04-21,44.67005
2020-04-22,40.50761
2020-04-23,44.36548
2020-04-24,36.4467
2020-04-25,21.82741
2020-04-26,21.01522
2020-04-27,59.69543
2020-04-28,39.28934
2020-04-29,34.31472
2020-04-30,18.37563
2020-05-01,18.47715
2020-05-02,13.8071
2020-05-03,16.64974
2020-05-04,34.51776
2020-05-05,20.71065
2020-05-06,40.30456
2020-05-07,41.11675
2020-05-08,37.46192
2020-05-09,19.18781
2020-05-10,16.14213
2020-05-11,44.56852
2020-05-12,44.06091
2020-05-13,47.91878
2020-05-14,50.45685
2020-05-15,46.7005
2020-05-16,21.82741
2020-05-17,23.85786
2020-05-18,45.98984
2020-05-19,55.1269
2020-05-20,48.62944
2020-05-21,47.51269
2020-05-22,40.71065
2020-05-23,19.5939
2020-05-24,20.30456
2020-05-25,49.13705
2020-05-26,45.38071
2020-05-27,43.75634
2020-05-28,47.20812
2020-05-29,30.76142
2020-05-30,13.70558
2020-05-31,16.4467
2020-06-01,39.5939
2020-06-02,42.2335
2020-06-03,42.2335
2020-06-04,45.38071
2020-06-05,39.5939
2020-06-06,15.63451
2020-06-07,18.78172
2020-06-08,37.86802
2020-06-09,44.67005
2020-06-10,37.56345
2020-06-11,41.82741
2020-06-12,33.60406
2020-06-13,15.22842
2020-06-14,21.01522
2020-06-15,44.56852
2020-06-16,38.37563
2020-06-17,37.86802
2020-06-18,43.65482
2020-06-19,37.46192
2020-06-20,18.27411
2020-06-21,14.82233
2020-06-22,48.52791
2020-06-23,50.65989
2020-06-24,50.15228
2020-06-25,48.52791
2020-06-26,37.46192
2020-06-27,14.01015
2020-06-28,14.61928
2020-06-29,45.17766
2020-06-30,43.35025
2020-07-01,32.8934
2020-07-02,41.01522
2020-07-03,34.82233
2020-07-04,15.22842
2020-07-05,18.17258
2020-07-06,35.53299
2020-07-07,43.75634
2020-07-08,38.37563
2020-07-09,41.01522
2020-07-10,39.79695
2020-07-11,15.73604
2020-07-12,15.1269
2020-07-13,45.17766
2020-07-14,45.98984
2020-07-15,44.77157
2020-07-16,41.92893
2020-07-17,40.30456
2020-07-18,16.85279
2020-07-19,17.56345
2020-07-20,56.75126
2020-07-21,41.01522
2020-07-22,45.07614
2020-07-23,47.30964
2020-07-24,42.13197
2020-07-25,16.14213
2020-07-26,14.72081
2020-07-27,46.7005
2020-07-28,40.40609
2020-07-29,38.88324
2020-07-30,37.25888
2020-07-31,33.50253
2020-08-01,18.27411
2020-08-02,15.53299
2020-08-03,39.28934
2020-08-04,35.83756
2020-08-05,40.71065
2020-08-06,42.13197
2020-08-07,41.92893
2020-08-08,18.88324
2020-08-09,15.93908
2020-08-10,45.68527
2020-08-11,43.45177
2020-08-12,43.65482
2020-08-13,44.16243
2020-08-14,39.39086
2020-08-15,18.27411
2020-08-16,16.24365
2020-08-17,20.40609
2020-08-18,42.63959
2020-08-19,44.97461
2020-08-20,48.42639
2020-08-21,42.53807
2020-08-22,21.21827
2020-08-23,15.22842
2020-08-24,48.42639
2020-08-25,44.67005
2020-08-26,44.36548
2020-08-27,45.48223
2020-08-28,38.27411
2020-08-29,18.47715
2020-08-30,18.07106
2020-08-31,42.43654
2020-09-01,40.20304
2020-09-02,34.72081
2020-09-03,40.50761
2020-09-04,33.60406
2020-09-05,18.17258
2020-09-06,17.56345
2020-09-07,39.39086
2020-09-08,45.48223
2020-09-09,41.72588
2020-09-10,41.92893
2020-09-11,36.24365
2020-09-12,17.15736
2020-09-13,16.34517
2020-09-14,43.75634
2020-09-15,41.72588
2020-09-16,47.00507
2020-09-17,40.71065
2020-09-18,39.08629
2020-09-19,17.86802
2020-09-20,16.34517
2020-09-21,43.55329
2020-09-22,41.52284
2020-09-23,43.35025
2020-09-24,43.04568
2020-09-25,38.57868
2020-09-26,17.56345
2020-09-27,17.66497
2020-09-28,38.98477
2020-09-29,33.29949
2020-09-30,14.61928
2020-10-01,9.13705
2020-10-02,13.40101
2020-10-03,16.14213
2020-10-04,16.34517
2020-10-05,50.2538
2020-10-06,42.74111
2020-10-07,40.81218
2020-10-08,38.47715
2020-10-09,15.93908
2020-10-10,17.96954
2020-10-11,18.78172
2020-10-12,43.55329
2020-10-13,41.01522
2020-10-14,39.69543
2020-10-15,42.2335
2020-10-16,36.4467
2020-10-17,20.71065
2020-10-18,17.05583
2020-10-19,47.61421
2020-10-20,47.81725
2020-10-21,54.41624
2020-10-22,40.81218
2020-10-23,46.39593
2020-10-24,16.64974
2020-10-25,17.05583
2020-10-26,43.85786
2020-10-27,45.7868
2020-10-28,47.41116
2020-10-29,52.08121
2020-10-30,40.81218
2020-10-31,14.21319
2020-11-01,17.15736
2020-11-02,38.6802
2020-11-03,42.03045
2020-11-04,37.05583
2020-11-05,42.63959
2020-11-06,39.28934
2020-11-07,17.46192
2020-11-08,15.93908
2020-11-09,41.72588
2020-11-10,42.03045
2020-11-11,40.20304
2020-11-12,42.2335
2020-11-13,33.60406
2020-11-14,14.92385
2020-11-15,14.51776
2020-11-16,41.01522
2020-11-17,37.15736
2020-11-18,44.67005
2020-11-19,44.26395
2020-11-20,42.43654
2020-11-21,14.41624
2020-11-22,16.4467
2020-11-23,47.41116
2020-11-24,42.94416
2020-11-25,42.84263
2020-11-26,51.16751
2020-11-27,41.01522
2020-11-28,22.74111
2020-11-29,19.49238
2020-11-30,42.03045
2020-12-01,42.74111
2020-12-02,38.78172
2020-12-03,41.52284
2020-12-04,39.5939
2020-12-05,21.42131
2020-12-06,19.89847
2020-12-07,42.94416
2020-12-08,35.02538
