date,은행금리비교
2020-03-20,10.67836
2020-03-21,5.20008
2020-03-22,4.4939
2020-03-23,8.08902
2020-03-24,8.45281
2020-03-25,9.13759
2020-03-26,9.86518
2020-03-27,8.49561
2020-03-28,2.05435
2020-03-29,3.18852
2020-03-30,6.35566
2020-03-31,7.04044
2020-04-01,6.56965
2020-04-02,5.79927
2020-04-03,3.95891
2020-04-04,2.01155
2020-04-05,2.39674
2020-04-06,5.92766
2020-04-07,5.88487
2020-04-08,5.79927
2020-04-09,5.32848
2020-04-10,4.77209
2020-04-11,2.37534
2020-04-12,2.61074
2020-04-13,6.52685
2020-04-14,5.86347
2020-04-15,4.3227
2020-04-16,6.22726
2020-04-17,6.29146
2020-04-18,2.28974
2020-04-19,3.40252
2020-04-20,6.76225
2020-04-21,6.61245
2020-04-22,8.13182
2020-04-23,7.23304
2020-04-24,7.04044
2020-04-25,3.80911
2020-04-26,3.53092
2020-04-27,7.38283
2020-04-28,7.74662
2020-04-29,8.34581
2020-04-30,4.1515
2020-05-01,4.00171
2020-05-02,3.03873
2020-05-03,3.38112
2020-05-04,7.93922
2020-05-05,4.3227
2020-05-06,8.36721
2020-05-07,7.96062
2020-05-08,5.86347
2020-05-09,2.78193
2020-05-10,2.97453
2020-05-11,7.23304
2020-05-12,6.86924
2020-05-13,6.65525
2020-05-14,6.99764
2020-05-15,6.91204
2020-05-16,3.40252
2020-05-17,3.31692
2020-05-18,8.23881
2020-05-19,8.17462
2020-05-20,7.40423
2020-05-21,7.61823
2020-05-22,5.47827
2020-05-23,3.16713
2020-05-24,3.95891
2020-05-25,8.43141
2020-05-26,8.08902
2020-05-27,5.82067
2020-05-28,11.68414
2020-05-29,8.21741
2020-05-30,4.1515
2020-05-31,4.68649
2020-06-01,9.39439
2020-06-02,9.62978
2020-06-03,8.23881
2020-06-04,7.68243
2020-06-05,6.44125
2020-06-06,4.02311
2020-06-07,3.70211
2020-06-08,8.43141
2020-06-09,7.23304
2020-06-10,6.89064
2020-06-11,8.8166
2020-06-12,6.09886
2020-06-13,3.08153
2020-06-14,3.12433
2020-06-15,6.61245
2020-06-16,7.23304
2020-06-17,6.16306
2020-06-18,6.29146
2020-06-19,5.62807
2020-06-20,2.56794
2020-06-21,2.56794
2020-06-22,6.50545
2020-06-23,6.07746
2020-06-24,6.27006
2020-06-25,6.05606
2020-06-26,5.60667
2020-06-27,2.97453
2020-06-28,3.48812
2020-06-29,7.19024
2020-06-30,6.44125
2020-07-01,6.09886
2020-07-02,6.99764
2020-07-03,6.65525
2020-07-04,3.06013
2020-07-05,2.48234
2020-07-06,7.51123
2020-07-07,6.86924
2020-07-08,6.86924
2020-07-09,5.28568
2020-07-10,4.92189
2020-07-11,2.67494
2020-07-12,3.53092
2020-07-13,6.91204
2020-07-14,5.84207
2020-07-15,7.51123
2020-07-16,7.83222
2020-07-17,5.32848
2020-07-18,2.82473
2020-07-19,3.46672
2020-07-20,7.38283
2020-07-21,7.08324
2020-07-22,7.19024
2020-07-23,6.82644
2020-07-24,6.61245
2020-07-25,3.50952
2020-07-26,3.63791
2020-07-27,8.19601
2020-07-28,7.14744
2020-07-29,5.62807
2020-07-30,6.69805
2020-07-31,5.99186
2020-08-01,3.01733
2020-08-02,1.45516
2020-08-03,5.05028
2020-08-04,4.5153
2020-08-05,5.41408
2020-08-06,2.18275
2020-08-07,1.90455
2020-08-08,1.41236
2020-08-09,1.56216
2020-08-10,3.61652
2020-08-11,4.85769
2020-08-12,5.71367
2020-08-13,6.05606
2020-08-14,4.98609
2020-08-15,3.14573
2020-08-16,1.04857
2020-08-17,2.41814
2020-08-18,2.95313
2020-08-19,1.92595
2020-08-20,2.41814
2020-08-21,1.86175
2020-08-22,1.00577
2020-08-23,0.94157
2020-08-24,2.78193
2020-08-25,2.22555
2020-08-26,2.78193
2020-08-27,2.33254
2020-08-28,2.63214
2020-08-29,1.30537
2020-08-30,1.32677
2020-08-31,3.08153
2020-09-01,2.78193
2020-09-02,2.71774
2020-09-03,2.48234
2020-09-04,2.50374
2020-09-05,1.30537
2020-09-06,1.13417
2020-09-07,2.31114
2020-09-08,3.08153
2020-09-09,2.67494
2020-09-10,2.99593
2020-09-11,3.98031
2020-09-12,1.49796
2020-09-13,1.43376
2020-09-14,2.80333
2020-09-15,2.39674
2020-09-16,3.12433
2020-09-17,2.09715
2020-09-18,2.28974
2020-09-19,1.00577
2020-09-20,0.85598
2020-09-21,2.46094
2020-09-22,1.69056
2020-09-23,1.66916
2020-09-24,1.86175
2020-09-25,1.88315
2020-09-26,1.13417
2020-09-27,1.15557
2020-09-28,2.46094
2020-09-29,1.96875
2020-09-30,0.96297
2020-10-01,0.81318
2020-10-02,0.53498
2020-10-03,0.81318
2020-10-04,1.09137
2020-10-05,2.80333
2020-10-06,2.39674
2020-10-07,2.39674
2020-10-08,2.69634
2020-10-09,1.32677
2020-10-10,1.28397
2020-10-11,1.26257
2020-10-12,2.91033
2020-10-13,3.33832
2020-10-14,3.35972
2020-10-15,2.16135
