date,캐시백
2020-03-20,0.25103
2020-03-21,0.14023
2020-03-22,0.12551
2020-03-23,0.22004
2020-03-24,0.22546
2020-03-25,0.21462
2020-03-26,0.25723
2020-03-27,0.21384
2020-03-28,0.14411
2020-03-29,0.14643
2020-03-30,0.24871
2020-03-31,0.2828
2020-04-01,0.30294
2020-04-02,0.26188
2020-04-03,0.49897
2020-04-04,0.57103
2020-04-05,1.41556
2020-04-06,2.77302
2020-04-07,1.33808
2020-04-08,2.15705
2020-04-09,1.66427
2020-04-10,1.59532
2020-04-11,1.94553
2020-04-12,2.47162
2020-04-13,2.19966
2020-04-14,1.35048
2020-04-15,1.89671
2020-04-16,2.08654
2020-04-17,1.93003
2020-04-18,2.57234
2020-04-19,88.28807
2020-04-20,100.0
2020-04-21,16.98988
2020-04-22,3.65707
2020-04-23,3.50985
2020-04-24,2.42435
2020-04-25,2.77689
2020-04-26,16.45527
2020-04-27,13.65745
2020-04-28,4.73094
2020-04-29,2.20664
2020-04-30,2.77302
2020-05-01,2.66454
2020-05-02,2.4507
2020-05-03,4.07624
2020-05-04,1.73943
2020-05-05,1.11726
2020-05-06,1.06457
2020-05-07,0.92821
2020-05-08,0.74923
2020-05-09,0.984
2020-05-10,1.97032
2020-05-11,1.0762
2020-05-12,0.70274
2020-05-13,0.77325
2020-05-14,0.74691
2020-05-15,0.72289
2020-05-16,0.81509
2020-05-17,1.61159
2020-05-18,1.20172
2020-05-19,0.77015
2020-05-20,0.72831
2020-05-21,0.76318
2020-05-22,0.57645
2020-05-23,0.5594
2020-05-24,0.6733
2020-05-25,0.62294
2020-05-26,0.50439
2020-05-27,0.48657
2020-05-28,0.43621
2020-05-29,0.3936
2020-05-30,0.32154
2020-05-31,0.56793
2020-06-01,0.60047
2020-06-02,0.50362
2020-06-03,0.44628
2020-06-04,0.43388
2020-06-05,0.42614
2020-06-06,0.49974
2020-06-07,0.63301
2020-06-08,0.54313
2020-06-09,0.41529
2020-06-10,0.43388
2020-06-11,0.39282
2020-06-12,0.37423
2020-06-13,0.33316
2020-06-14,0.40677
2020-06-15,0.41606
2020-06-16,0.43079
2020-06-17,0.375
2020-06-18,0.37423
2020-06-19,0.36648
2020-06-20,0.29442
2020-06-21,0.38507
2020-06-22,0.39127
2020-06-23,0.33471
2020-06-24,0.35098
2020-06-25,0.30139
2020-06-26,0.31999
2020-06-27,0.24251
2020-06-28,0.38585
2020-06-29,0.38275
2020-06-30,0.38972
2020-07-01,0.62759
2020-07-02,0.62991
2020-07-03,0.41064
2020-07-04,0.29132
2020-07-05,0.289
2020-07-06,0.38352
2020-07-07,0.42459
2020-07-08,0.34556
2020-07-09,0.31457
2020-07-10,0.31611
2020-07-11,0.2828
2020-07-12,0.29132
2020-07-13,0.35331
2020-07-14,0.43698
2020-07-15,0.44241
2020-07-16,0.49587
2020-07-17,0.49122
2020-07-18,0.375
2020-07-19,0.39205
2020-07-20,0.51756
2020-07-21,1.06303
2020-07-22,0.64618
2020-07-23,0.50284
2020-07-24,1.0669
2020-07-25,1.02196
2020-07-26,0.88637
2020-07-27,0.97935
2020-07-28,0.80811
2020-07-29,0.69732
2020-07-30,1.44655
2020-07-31,1.22728
2020-08-01,1.10099
2020-08-02,1.16143
2020-08-03,1.15135
2020-08-04,1.21179
2020-08-05,1.06612
2020-08-06,1.01266
2020-08-07,1.53953
2020-08-08,1.49304
2020-08-09,1.65575
2020-08-10,1.359
2020-08-11,1.47135
2020-08-12,1.40781
2020-08-13,1.43261
2020-08-14,1.7402
2020-08-15,1.41401
2020-08-16,1.33653
2020-08-17,1.32646
2020-08-18,2.1617
2020-08-19,1.61546
2020-08-20,2.37167
2020-08-21,2.17332
2020-08-22,1.6387
2020-08-23,2.71181
2020-08-24,3.73997
2020-08-25,39.39487
2020-08-26,17.28818
2020-08-27,10.66284
2020-08-28,3.80041
2020-08-29,4.44969
2020-08-30,3.36884
2020-08-31,3.33087
2020-09-01,16.4142
2020-09-02,8.44458
2020-09-03,4.28776
2020-09-04,3.42773
2020-09-05,3.444
2020-09-06,4.88668
2020-09-07,3.19451
2020-09-08,15.39844
2020-09-09,41.83395
2020-09-10,10.82787
2020-09-11,3.66327
2020-09-12,2.53438
2020-09-13,2.90241
2020-09-14,2.81408
2020-09-15,15.6301
2020-09-16,15.48212
2020-09-17,4.70538
2020-09-18,2.17564
2020-09-19,2.06717
2020-09-20,2.74435
2020-09-21,2.27714
2020-09-22,9.46654
2020-09-23,9.76407
2020-09-24,3.42385
2020-09-25,1.95715
2020-09-26,1.6387
2020-09-27,2.05245
2020-09-28,2.1307
2020-09-29,9.95932
2020-09-30,15.97334
2020-10-01,2.08732
2020-10-02,1.72781
2020-10-03,1.36287
2020-10-04,1.61623
2020-10-05,1.57672
2020-10-06,2.28644
2020-10-07,1.18699
2020-10-08,0.94913
2020-10-09,0.76163
2020-10-10,0.7872
2020-10-11,0.78022
2020-10-12,1.02738
2020-10-13,1.00104
2020-10-14,0.81199
2020-10-15,0.6702
2020-10-16,0.61054
2020-10-17,0.55088
2020-10-18,0.70119
2020-10-19,0.82051
2020-10-20,0.62836
2020-10-21,0.51911
2020-10-22,0.52919
2020-10-23,0.47882
2020-10-24,0.45403
2020-10-25,0.47572
2020-10-26,0.44938
2020-10-27,0.48347
2020-10-28,0.39747
2020-10-29,0.42071
2020-10-30,0.49509
2020-10-31,0.41684
2020-11-01,0.42846
2020-11-02,0.5625
2020-11-03,0.7593
2020-11-04,0.92356
2020-11-05,0.63301
2020-11-06,0.51137
2020-11-07,0.44938
2020-11-08,0.45093
2020-11-09,0.43698
2020-11-10,0.49587
2020-11-11,0.461
2020-11-12,0.38042
2020-11-13,0.40367
2020-11-14,0.46565
2020-11-15,0.52764
2020-11-16,0.46333
2020-11-17,0.45558
2020-11-18,0.51369
2020-11-19,0.57722
2020-11-20,0.45945
2020-11-21,0.39514
2020-11-22,0.4734
2020-11-23,0.42459
2020-11-24,0.43931
2020-11-25,0.43234
2020-11-26,0.4548
