date,다모아보험
2020-03-20,3.94736
2020-03-21,1.64473
2020-03-22,2.13815
2020-03-23,3.125
2020-03-24,4.76973
2020-03-25,5.42763
2020-03-26,4.44078
2020-03-27,5.92105
2020-03-28,4.11184
2020-03-29,2.63157
2020-03-30,4.11184
2020-03-31,6.41447
2020-04-01,4.11184
2020-04-02,5.92105
2020-04-03,3.45394
2020-04-04,1.80921
2020-04-05,5.09868
2020-04-06,8.05921
2020-04-07,5.42763
2020-04-08,5.5921
2020-04-09,3.61842
2020-04-10,5.42763
2020-04-11,3.61842
2020-04-12,3.78289
2020-04-13,3.61842
2020-04-14,4.60526
2020-04-16,3.61842
2020-04-17,4.60526
2020-04-18,1.15131
2020-04-19,3.28947
2020-04-20,6.08552
2020-04-21,4.44078
2020-04-22,5.42763
2020-04-23,8.55263
2020-04-24,6.08552
2020-04-25,5.26315
2020-04-26,4.11184
2020-04-27,7.07236
2020-04-28,6.25
2020-04-29,9.04605
2020-04-30,4.11184
2020-05-01,1.64473
2020-05-02,4.27631
2020-05-03,2.4671
2020-05-04,6.57894
2020-05-05,3.125
2020-05-06,5.75657
2020-05-07,5.92105
2020-05-08,7.56578
2020-05-09,2.96052
2020-05-10,1.80921
2020-05-11,8.55263
2020-05-12,8.38815
2020-05-13,5.42763
2020-05-14,8.38815
2020-05-15,9.04605
2020-05-16,3.28947
2020-05-17,4.60526
2020-05-18,10.69078
2020-05-19,8.22368
2020-05-20,9.375
2020-05-21,8.05921
2020-05-22,6.57894
2020-05-23,4.44078
2020-05-24,4.44078
2020-05-25,8.7171
2020-05-26,7.07236
2020-05-27,5.92105
2020-05-28,6.57894
2020-05-29,7.23684
2020-05-30,2.4671
2020-05-31,3.45394
2020-06-01,6.41447
2020-06-02,6.25
2020-06-03,6.25
2020-06-04,5.92105
2020-06-05,5.09868
2020-06-06,3.61842
2020-06-07,2.63157
2020-06-08,4.60526
2020-06-09,4.27631
2020-06-10,6.41447
2020-06-11,8.05921
2020-06-12,4.60526
2020-06-13,3.125
2020-06-14,4.27631
2020-06-15,9.53947
2020-06-16,6.74342
2020-06-17,6.90789
2020-06-18,8.7171
2020-06-19,7.73026
2020-06-20,2.79605
2020-06-21,4.93421
2020-06-22,11.34868
2020-06-23,9.53947
2020-06-24,6.57894
2020-06-25,6.41447
2020-06-26,5.92105
2020-06-27,5.92105
2020-06-28,4.44078
2020-06-29,6.25
2020-06-30,6.08552
2020-07-01,7.23684
2020-07-02,5.75657
2020-07-03,5.09868
2020-07-04,2.4671
2020-07-05,3.78289
2020-07-06,9.70394
2020-07-07,7.89473
2020-07-08,8.7171
2020-07-09,6.74342
2020-07-10,9.04605
2020-07-11,4.44078
2020-07-12,3.61842
2020-07-13,8.22368
2020-07-14,9.375
2020-07-15,7.89473
2020-07-16,8.05921
2020-07-17,6.41447
2020-07-18,5.26315
2020-07-19,5.42763
2020-07-20,9.70394
2020-07-21,5.5921
2020-07-22,7.07236
2020-07-23,7.23684
2020-07-24,7.07236
2020-07-25,4.44078
2020-07-26,7.89473
2020-07-27,9.21052
2020-07-28,8.88157
2020-07-29,10.52631
2020-07-30,5.26315
2020-07-31,4.44078
2020-08-01,2.79605
2020-08-02,3.78289
2020-08-03,6.41447
2020-08-04,8.22368
2020-08-05,7.56578
2020-08-06,4.76973
2020-08-07,4.60526
2020-08-08,1.64473
2020-08-09,4.11184
2020-08-10,6.90789
2020-08-11,4.93421
2020-08-12,7.89473
2020-08-13,7.40131
2020-08-14,5.09868
2020-08-15,3.78289
2020-08-16,2.79605
2020-08-17,4.60526
2020-08-18,7.23684
2020-08-19,7.40131
2020-08-20,4.60526
2020-08-21,5.92105
2020-08-22,4.44078
2020-08-23,3.78289
2020-08-24,9.04605
2020-08-25,6.08552
2020-08-26,7.56578
2020-08-27,9.70394
2020-08-28,4.44078
