date,암호화폐
2020-03-20,8.71267
2020-03-21,5.22923
2020-03-22,4.82134
2020-03-23,7.72556
2020-03-24,8.35372
2020-03-25,25.50171
2020-03-26,14.17033
2020-03-27,11.96769
2020-03-28,8.09267
2020-03-29,7.42372
2020-03-30,9.12057
2020-03-31,6.52635
2020-04-01,5.61266
2020-04-02,5.18029
2020-04-03,4.79686
2020-04-04,3.72817
2020-04-05,3.98923
2020-04-06,6.95056
2020-04-07,7.51346
2020-04-08,4.71528
2020-04-09,4.56844
2020-04-10,5.09055
2020-04-11,3.62212
2020-04-12,3.51607
2020-04-13,5.43318
2020-04-14,3.96475
2020-04-15,2.75738
2020-04-16,4.13607
2020-04-17,4.20949
2020-04-18,3.61396
2020-04-19,3.72817
2020-04-20,4.2666
2020-04-21,4.03817
2020-04-22,3.88317
2020-04-23,4.07896
2020-04-24,4.37265
2020-04-25,2.9858
2020-04-26,3.28764
2020-04-27,4.08712
2020-04-28,5.61266
2020-04-29,6.09397
2020-04-30,7.6603
2020-05-01,4.24212
2020-05-02,3.55686
2020-05-03,3.73633
2020-05-04,4.29923
2020-05-05,3.13264
2020-05-06,3.98107
2020-05-07,4.20133
2020-05-08,3.99738
2020-05-09,3.81791
2020-05-10,8.45162
2020-05-11,5.47397
2020-05-12,4.39712
2020-05-13,4.20133
2020-05-14,4.25844
2020-05-15,4.22581
2020-05-16,3.1408
2020-05-17,3.07554
2020-05-18,4.99265
2020-05-19,4.94371
2020-05-20,4.44607
2020-05-21,4.86213
2020-05-22,4.38897
2020-05-23,3.02659
2020-05-24,2.86343
2020-05-25,4.49502
2020-05-26,4.40528
2020-05-27,4.08712
2020-05-28,3.52422
2020-05-29,3.2958
2020-05-30,3.01843
2020-05-31,3.10817
2020-06-01,3.86686
2020-06-02,4.67449
2020-06-03,7.23609
2020-06-04,4.80502
2020-06-05,4.04633
2020-06-06,2.84712
2020-06-07,3.76896
2020-06-08,5.28634
2020-06-09,3.8587
2020-06-10,4.20949
2020-06-11,4.20949
2020-06-12,6.77108
2020-06-13,3.35291
2020-06-14,2.81448
2020-06-15,6.00424
2020-06-16,8.86767
2020-06-17,8.42714
2020-06-18,9.21846
2020-06-19,4.59291
2020-06-20,2.64317
2020-06-21,5.53108
2020-06-22,12.81612
2020-06-23,9.61005
2020-06-24,5.40055
2020-06-25,4.91923
2020-06-26,3.8587
2020-06-27,2.2679
2020-06-28,3.45896
2020-06-29,3.67107
2020-06-30,5.46581
2020-07-01,4.89476
2020-07-02,3.49975
2020-07-03,2.96133
2020-07-04,2.48817
2020-07-05,2.24343
2020-07-06,3.58133
2020-07-07,3.71186
2020-07-08,3.86686
2020-07-09,4.49502
2020-07-10,3.47528
2020-07-11,2.74922
2020-07-12,2.64317
2020-07-13,3.6058
2020-07-14,3.91581
2020-07-15,3.40186
2020-07-16,3.40186
2020-07-17,3.26317
2020-07-18,2.01501
2020-07-19,2.56159
2020-07-20,3.24685
2020-07-21,5.09871
2020-07-22,6.14292
2020-07-23,4.69897
2020-07-24,3.0837
2020-07-25,2.68396
2020-07-26,4.2666
2020-07-27,5.65345
2020-07-28,5.39239
2020-07-29,5.16397
2020-07-30,4.7316
2020-07-31,4.42976
2020-08-01,4.66634
