date,52주신고가
2020-03-20,2.29607
2020-03-21,0.84592
2020-03-22,1.02719
2020-03-23,2.9003
2020-03-24,2.9003
2020-03-25,3.20241
2020-03-26,5.61933
2020-03-27,5.07552
2020-03-28,2.59818
2020-03-29,1.51057
2020-03-30,4.89425
2020-03-31,8.15709
2020-04-01,6.28398
2020-04-02,5.61933
2020-04-03,3.80664
2020-04-04,3.62537
2020-04-05,2.05438
2020-04-06,8.76132
2020-04-07,7.00906
2020-04-08,6.22356
2020-04-09,5.19637
2020-04-10,4.89425
2020-04-11,4.41087
2020-04-12,4.29003
2020-04-13,5.0151
2020-04-14,3.02114
2020-04-15,3.26283
2020-04-16,3.98791
2020-04-17,6.76737
2020-04-18,3.14199
2020-04-19,2.47734
2020-04-20,4.65256
2020-04-21,4.10876
2020-04-22,4.89425
2020-04-23,6.40483
2020-04-24,5.55891
2020-04-25,3.20241
2020-04-26,4.77341
2020-04-27,5.92145
2020-04-28,6.16314
2020-04-29,4.41087
2020-04-30,3.20241
2020-05-01,2.41691
2020-05-02,2.83987
2020-05-03,3.38368
2020-05-04,6.34441
2020-05-05,3.50453
2020-05-06,10.21148
2020-05-07,10.15105
2020-05-08,7.00906
2020-05-09,4.04833
2020-05-10,3.6858
2020-05-11,8.15709
2020-05-12,10.33232
2020-05-13,12.02416
2020-05-14,12.99093
2020-05-15,10.51359
2020-05-16,6.82779
2020-05-17,3.6858
2020-05-18,9.18429
2020-05-19,10.87613
2020-05-20,9.42598
2020-05-21,10.75528
2020-05-22,7.85498
2020-05-23,4.35045
2020-05-24,4.04833
2020-05-25,10.93655
2020-05-26,10.21148
2020-05-27,9.4864
2020-05-28,6.70694
2020-05-29,5.98187
2020-05-30,3.6858
2020-05-31,3.4441
2020-06-01,7.00906
2020-06-02,7.85498
2020-06-03,5.67975
2020-06-04,9.12386
2020-06-05,9.00302
2020-06-06,3.92749
2020-06-07,5.07552
2020-06-08,7.31117
2020-06-09,8.21752
2020-06-10,8.58006
2020-06-11,80.24169
2020-06-12,63.50453
2020-06-13,24.53172
2020-06-14,24.29003
2020-06-15,21.08761
2020-06-16,19.87915
2020-06-17,18.18731
2020-06-18,16.19335
2020-06-19,14.44108
2020-06-20,8.21752
2020-06-21,9.36555
2020-06-22,15.89123
2020-06-23,18.73111
2020-06-24,15.22658
2020-06-25,12.02416
2020-06-26,11.29909
2020-06-27,6.94864
2020-06-28,5.86102
2020-06-29,9.90936
2020-06-30,9.36555
2020-07-01,9.12386
2020-07-02,9.42598
2020-07-03,13.71601
2020-07-04,6.16314
2020-07-05,6.22356
2020-07-06,13.41389
2020-07-07,13.71601
2020-07-08,14.56193
2020-07-09,16.25377
2020-07-10,14.13897
2020-07-11,6.70694
2020-07-12,5.86102
2020-07-13,12.08459
2020-07-14,13.47432
2020-07-15,11.8429
2020-07-16,8.7009
2020-07-17,9.24471
2020-07-18,6.04229
2020-07-19,7.06948
2020-07-20,12.44712
2020-07-21,12.80966
2020-07-22,15.16616
2020-07-23,12.56797
2020-07-24,9.24471
2020-07-25,7.73413
2020-07-26,13.65558
2020-07-27,14.38066
2020-07-28,17.09969
2020-07-29,13.47432
2020-07-30,15.89123
2020-07-31,13.89728
2020-08-01,8.27794
2020-08-02,9.78851
2020-08-03,17.40181
2020-08-04,14.7432
2020-08-05,19.03323
2020-08-06,16.858
2020-08-07,15.10574
2020-08-08,9.30513
2020-08-09,7.00906
2020-08-10,15.287
2020-08-11,13.9577
2020-08-12,11.11782
2020-08-13,12.93051
2020-08-14,9.06344
2020-08-15,5.8006
2020-08-16,6.52567
2020-08-17,7.55287
2020-08-18,8.15709
2020-08-19,10.51359
2020-08-20,8.27794
2020-08-21,9.84894
2020-08-22,7.97583
2020-08-23,8.21752
2020-08-24,10.51359
2020-08-25,13.1722
2020-08-26,13.23262
2020-08-27,14.13897
2020-08-28,12.32628
2020-08-29,9.24471
2020-08-30,8.03625
2020-08-31,11.8429
2020-09-01,11.78247
2020-09-02,14.80362
2020-09-03,16.67673
2020-09-04,12.3867
2020-09-05,8.94259
2020-09-06,9.54682
2020-09-07,13.47432
2020-09-08,12.14501
2020-09-09,11.11782
2020-09-10,13.29305
2020-09-11,11.78247
2020-09-12,7.31117
2020-09-13,8.09667
2020-09-14,9.54682
2020-09-15,18.18731
2020-09-16,20.0
2020-09-17,18.73111
2020-09-18,15.95166
2020-09-19,13.71601
2020-09-20,13.11178
2020-09-21,17.16012
2020-09-22,16.73716
2020-09-23,12.68882
2020-09-24,10.57401
2020-09-25,9.72809
2020-09-26,5.67975
2020-09-27,6.34441
2020-09-28,8.15709
2020-09-29,8.03625
2020-09-30,4.65256
2020-10-01,4.29003
2020-10-02,4.47129
2020-10-03,6.40483
2020-10-04,7.00906
2020-10-05,8.09667
2020-10-06,10.03021
2020-10-07,7.3716
2020-10-08,8.58006
2020-10-09,4.65256
2020-10-10,4.10876
2020-10-11,4.59214
2020-10-12,7.31117
2020-10-13,9.36555
2020-10-14,6.70694
2020-10-15,5.55891
2020-10-16,5.13595
2020-10-17,2.77945
2020-10-18,3.4441
2020-10-19,5.61933
2020-10-20,5.61933
2020-10-21,5.8006
2020-10-22,5.61933
2020-10-23,5.55891
2020-10-24,3.02114
2020-10-25,3.14199
2020-10-26,5.19637
2020-10-27,4.89425
2020-10-28,5.07552
2020-10-29,4.41087
2020-10-30,3.74622
2020-10-31,1.51057
2020-11-01,2.35649
2020-11-02,4.35045
2020-11-03,4.04833
2020-11-04,4.04833
2020-11-05,4.77341
2020-11-06,3.86706
2020-11-07,3.14199
2020-11-08,2.59818
2020-11-09,6.34441
2020-11-10,7.61329
2020-11-11,7.43202
2020-11-12,6.70694
2020-11-13,7.73413
2020-11-14,3.02114
2020-11-15,3.02114
2020-11-16,7.49244
2020-11-17,6.40483
2020-11-18,7.55287
2020-11-19,8.03625
2020-11-20,6.52567
2020-11-21,3.50453
2020-11-22,3.86706
2020-11-23,5.74018
2020-11-24,7.31117
2020-11-25,10.8157
2020-11-26,8.15709
2020-11-27,7.43202
2020-11-28,5.49848
2020-11-29,3.86706
2020-11-30,9.18429
2020-12-01,8.58006
2020-12-02,11.8429
2020-12-03,10.51359
2020-12-04,9.30513
2020-12-05,3.56495
2020-12-06,3.80664
2020-12-07,7.49244
2020-12-08,7.3716
2020-12-09,8.64048
2020-12-10,7.43202
2020-12-11,8.58006
2020-12-12,3.32326
2020-12-13,2.83987
2020-12-14,7.06948
2020-12-15,9.12386
2020-12-16,10.63444
2020-12-17,9.24471
2020-12-18,8.21752
2020-12-19,4.41087
2020-12-20,5.55891
2020-12-21,8.64048
2020-12-22,7.06948
2020-12-23,7.25075
2020-12-24,9.96978
2020-12-25,6.28398
2020-12-26,6.28398
2020-12-27,9.30513
2020-12-28,9.54682
2020-12-29,11.78247
2020-12-30,9.72809
2020-12-31,6.46525
2021-01-01,4.89425
2021-01-02,4.65256
2021-01-03,5.74018
2021-01-04,11.35951
2021-01-05,12.87009
2021-01-06,12.87009
2021-01-07,13.47432
2021-01-08,13.41389
2021-01-09,6.88821
2021-01-10,6.16314
2021-01-11,9.66767
2021-01-12,8.88217
2021-01-13,10.45317
2021-01-14,10.39274
2021-01-15,5.92145
2021-01-16,4.41087
2021-01-17,4.2296
2021-01-18,7.25075
2021-01-19,9.84894
2021-01-20,11.41993
2021-01-21,11.54078
2021-01-22,10.2719
2021-01-23,5.13595
2021-01-24,5.37764
2021-01-25,11.29909
2021-01-26,10.99697
2021-01-27,8.88217
2021-01-28,7.25075
2021-01-29,5.86102
2021-01-30,3.14199
2021-01-31,4.47129
2021-02-01,5.19637
2021-02-02,6.10271
2021-02-03,7.31117
2021-02-04,7.73413
2021-02-05,7.61329
2021-02-06,3.4441
2021-02-07,5.31722
2021-02-08,7.61329
2021-02-09,5.43806
2021-02-10,6.52567
2021-02-11,5.92145
2021-02-12,2.96072
2021-02-13,3.86706
2021-02-14,2.59818
2021-02-15,7.19033
2021-02-16,9.00302
2021-02-17,10.21148
2021-02-18,8.15709
2021-02-19,4.77341
2021-02-20,4.2296
2021-02-21,3.6858
2021-02-22,6.5861
2021-02-23,7.49244
2021-02-24,5.43806
2021-02-25,5.98187
2021-02-26,4.41087
2021-02-27,2.29607
2021-02-28,1.81268
2021-03-01,3.14199
2021-03-02,4.2296
2021-03-03,7.1299
2021-03-04,6.5861
2021-03-05,5.67975
2021-03-06,3.92749
2021-03-07,3.26283
2021-03-08,5.55891
2021-03-09,6.94864
2021-03-10,6.46525
2021-03-11,5.86102
2021-03-12,5.86102
2021-03-13,3.80664
2021-03-14,4.04833
2021-03-15,6.52567
