date,연대보증
2020-03-20,40.79254
2020-03-21,22.37762
2020-03-22,22.37762
2020-03-23,46.38694
2020-03-24,52.21445
2020-03-25,50.11655
2020-03-26,48.25174
2020-03-27,43.58974
2020-03-28,16.55011
2020-03-29,22.14452
2020-03-30,45.45454
2020-03-31,46.85314
2020-04-01,47.08624
2020-04-02,49.65034
2020-04-03,50.81585
2020-04-04,27.27272
2020-04-05,23.54312
2020-04-06,48.01864
2020-04-07,61.07226
2020-04-08,56.87645
2020-04-09,51.74825
2020-04-10,45.68764
2020-04-11,21.67832
2020-04-12,25.87412
2020-04-13,46.62004
2020-04-14,46.62004
2020-04-15,21.21212
2020-04-16,54.31235
2020-04-17,44.98834
2020-04-18,20.51282
2020-04-19,19.58041
2020-04-20,55.71095
2020-04-21,71.32867
2020-04-22,60.60606
2020-04-23,57.10955
2020-04-24,51.51515
2020-04-25,22.84382
2020-04-26,18.18181
2020-04-27,57.34265
2020-04-28,57.80885
2020-04-29,50.81585
2020-04-30,25.17482
2020-05-01,24.00932
2020-05-02,21.91142
2020-05-03,21.21212
2020-05-04,40.55944
2020-05-05,26.80652
2020-05-06,44.52214
2020-05-07,43.58974
2020-05-08,44.28904
2020-05-09,26.80652
2020-05-10,20.04662
2020-05-11,42.42424
2020-05-12,49.18414
2020-05-13,43.12354
2020-05-14,51.98135
2020-05-15,45.92074
2020-05-16,22.84382
2020-05-17,30.76923
2020-05-18,45.68764
2020-05-19,47.78554
2020-05-20,48.25174
2020-05-21,46.62004
2020-05-22,37.99533
2020-05-23,29.13752
2020-05-24,17.24941
2020-05-25,39.39393
2020-05-26,52.68065
2020-05-27,48.71794
2020-05-28,43.82284
2020-05-29,32.40093
2020-05-30,20.97902
2020-05-31,18.64801
2020-06-01,43.82284
2020-06-02,41.72494
2020-06-03,67.36596
2020-06-04,82.51748
2020-06-05,54.07925
2020-06-06,26.34032
2020-06-07,26.80652
2020-06-08,45.68764
2020-06-09,50.81585
2020-06-10,56.17715
2020-06-11,52.91375
2020-06-12,37.52913
2020-06-13,25.64102
2020-06-14,20.27972
2020-06-15,42.89044
2020-06-16,43.12354
2020-06-17,43.58974
2020-06-18,49.18414
2020-06-19,34.03263
2020-06-20,19.81351
2020-06-21,21.67832
2020-06-22,51.74825
2020-06-23,46.15384
2020-06-24,46.62004
2020-06-25,45.22144
2020-06-26,36.13053
2020-06-27,22.61072
2020-06-28,17.71561
2020-06-29,44.52214
2020-06-30,40.79254
2020-07-01,47.31934
2020-07-02,40.79254
2020-07-03,38.22843
2020-07-04,20.04662
2020-07-05,16.78321
2020-07-06,41.25874
2020-07-07,50.11655
2020-07-08,47.78554
2020-07-09,43.82284
2020-07-10,39.86013
2020-07-11,45.68764
2020-07-12,24.94172
2020-07-13,51.98135
2020-07-14,52.91375
2020-07-15,54.31235
2020-07-16,49.65034
2020-07-17,46.62004
2020-07-18,19.34731
2020-07-19,18.88111
2020-07-20,42.65734
2020-07-21,46.62004
2020-07-22,44.98834
2020-07-23,42.42424
2020-07-24,41.02564
2020-07-25,20.74592
2020-07-26,18.88111
2020-07-27,40.09324
2020-07-28,40.09324
2020-07-29,41.95804
2020-07-30,38.69463
2020-07-31,33.79953
2020-08-01,17.01631
2020-08-02,10.95571
