date,대리운전어플
2020-03-20,25.52552
2020-03-21,23.72372
2020-03-22,21.92192
2020-03-23,21.02102
2020-03-24,21.02102
2020-03-25,24.92492
2020-03-26,23.12312
2020-03-27,23.72372
2020-03-28,17.71771
2020-03-29,18.01801
2020-03-30,26.72672
2020-03-31,27.02702
2020-04-01,24.92492
2020-04-02,26.12612
2020-04-03,28.52852
2020-04-04,18.31831
2020-04-05,13.81381
2020-04-06,21.62162
2020-04-07,30.63063
2020-04-08,23.42342
2020-04-09,29.12912
2020-04-10,27.02702
2020-04-11,23.42342
2020-04-12,13.21321
2020-04-13,19.21921
2020-04-14,27.02702
2020-04-15,18.91891
2020-04-16,24.62462
2020-04-17,28.22822
2020-04-18,28.22822
2020-04-19,26.72672
2020-04-20,28.82882
2020-04-21,33.33333
2020-04-22,24.62462
2020-04-23,28.82882
2020-04-24,28.52852
2020-04-25,21.92192
2020-04-26,21.32132
2020-04-27,27.32732
2020-04-28,28.82882
2020-04-29,44.74474
2020-04-30,24.62462
2020-05-01,23.42342
2020-05-02,26.72672
2020-05-03,26.12612
2020-05-04,23.42342
2020-05-05,20.42042
2020-05-06,22.82282
2020-05-07,23.42342
2020-05-08,25.52552
2020-05-09,23.12312
2020-05-10,23.12312
2020-05-11,27.62762
2020-05-12,25.52552
2020-05-13,23.72372
2020-05-14,24.92492
2020-05-15,27.62762
2020-05-16,25.82582
2020-05-17,19.51951
2020-05-18,23.12312
2020-05-19,25.52552
2020-05-20,24.32432
2020-05-21,31.23123
2020-05-22,31.83183
2020-05-23,22.52252
2020-05-24,21.32132
2020-05-25,21.32132
2020-05-26,24.92492
2020-05-27,23.12312
2020-05-28,26.42642
2020-05-29,22.22222
2020-05-30,24.32432
2020-05-31,19.51951
2020-06-01,23.42342
2020-06-02,20.12012
2020-06-03,22.22222
2020-06-04,24.32432
2020-06-05,28.22822
2020-06-06,24.02402
2020-06-07,17.11711
2020-06-08,18.91891
2020-06-09,23.12312
2020-06-10,34.83483
2020-06-11,24.92492
2020-06-12,31.83183
2020-06-13,26.42642
2020-06-14,20.72072
2020-06-15,22.82282
2020-06-16,27.62762
2020-06-17,30.93093
2020-06-18,27.62762
2020-06-19,28.82882
