date,현대위아주가
2020-03-20,6.8277
2020-03-21,0.81965
2020-03-22,0.57396
2020-03-23,6.14225
2020-03-24,6.43542
2020-03-25,8.02312
2020-03-26,7.82904
2020-03-27,7.53174
2020-03-28,0.75978
2020-03-29,0.5306
2020-03-30,6.11128
2020-03-31,6.17528
2020-04-01,6.91235
2020-04-02,6.49736
2020-04-03,5.18426
2020-04-04,0.65035
2020-04-05,0.37989
2020-04-06,6.09063
2020-04-07,7.4987
2020-04-08,7.15598
2020-04-09,10.93011
2020-04-10,11.23361
2020-04-11,1.15412
2020-04-12,0.76803
2020-04-13,7.72581
2020-04-14,7.72375
2020-04-15,1.01785
2020-04-16,6.68111
2020-04-17,7.54619
2020-04-18,0.75771
2020-04-19,0.60906
2020-04-20,6.34252
2020-04-21,6.45401
2020-04-22,7.08165
2020-04-23,6.28058
2020-04-24,5.72519
2020-04-25,0.72055
2020-04-26,0.47899
2020-04-27,5.79539
2020-04-28,5.70455
2020-04-29,5.58893
2020-04-30,0.82378
2020-05-01,0.99721
2020-05-02,0.37163
2020-05-03,0.44595
2020-05-04,4.59997
2020-05-05,0.48105
2020-05-06,5.23588
2020-05-07,4.78579
2020-05-08,6.21451
2020-05-09,0.86094
2020-05-10,0.70197
2020-05-11,6.05553
2020-05-12,4.63094
2020-05-13,4.7383
2020-05-14,4.72798
2020-05-15,4.31299
2020-05-16,0.36543
2020-05-17,0.29937
2020-05-18,4.15815
2020-05-19,8.85516
2020-05-20,8.69206
2020-05-21,7.44296
2020-05-22,5.89449
2020-05-23,0.77836
2020-05-24,0.50996
2020-05-25,5.90482
2020-05-26,7.15598
2020-05-27,6.06173
2020-05-28,5.81397
2020-05-29,6.1856
2020-05-30,0.84855
2020-05-31,0.56777
2020-06-01,7.08372
2020-06-02,6.70382
2020-06-03,8.34726
2020-06-04,7.17249
2020-06-05,7.97976
2020-06-06,0.85268
2020-06-07,0.52647
2020-06-08,6.92061
2020-06-09,6.60266
2020-06-10,5.47744
2020-06-11,5.58067
2020-06-12,5.56002
